period,Scenario,trade
2050,Trade Emission cut 90% GE 2.5xl Fixed,3.66138
2050,Trade Emission cut 90% GE 2.5xl Single-Axis,3.745
2050,Trade Emission cut 90% Gamesa G80 2000 Fixed,3.98595
2050,Trade Emission cut 90% Gamesa G80 2000 Single-Axis,3.69256
2050,Trade Emission cut 90% Siemens SWT 2.3 93 Fixed,3.47012
2050,Trade Emission cut 90% Siemens SWT 2.3 93 Single-Axis,3.66207
2050,Trade Emission cut 90% Siemens SWT 3.6 107 Fixed,3.88545
2050,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,3.89516
2050,Trade Emission cut 90% Vestas V164 7000 Fixed,3.3681
2050,Trade Emission cut 90% Vestas V164 7000 Single-Axis,3.76341
2050,Trade Emission cut 90% Vestas V90 2000 Fixed,3.85651
2050,Trade Emission cut 90% Vestas V90 2000 Single-Axis,3.74437
2050,Trade Emission cut 90% Vestas V90 3000 Fixed,3.41197
2050,Trade Emission cut 90% Vestas V90 3000 Single-Axis,3.7343
2050,Trade Enercon E101 3000 Fixed,3.70172
2050,Trade Enercon E101 3000 Single-Axis,3.30977
2050,Trade Enercon E126 7000 Fixed,4.25322
2050,Trade Enercon E126 7000 Single-Axis,4.1447
2050,Trade GE 1.5sle Fixed,3.74684
2050,Trade GE 1.5sle Single-Axis,3.52452
2050,Trade GE 2.5xl Fixed,3.71638
2050,Trade GE 2.5xl Single-Axis,3.3441
2050,Trade Gamesa G80 2000 Fixed,4.17336
2050,Trade Gamesa G80 2000 Single-Axis,3.98891
2050,Trade Siemens SWT 2.3 93 Fixed,3.76629
2050,Trade Siemens SWT 2.3 93 Single-Axis,3.53186
2050,Trade Siemens SWT 3.6 107 Fixed,4.10027
2050,Trade Siemens SWT 3.6 107 Single-Axis,3.75662
2050,Trade Vestas V164 7000 Fixed,3.7956
2050,Trade Vestas V164 7000 Single-Axis,3.66943
2050,Trade Vestas V90 2000 Fixed,3.66776
2050,Trade Vestas V90 2000 Single-Axis,3.26035
2050,Trade Vestas V90 3000 Fixed,4.28736
2050,Trade Vestas V90 3000 Single-Axis,4.355
2050,Vestas V90 2000 Single-Axis,20.7534
