period,Battery,Biomass,Coal,Curtailment,Diesel,Gas,Geothermal,Hydro,Nuclear,Solar,Trans_loss,Wind,scs,fossil_twh,clean_twh,vre_twh,total_twh,Hydro_share,Gas_share,Solar_share,Wind_share,Clean_share,VRE_share,Fossil_share
2050,-24.6,108.57,0.0,139.19,0.0,24.25,2.1,810.41,120.05,334.58,-0.63,756.85,trd_cut90_vestas3_fixed,24.26,2132.57,1091.43,2156.82,0.38,0.01,0.16,0.35,0.99,0.51,0.01
2020,0.0,84.76,11.78,51.29,14.58,160.7,0.35,542.07,32.83,14.39,-0.41,27.62,trd_cut90_siemens36_fixed,187.06,702.02,42.01,889.08,0.61,0.18,0.02,0.03,0.79,0.05,0.21
2030,0.0,74.04,12.21,42.25,0.0,164.37,0.35,641.22,32.83,95.44,-0.62,191.96,trd_cut90_siemens36_fixed,176.59,1035.85,287.4,1212.43,0.53,0.14,0.08,0.16,0.85,0.24,0.15
2040,-0.18,57.49,0.0,45.99,0.0,119.06,2.1,781.8,32.83,209.85,-0.59,410.74,trd_cut90_siemens36_fixed,119.06,1494.81,620.59,1613.87,0.48,0.07,0.13,0.25,0.93,0.38,0.07
2050,-22.48,50.82,0.0,187.28,0.0,24.25,2.1,807.1,120.05,316.81,-0.76,836.21,trd_cut90_siemens36_fixed,24.26,2133.09,1153.02,2157.35,0.37,0.01,0.15,0.39,0.99,0.53,0.01
2020,0.0,84.76,11.78,51.25,14.58,160.7,0.35,542.44,32.83,14.35,-0.46,27.33,trd_cut90_siemens23_fixed,187.06,702.07,41.68,889.12,0.61,0.18,0.02,0.03,0.79,0.05,0.21
2030,0.0,74.18,10.92,41.63,0.0,167.14,0.35,638.22,32.83,63.73,-0.66,225.1,trd_cut90_siemens23_fixed,178.06,1034.41,288.83,1212.48,0.53,0.14,0.05,0.19,0.85,0.24,0.15
2040,0.0,58.75,0.0,43.61,0.0,118.79,2.1,778.74,32.83,164.58,-0.57,458.03,trd_cut90_siemens23_fixed,118.79,1495.03,622.61,1613.82,0.48,0.07,0.1,0.28,0.93,0.39,0.07
2050,-21.98,43.44,0.0,189.54,0.02,24.22,2.1,801.11,73.67,312.02,-0.67,900.66,trd_cut90_siemens23_fixed,24.24,2133.01,1212.68,2157.25,0.37,0.01,0.14,0.42,0.99,0.56,0.01
2020,0.0,84.76,11.78,51.24,14.58,160.7,0.35,542.61,32.83,14.26,-0.46,27.26,trd_cut90_ge25_fixed,187.06,702.07,41.52,889.13,0.61,0.18,0.02,0.03,0.79,0.05,0.21
