,type,period,load_zone,trade,Scenario,multiplier,trade_1
166,export,2045,Brazil,1.74021,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-1.74021
167,export,2045,Chile,0.00346,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.00346
168,export,2045,Paraguay,0.00556,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.00556
169,export,2045,Uruguay,0.15609,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.15609
170,export,2050,Argentina,1.64437,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-1.64437
171,export,2050,Brazil,1.64993,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-1.64993
172,export,2050,Chile,0.00225,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.00225
173,export,2050,Paraguay,0.00314,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.00314
174,export,2050,Uruguay,0.43461,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.43461
175,import,2020,Argentina,1.32141,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,1.32141
176,import,2020,Brazil,1.15188,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,1.15188
177,import,2020,Chile,0.00645,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.00645
178,import,2020,Paraguay,0.0,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.0
179,import,2020,Uruguay,0.16003,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.16003
180,import,2025,Argentina,0.85308,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.85308
181,import,2025,Brazil,0.71382,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.71382
182,import,2025,Chile,0.00365,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.00365
183,import,2025,Paraguay,0.0,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.0
184,import,2025,Uruguay,1.47149,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,1.47149
185,import,2030,Argentina,0.95414,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.95414
186,import,2030,Brazil,0.80287,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.80287
187,import,2030,Chile,0.00397,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.00397
188,import,2030,Paraguay,0.0,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.0
189,import,2030,Uruguay,1.77726,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,1.77726
190,import,2035,Argentina,0.48432,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.48432
191,import,2035,Brazil,0.75988,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.75988
192,import,2035,Chile,0.00472,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.00472
193,import,2035,Paraguay,0.00016,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.00016
194,import,2035,Uruguay,2.81379,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,2.81379
195,import,2040,Argentina,0.52123,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.52123
196,import,2040,Brazil,0.89104,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.89104
197,import,2040,Chile,0.00564,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.00564
198,import,2040,Paraguay,5e-05,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,5e-05
199,import,2040,Uruguay,2.45881,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,2.45881
200,import,2045,Argentina,0.42505,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.42505
201,import,2045,Brazil,1.01166,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,1.01166
202,import,2045,Chile,0.00455,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.00455
203,import,2045,Paraguay,0.00186,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.00186
204,import,2045,Uruguay,1.97002,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,1.97002
205,import,2050,Argentina,0.40153,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.40153
206,import,2050,Brazil,1.36222,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,1.36222
207,import,2050,Chile,0.00567,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.00567
208,import,2050,Paraguay,0.00429,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,0.00429
209,import,2050,Uruguay,1.96058,Trade Emission cut 90% Vestas V90 3000 Single-Axis,1,1.96058
210,export,2020,Argentina,0.37606,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.37606
211,export,2020,Brazil,0.89278,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.89278
212,export,2020,Chile,0.0,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.0
213,export,2020,Paraguay,0.00861,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.00861
214,export,2020,Uruguay,1.42567,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-1.42567
215,export,2025,Argentina,0.99357,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.99357
216,export,2025,Brazil,1.5319,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-1.5319
217,export,2025,Chile,0.00168,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.00168
218,export,2025,Paraguay,0.00785,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.00785
219,export,2025,Uruguay,0.19895,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.19895
220,export,2030,Argentina,1.16146,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-1.16146
221,export,2030,Brazil,2.126,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-2.126
222,export,2030,Chile,0.00228,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.00228
223,export,2030,Paraguay,0.00777,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.00777
224,export,2030,Uruguay,0.27907,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.27907
225,export,2035,Argentina,1.39207,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-1.39207
226,export,2035,Brazil,2.54796,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-2.54796
227,export,2035,Chile,0.00268,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.00268
228,export,2035,Paraguay,0.00772,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.00772
229,export,2035,Uruguay,0.28118,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.28118
230,export,2040,Argentina,1.32209,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-1.32209
231,export,2040,Brazil,2.24086,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-2.24086
232,export,2040,Chile,0.00186,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.00186
