index,Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,ann_cfs_ninja_wind_vestas_v90_2mw_100m
214,-40.25,-66.25,p_wind_Argentina_AR515,Argentina,468,0.14,50.88560348,0.4419408014571944
215,-40.75,-66.25,p_wind_Argentina_AR516,Argentina,477,0.13,61.49833489,0.47019410291439107
216,-41.25,-66.25,p_wind_Argentina_AR517,Argentina,366,0.12,64.8631186,0.5584699453551926
217,-41.75,-66.25,p_wind_Argentina_AR518,Argentina,477,0.13,66.95703373,0.5981607468123846
218,-42.25,-66.25,p_wind_Argentina_AR519,Argentina,291,0.16,74.58242487,0.582698998178507
219,-42.75,-66.25,p_wind_Argentina_AR520,Argentina,204,0.24,20.85512359,0.5566435564663058
220,-43.25,-66.25,p_wind_Argentina_AR521,Argentina,78,0.28,23.93463245,0.5369591302367962
221,-43.75,-66.25,p_wind_Argentina_AR522,Argentina,612,0.29,9.702835528,0.5580622723133
222,-44.25,-66.25,p_wind_Argentina_AR523,Argentina,315,0.31,0.239078126,0.5909084699453564
223,-44.75,-66.25,p_wind_Argentina_AR524,Argentina,135,0.32,27.98946021,0.6015474726775936
224,-47.25,-66.25,p_wind_Argentina_AR525,Argentina,603,0.4,32.30203495,0.5849861111111103
225,-47.75,-66.25,p_wind_Argentina_AR526,Argentina,510,0.38,17.61384663,0.5959943078324238
226,-54.75,-66.25,p_wind_Argentina_AR527,Argentina,342,0.42,402.9236661,0.6141417349726795
227,-34.75,-65.75,p_wind_Argentina_AR553,Argentina,1395,0.08,89.61257436,0.35469956739526476
228,-35.25,-65.75,p_wind_Argentina_AR554,Argentina,1500,0.09,138.9124057,0.3562542122040088
229,-35.75,-65.75,p_wind_Argentina_AR555,Argentina,1569,0.09,157.041227,0.3649943078324221
230,-36.25,-65.75,p_wind_Argentina_AR556,Argentina,1578,0.09,138.7642465,0.36974612932604795
231,-36.75,-65.75,p_wind_Argentina_AR557,Argentina,1575,0.1,121.0281639,0.3826558515482704
232,-37.25,-65.75,p_wind_Argentina_AR558,Argentina,1089,0.1,84.69118748,0.4104343123861586
233,-37.75,-65.75,p_wind_Argentina_AR559,Argentina,1362,0.11,36.00051964,0.43182137978142227
234,-38.25,-65.75,p_wind_Argentina_AR560,Argentina,1290,0.12,3.350795078,0.44604861111111177
235,-38.75,-65.75,p_wind_Argentina_AR561,Argentina,1014,0.13,40.9328933,0.4554475182149389
236,-39.25,-65.75,p_wind_Argentina_AR562,Argentina,969,0.14,30.79745485,0.45864184881603187
237,-39.75,-65.75,p_wind_Argentina_AR563,Argentina,756,0.14,4.367054172,0.4590551001821511
238,-40.25,-65.75,p_wind_Argentina_AR564,Argentina,120,0.14,9.086433924,0.44901980874317
239,-40.75,-65.75,p_wind_Argentina_AR565,Argentina,171,0.14,20.08556192,0.46522700364298825
240,-41.25,-65.75,p_wind_Argentina_AR566,Argentina,810,0.15,22.97950895,0.5305220856101996
241,-41.75,-65.75,p_wind_Argentina_AR567,Argentina,531,0.19,25.391979,0.5741906876138455
242,-42.25,-65.75,p_wind_Argentina_AR568,Argentina,435,0.24,36.0867861,0.5776725865209473
243,-42.75,-65.75,p_wind_Argentina_AR569,Argentina,498,0.3,10.48887217,0.5599685792349731
244,-43.25,-65.75,p_wind_Argentina_AR570,Argentina,477,0.34,4.380226204,0.5436127049180349
245,-43.75,-65.75,p_wind_Argentina_AR571,Argentina,441,0.34,17.79155114,0.5618874089253165
246,-44.25,-65.75,p_wind_Argentina_AR572,Argentina,102,0.36,28.29127179,0.5906185109289606
247,-44.75,-65.75,p_wind_Argentina_AR573,Argentina,354,0.4,59.09376954,0.5986453779599277
248,-47.25,-65.75,p_wind_Argentina_AR574,Argentina,369,0.46,48.2578543,0.5838680555555535
249,-54.75,-65.75,p_wind_Argentina_AR575,Argentina,273,0.51,421.2177551,0.6314812158469948
250,-34.25,-65.25,p_wind_Argentina_AR600,Argentina,1617,0.07,27.77411045,0.3025568078324232
251,-34.75,-65.25,p_wind_Argentina_AR601,Argentina,1497,0.09,82.19451148,0.3073308287795991
252,-35.25,-65.25,p_wind_Argentina_AR602,Argentina,1575,0.1,94.17996454,0.3143966302367959
253,-35.75,-65.25,p_wind_Argentina_AR603,Argentina,1599,0.09,118.1082692,0.322683857012751
254,-36.25,-65.25,p_wind_Argentina_AR604,Argentina,1575,0.1,97.65620911,0.33549556010928944
255,-36.75,-65.25,p_wind_Argentina_AR605,Argentina,1554,0.1,86.04405326,0.3620081967213131
256,-37.25,-65.25,p_wind_Argentina_AR606,Argentina,1188,0.11,51.87817835,0.4069591302367961
257,-37.75,-65.25,p_wind_Argentina_AR607,Argentina,1320,0.11,14.7460201,0.4412710610200375
258,-38.25,-65.25,p_wind_Argentina_AR608,Argentina,1422,0.12,29.29667,0.4557907559198555
259,-38.75,-65.25,p_wind_Argentina_AR609,Argentina,1236,0.14,11.7385528,0.4623728369763241
260,-39.25,-65.25,p_wind_Argentina_AR610,Argentina,723,0.14,12.55310491,0.46496197632058583
261,-39.75,-65.25,p_wind_Argentina_AR611,Argentina,699,0.14,22.54140748,0.4686303506375243
262,-41.25,-65.25,p_wind_Argentina_AR614,Argentina,369,0.19,7.445328019,0.5108057832422601
