period,Battery,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs
2050,15.742900835209573,12.7672,0.7249039782906816,10.490200000000002,0.0,7.472999999999999,0.125,40.3331,94.17857873793534,0.04,0.2,133.136,81.455,3.745,0.0,0.0,175.18757481231185,0.0,304.67293158851373,trd_cut90_ge25_fixed
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_cut90_ge15_fixed
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,12.626101186601048,0.04,0.0,133.21,14.452,3.745,0.0,6.027,21.729543718234922,7.117,53.61726323158563,trd_cut90_ge15_fixed
2040,0.0,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,31.625529905388746,0.04,0.2,133.21,66.475,3.745,0.0,6.027,82.26673456763416,7.117,118.41516075688939,trd_cut90_ge15_fixed
2050,16.235276559446316,12.7672,4.845536975289926,10.490200000000002,0.0,7.472999999999999,0.125,40.3331,88.082652376761,0.04,0.2,133.136,81.63700000000003,3.745,1.5228173335842825,0.0,186.25925744671295,0.0,302.89773403934686,trd_cut90_ge15_fixed
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_cut90_gamesa2_fixed
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,16.049077526487213,0.04,0.2,133.21,15.424,3.745,0.0,6.027,59.84897250407031,7.117,35.59622482024047,trd_cut90_gamesa2_fixed
2040,0.5139260448339784,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,31.21818642004642,0.04,0.2,133.21,67.805,3.745,0.0,6.027,126.79740621566613,7.117,106.92250028095614,trd_cut90_gamesa2_fixed
2050,16.59660258331551,12.7672,15.249722216050023,10.490200000000002,0.0,7.472999999999999,0.0,40.3331,72.30924457137974,0.04,0.2,133.136,81.637,3.745,9.95,0.0,193.41085120785098,0.0,276.54344503403655,trd_cut90_gamesa2_fixed
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_cut90_enercon7_fixed
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,17.87823203297324,0.04,0.2,133.21,15.424,3.745,0.0,6.027,68.06104967196212,7.117,30.578698921263207,trd_cut90_enercon7_fixed
2040,0.4234338664980297,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,31.376401050396694,0.04,0.2,133.21,67.805,3.745,0.0,6.027,129.96570574993373,7.117,106.38072066484145,trd_cut90_enercon7_fixed
2050,16.44806018436728,12.7672,9.57869828271685,10.490200000000002,0.0,7.472999999999999,0.0,40.3331,73.44653077219893,0.04,0.2,133.136,83.764,3.745,9.95,0.0,193.33190415223888,0.0,296.985686085735,trd_cut90_enercon7_fixed
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_cut90_enercon3_fixed
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,9.172070622633562,0.04,0.0,133.21,12.96,3.745,0.0,6.027,2.1691,7.117,62.3220708766099,trd_cut90_enercon3_fixed
2040,0.0,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,33.19719843613921,0.04,0.2,133.21,62.262000000000015,3.745,0.0,6.027,22.973672666910613,7.117,139.54581251088598,trd_cut90_enercon3_fixed
2050,14.96889701606923,12.7672,0.0,10.490200000000002,0.0,7.472999999999999,0.125,40.3331,108.37169195486453,0.04,0.2,133.136,69.41100000000002,3.745,0.0,0.0,159.46883290781423,0.0,299.4712882325288,trd_cut90_enercon3_fixed
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_vestas2_1axis
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,11.590021848910414,0.04,0.0,133.21,13.406,3.745,0.0,6.027,44.696471120429834,7.117,26.4467452087162,trd_vestas2_1axis
2040,0.0,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,60.55887126841996,0.04,0.0,133.21,48.384,3.745,0.0,6.027,65.97277577333244,7.117,33.27642985263959,trd_vestas2_1axis
2050,3.596233569912263,12.7672,0.0,10.490200000000002,0.0,7.472999999999999,0.125,40.3331,161.25155771984734,0.04,0.0,133.136,53.32,3.745,0.0,0.0,134.2638411374437,0.0,97.74166968192233,trd_vestas2_1axis
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_vestas7_1axis
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,15.025739999999935,0.04,0.0,133.21,12.66,3.745,0.0,6.027,79.24523781979714,7.117,4.929,trd_vestas7_1axis
2040,0.0,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,72.50487119249932,0.04,0.0,133.21,39.842,3.745,0.0,6.027,91.31380060519936,7.117,6.044430460005151,trd_vestas7_1axis
2050,4.163329682138997,12.7672,0.0,10.490200000000002,0.0,7.472999999999999,0.125,40.3331,165.47978362651284,0.04,0.0,133.136,53.59,3.745,0.0,0.0,150.0932695365069,0.0,57.21909353078489,trd_vestas7_1axis
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_vestas3_1axis
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,15.641864999999934,0.04,0.0,133.21,12.66,3.745,0.0,6.027,87.20743034079482,7.117,0.0,trd_vestas3_1axis
2040,0.0,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,73.33850349033641,0.04,0.0,133.21,39.712,3.745,0.0,6.027,99.19134424112488,7.117,0.41537207730818737,trd_vestas3_1axis
2050,4.33966002276239,12.7672,0.0,10.490200000000002,0.0,7.472999999999999,0.125,40.3331,164.52297475380442,0.04,0.0,133.136,57.174,3.745,0.0,0.0,153.19807621358436,0.0,34.79092178746446,trd_vestas3_1axis
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_siemens36_1axis
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,15.348614999999937,0.04,0.0,133.21,12.66,3.745,0.0,6.027,83.47041319497843,7.117,2.346,trd_siemens36_1axis
2040,0.0,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,72.98323273931831,0.04,0.0,133.21,39.712,3.745,0.0,6.027,95.3287482115794,7.117,3.2575380854531284,trd_siemens36_1axis
2050,4.159935733178471,12.7672,0.0,10.490200000000002,0.0,7.472999999999999,0.125,40.3331,162.31440701597882,0.04,0.0,133.136,57.174,3.745,0.0,0.0,151.75047135214257,0.0,53.89725800674147,trd_siemens36_1axis
