project,period,specified_capacity_mw,specified_capacity_mwh
E_Uruguay_Gas_OCGT_2015_rest,2035,840.3,
E_Hydro_Argentina_Colorado,2035,74.0,
E_Hydro_Argentina_De_la_Plata,2035,1992.0,
E_Hydro_Argentina_Futaleufu,2035,472.0,
E_Hydro_Argentina_Negro,2035,4199.0,
E_Hydro_Argentina_Unknown,2035,328.0,
E_Hydro_Brazil_Amazonas,2035,8836.0,
E_Hydro_Brazil_De_la_Plata,2035,26062.0,
E_Hydro_Brazil_Doce,2035,131.0,
E_Hydro_Brazil_Jacui_Camaqua_Jaguaron,2035,662.0,
E_Hydro_Brazil_Paraiba_do_Sul,2035,408.0,
E_Hydro_Brazil_Paranaiba,2035,225.0,
E_Hydro_Brazil_Sao_Francisco,2035,6416.0,
E_Hydro_Brazil_Unknown,2035,15657.0,
E_Hydro_Chile_Maule_Itata,2035,400.0,
E_Hydro_Chile_Unknown,2035,377.0,
E_Hydro_Paraguay_De_la_Plata,2035,8810.0,
E_Hydro_Uruguay_De_la_Plata,2035,593.0,
E_Hydro_Argentina_wb_rest,2035,4245.0,
E_Hydro_Brazil_wb_rest,2035,46206.0,
E_Hydro_Chile_wb_rest,2035,6172.0,
E_Hydro_Uruguay_wb_rest,2035,945.0,
E_Argentina_SolarPV,2035,439.0,
E_Argentina_Wind,2035,1609.0,
E_Brazil_SolarPV,2035,2074.0,
E_Brazil_Wind,2035,1487.0,
E_Chile_SolarPV,2035,3258.0,
E_Chile_Wind,2035,2507.0,
E_Uruguay_SolarPV,2035,256.0,
E_Uruguay_Wind,2035,1514.0,
E_Argentina_Coal_Sub_60s,2040,0,
E_Brazil_Biomass_60s,2040,0,
E_Brazil_Coal_Sub_60s,2040,0,
E_Argentina_Coal_Sub_70s,2040,0,
E_Brazil_Biomass_70s,2040,0,
E_Brazil_Coal_Sub_70s,2040,708.0,
E_Argentina_Coal_Sub_80s,2040,1982.2,
E_Brazil_Biomass_80s,2040,0,
E_Argentina_Coal_Sub_90s,2040,981.0,
E_Brazil_Biomass_90s,2040,979.0,
E_Brazil_Coal_Sub_90s,2040,387.4,
E_Argentina_Diesel_00s,2040,468.8,
E_Brazil_Biomass_00s,2040,3923.8,
E_Brazil_Coal_Sub_00s,2040,297.1,
E_Brazil_Diesel_00s,2040,180.79999999999973,
E_Argentina_Coal_Sub_10s,2040,13.2,
E_Argentina_Diesel_10s,2040,1194.2,
E_Brazil_Biomass_10s,2040,6653.9,
E_Brazil_Coal_Sub_10s,2040,1148.3,
E_Brazil_Diesel_10s,2040,4116.2,
E_Chile_Biomass_10s,2040,383.9,
E_Chile_Coal_Sub_10s,2040,4600.0,
E_Chile_Diesel_10s,2040,1404.0000000000002,
E_Uruguay_Biomass_10s,2040,412.7,
E_Uruguay_Diesel_10s,2040,84.0,
E_Argentina_Gas_OCGT_60s,2040,0,
E_Brazil_Gas_OCGT_60s,2040,0,
E_Argentina_Gas_OCGT_70s,2040,0,
E_Brazil_Gas_OCGT_70s,2040,0,
E_Argentina_Gas_OCGT_80s,2040,755.4,
