scenario,SolarPV Atacama/Andes,SolarPV Caatinga,SolarPV Cerrado,SolarPV Gran Chaco,SolarPV Monte Desert,SolarPV Pampas,Wind Caatinga,Wind Coastal,Wind Gran Chaco,Wind Pampas,Wind Patagonia,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re20_c2p1_co2_cut90p_t1,23730.398493621116,47484.7,76830.4,6444.4,0.0,4978.934414193135,134907.0,5466.0,4461.638764176462,74648.11282487877,79988.53664347358,1,1,20,1,"90%Cut,Lim",111
prm15_wcost_re17_c2p1_co2_cut90p_t1,38039.72937392698,48974.4,84364.6,9309.0,417.7,5153.828072785969,155382.0,3348.0,4114.267430476213,60070.46660887066,79983.0,1,1,17,1,"90%Cut,Lim",111
prm15_wcost_re16_c2p1_co2_cut90p_t1,28694.20893531564,48974.4,83652.0,8411.658234474258,273.5,5181.807642521961,148881.0,5587.722049649163,4118.586565497107,65988.56117049504,80097.06180287243,1,1,16,1,"90%Cut,Lim",111
prm15_wcost_re19_c2p1_co2_cut90p_t1,40789.154074585254,48974.4,84364.6,11166.281543988896,2587.7,5449.768533664745,128680.43209372737,3657.0,4061.245258158216,78362.10509682307,82224.90363702633,1,1,19,1,"90%Cut,Lim",111
prm15_wcost_re1_c2p1_co2_cut90p_t1,43026.23861429983,48974.4,83991.5,9732.947817718255,2875.8,4631.917843309725,131773.70084141617,2841.0,3269.351032344911,57373.85310578668,63981.5913361675,1,1,1,0,"90%Cut,Lim",110
prm15_wcost_re9_c2p1_co2_cut90p_tn,44913.103828271,48974.4,84364.5999999997,9236.4999999996,0.0,6401.8557048148705,130829.607119576,1005.7689960669,15374.592401803,59700.351081934,82570.774796177,1,0,9,0,"90%Cut,Full",100
prm15_wcost_re18_c2p1_co2_cut90p_tn,26471.329451573998,48974.4,83500.5,5488.470342536,0.0,5672.2447954136005,142685.093030993,654.0,16819.394608817,47554.0646517507,96735.0,1,0,18,1,"90%Cut,Full",101
prm15_wcost_re10_c2p1_co2_cut90p_tn,39686.71110470307,48260.29999999964,79891.8,7661.578022166,0.0,5647.0048367665,107493.50519766,636.0,10916.973916556999,51621.4096810105,65321.919676108,1,0,10,0,"90%Cut,Full",100
prm15_wcost_re17_c2p1_co2_cut90p_tn,23829.7417943002,48974.399999999,82387.3,5926.7,0.0,5579.6866758385,138137.9999999982,1254.0,15767.179385015,54078.1477848042,85285.7783506992,1,0,17,1,"90%Cut,Full",101
prm15_wcost_re8_c2p1_co2_cut90p_tn,42586.9259397856,48974.4,84364.6,9297.9230042999,0.0,6320.5878246285,132609.525495665,654.0,15069.0,40760.7582861587,84086.3621816702,1,0,8,0,"90%Cut,Full",100
prm15_wcost_re11_c2p1_co2_cut90p_tn,23872.783007135098,46387.4999999999,73369.0199583909,5541.5014666807,0.0,5188.70742747,128069.999999993,1290.0,13666.201125616,49407.129104409,80805.436863304,1,0,11,1,"90%Cut,Full",101
prm15_wcost_re7_c2p1_co2_cut90p_tn,39845.269065415,48974.4,83827.79999999954,7945.9494802816,0.0,5729.564825714785,129374.9999999951,654.0,13754.38226028,39956.7197994529,72855.024140416,1,0,7,0,"90%Cut,Full",100
prm15_wcost_re19_c2p1_co2_cut90p_tn,30601.4967666429,48974.3999999998,84268.0999999994,6640.8,0.0,5838.66859383634,138023.027380095,2241.0,16372.89825162,66333.425176366,94279.427077184,1,0,19,1,"90%Cut,Full",101
prm15_wcost_re2_c2p1_co2_cut90p_tn,43149.7317373287,48974.3999999997,84364.6,7921.1,0.0,5994.66148848466,125186.581302271,654.0,14656.53858142,44978.703652137,76529.8233342429,1,0,2,0,"90%Cut,Full",100
prm15_wcost_re14_c2p1_co2_cut90p_tn,26825.139999338,48974.3999999996,84268.1,6445.3810152936,0.0,5685.70705246279,139324.524692916,1254.0,16527.54968334,55098.466267613,96274.1591573579,1,0,14,1,"90%Cut,Full",101
prm15_wcost_re1_c2p1_co2_cut90p_tn,40147.7635105438,48598.2,81495.6396395443,7470.4922137425,0.0,5588.9503964419,116712.821607413,654.0,11322.044662921,39331.19407409733,66427.4364402958,1,0,1,0,"90%Cut,Full",100
prm15_wcost_re12_c2p1_co2_cut90p_tn,25791.964359073445,48974.4,84193.1,6215.2423565602,0.0,5718.3785168432005,133245.016390149,1290.0,16080.174477639,59349.132932508,92139.7806407768,1,0,12,1,"90%Cut,Full",101
prm15_wcost_re5_c2p1_co2_cut90p_tn,40238.331619624,48974.4,84141.6226002288,7921.1,0.0,5836.3567314405,129374.999999999,654.0,13971.487284935,40064.5128481549,75275.3453289339,1,0,5,0,"90%Cut,Full",100
prm15_wcost_re20_c2p1_co2_cut90p_tn,24153.5402518804,44595.8,70710.8,5896.42915166,0.0,4726.9576779811405,121646.684173983,2403.0,13109.66869301,63397.0062906569,74961.4118591344,1,0,20,1,"90%Cut,Full",101
prm15_wcost_re13_c2p1_co2_cut90p_tn,31151.5598891605,48974.4,84193.0999999992,5910.460036841,0.0,5898.6071395936,136743.867921082,654.0,17009.456038645,49429.38675331,96735.0,1,0,13,1,"90%Cut,Full",101
prm15_wcost_re4_c2p1_co2_cut90p_tn,43180.9399961667,48974.4,84364.5999999996,8190.3,0.0,5939.3223130616,133020.024304039,654.0,15397.356153023,42198.71655587,79890.3816782552,1,0,4,0,"90%Cut,Full",100
prm15_wcost_re15_c2p1_co2_cut90p_tn,23913.54408192,48974.4,83153.3,6060.2,0.0,5575.45069619416,136561.674729724,1254.0,15912.5160502945,52321.7045868047,89049.708582734,1,0,15,1,"90%Cut,Full",101
prm15_wcost_re3_c2p1_co2_cut90p_tn,44090.8981784276,48974.4,84364.6,8741.820028341,0.0,6376.50475315735,124274.7479454448,654.0,15094.6510530494,40964.882841699,84571.435874753,1,0,3,0,"90%Cut,Full",100
prm15_wcost_re16_c2p1_co2_cut90p_tn,24417.7534676398,48034.99999999999,78452.1,5581.62672729,0.0,5583.61622290417,129129.523306718,1290.0,14237.902109969,52073.580658661,81839.99999999569,1,0,16,1,"90%Cut,Full",101
prm15_wcost_re6_c2p1_co2_cut90p_tn,40809.7008057191,48680.5274670951,82483.9,7404.1952533888,0.0,5718.3579075968,117038.150807335,654.0,12068.745442307,39532.9818115868,69848.7029537988,1,0,6,0,"90%Cut,Full",100
