Latitude,Longitude,project,load_zone,biome
-23.25,-66.75,p_solar_Argentina_AR431,Argentina,Atacama/Andes
-23.75,-66.75,p_solar_Argentina_AR432,Argentina,Atacama/Andes
-24.75,-66.75,p_solar_Argentina_AR434,Argentina,Atacama/Andes
-25.25,-66.75,p_solar_Argentina_AR435,Argentina,Atacama/Andes
-25.75,-66.75,p_solar_Argentina_AR436,Argentina,Atacama/Andes
-26.25,-66.75,p_solar_Argentina_AR437,Argentina,Atacama/Andes
-26.75,-66.75,p_solar_Argentina_AR438,Argentina,Atacama/Andes
-27.25,-66.75,p_solar_Argentina_AR439,Argentina,Gran Chaco
-27.75,-66.75,p_solar_Argentina_AR440,Argentina,Gran Chaco
-31.25,-66.75,p_solar_Argentina_AR447,Argentina,Monte Desert
-31.75,-66.75,p_solar_Argentina_AR448,Argentina,Monte Desert
-32.25,-66.75,p_solar_Argentina_AR449,Argentina,Monte Desert
-32.75,-66.75,p_solar_Argentina_AR450,Argentina,Monte Desert
-33.25,-66.75,p_solar_Argentina_AR451,Argentina,Monte Desert
-33.75,-66.75,p_solar_Argentina_AR452,Argentina,Monte Desert
-34.25,-66.75,p_solar_Argentina_AR453,Argentina,Monte Desert
-34.75,-66.75,p_solar_Argentina_AR454,Argentina,Monte Desert
-35.25,-66.75,p_solar_Argentina_AR455,Argentina,Monte Desert
-35.75,-66.75,p_solar_Argentina_AR456,Argentina,Monte Desert
-36.25,-66.75,p_solar_Argentina_AR457,Argentina,Monte Desert
-36.75,-66.75,p_solar_Argentina_AR458,Argentina,Monte Desert
-37.25,-66.75,p_solar_Argentina_AR459,Argentina,Monte Desert
-37.75,-66.75,p_solar_Argentina_AR460,Argentina,Monte Desert
-38.25,-66.75,p_solar_Argentina_AR461,Argentina,Monte Desert
-38.75,-66.75,p_solar_Argentina_AR462,Argentina,Monte Desert
-39.25,-66.75,p_solar_Argentina_AR463,Argentina,Monte Desert
-39.75,-66.75,p_solar_Argentina_AR464,Argentina,Monte Desert
-40.25,-66.75,p_solar_Argentina_AR465,Argentina,Monte Desert
-40.75,-66.75,p_solar_Argentina_AR466,Argentina,Monte Desert
-41.25,-66.75,p_solar_Argentina_AR467,Argentina,Monte Desert
-41.75,-66.75,p_solar_Argentina_AR468,Argentina,Monte Desert
-42.25,-66.75,p_solar_Argentina_AR469,Argentina,Monte Desert
-42.75,-66.75,p_solar_Argentina_AR470,Argentina,Monte Desert
-43.25,-66.75,p_solar_Argentina_AR471,Argentina,Monte Desert
-43.75,-66.75,p_solar_Argentina_AR472,Argentina,Monte Desert
-44.25,-66.75,p_solar_Argentina_AR473,Argentina,Monte Desert
-44.75,-66.75,p_solar_Argentina_AR474,Argentina,Monte Desert
-47.25,-66.75,p_solar_Argentina_AR475,Argentina,Monte Desert
-47.75,-66.75,p_solar_Argentina_AR476,Argentina,Monte Desert
-22.25,-66.25,p_solar_Argentina_AR479,Argentina,Atacama/Andes
-22.75,-66.25,p_solar_Argentina_AR480,Argentina,Atacama/Andes
-23.25,-66.25,p_solar_Argentina_AR481,Argentina,Atacama/Andes
-23.75,-66.25,p_solar_Argentina_AR482,Argentina,Atacama/Andes
-24.25,-66.25,p_solar_Argentina_AR483,Argentina,Atacama/Andes
-24.75,-66.25,p_solar_Argentina_AR484,Argentina,Atacama/Andes
-25.25,-66.25,p_solar_Argentina_AR485,Argentina,Atacama/Andes
-25.75,-66.25,p_solar_Argentina_AR486,Argentina,Atacama/Andes
-26.25,-66.25,p_solar_Argentina_AR487,Argentina,Atacama/Andes
-26.75,-66.25,p_solar_Argentina_AR488,Argentina,Gran Chaco
-27.25,-66.25,p_solar_Argentina_AR489,Argentina,Gran Chaco
-27.75,-66.25,p_solar_Argentina_AR490,Argentina,Gran Chaco
-31.25,-66.25,p_solar_Argentina_AR497,Argentina,Monte Desert
-31.75,-66.25,p_solar_Argentina_AR498,Argentina,Monte Desert
-32.25,-66.25,p_solar_Argentina_AR499,Argentina,Monte Desert
-32.75,-66.25,p_solar_Argentina_AR500,Argentina,Monte Desert
-33.75,-66.25,p_solar_Argentina_AR502,Argentina,Monte Desert
-34.25,-66.25,p_solar_Argentina_AR503,Argentina,Monte Desert
-34.75,-66.25,p_solar_Argentina_AR504,Argentina,Monte Desert
-35.25,-66.25,p_solar_Argentina_AR505,Argentina,Monte Desert
-35.75,-66.25,p_solar_Argentina_AR506,Argentina,Monte Desert
-36.25,-66.25,p_solar_Argentina_AR507,Argentina,Monte Desert
-36.75,-66.25,p_solar_Argentina_AR508,Argentina,Monte Desert
-37.25,-66.25,p_solar_Argentina_AR509,Argentina,Monte Desert
-37.75,-66.25,p_solar_Argentina_AR510,Argentina,Monte Desert
-38.25,-66.25,p_solar_Argentina_AR511,Argentina,Monte Desert
-38.75,-66.25,p_solar_Argentina_AR512,Argentina,Monte Desert
-39.25,-66.25,p_solar_Argentina_AR513,Argentina,Monte Desert
-39.75,-66.25,p_solar_Argentina_AR514,Argentina,Monte Desert
-40.25,-66.25,p_solar_Argentina_AR515,Argentina,Monte Desert
-40.75,-66.25,p_solar_Argentina_AR516,Argentina,Monte Desert
-41.25,-66.25,p_solar_Argentina_AR517,Argentina,Monte Desert
-41.75,-66.25,p_solar_Argentina_AR518,Argentina,Monte Desert
-42.25,-66.25,p_solar_Argentina_AR519,Argentina,Monte Desert
-42.75,-66.25,p_solar_Argentina_AR520,Argentina,Monte Desert
-43.25,-66.25,p_solar_Argentina_AR521,Argentina,Monte Desert
-43.75,-66.25,p_solar_Argentina_AR522,Argentina,Monte Desert
-44.25,-66.25,p_solar_Argentina_AR523,Argentina,Monte Desert
-44.75,-66.25,p_solar_Argentina_AR524,Argentina,Monte Desert
-47.25,-66.25,p_solar_Argentina_AR525,Argentina,Monte Desert
-47.75,-66.25,p_solar_Argentina_AR526,Argentina,Monte Desert
-22.25,-65.75,p_solar_Argentina_AR528,Argentina,Atacama/Andes
-22.75,-65.75,p_solar_Argentina_AR529,Argentina,Atacama/Andes
-23.25,-65.75,p_solar_Argentina_AR530,Argentina,Atacama/Andes
-23.75,-65.75,p_solar_Argentina_AR531,Argentina,Atacama/Andes
-24.25,-65.75,p_solar_Argentina_AR532,Argentina,Atacama/Andes
-24.75,-65.75,p_solar_Argentina_AR533,Argentina,Atacama/Andes
-25.25,-65.75,p_solar_Argentina_AR534,Argentina,Atacama/Andes
-25.75,-65.75,p_solar_Argentina_AR535,Argentina,Gran Chaco
-26.75,-65.75,p_solar_Argentina_AR537,Argentina,Gran Chaco
-27.25,-65.75,p_solar_Argentina_AR538,Argentina,Gran Chaco
-27.75,-65.75,p_solar_Argentina_AR539,Argentina,Gran Chaco
-32.75,-65.75,p_solar_Argentina_AR549,Argentina,Monte Desert
-33.25,-65.75,p_solar_Argentina_AR550,Argentina,Monte Desert
-33.75,-65.75,p_solar_Argentina_AR551,Argentina,Monte Desert
-34.25,-65.75,p_solar_Argentina_AR552,Argentina,Monte Desert
-34.75,-65.75,p_solar_Argentina_AR553,Argentina,Monte Desert
-35.25,-65.75,p_solar_Argentina_AR554,Argentina,Monte Desert
-35.75,-65.75,p_solar_Argentina_AR555,Argentina,Monte Desert
-36.25,-65.75,p_solar_Argentina_AR556,Argentina,Monte Desert
-36.75,-65.75,p_solar_Argentina_AR557,Argentina,Monte Desert
-37.25,-65.75,p_solar_Argentina_AR558,Argentina,Monte Desert
-37.75,-65.75,p_solar_Argentina_AR559,Argentina,Monte Desert
-38.25,-65.75,p_solar_Argentina_AR560,Argentina,Monte Desert
-38.75,-65.75,p_solar_Argentina_AR561,Argentina,Monte Desert
-39.25,-65.75,p_solar_Argentina_AR562,Argentina,Monte Desert
-39.75,-65.75,p_solar_Argentina_AR563,Argentina,Monte Desert
-40.25,-65.75,p_solar_Argentina_AR564,Argentina,Monte Desert
