Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,cf_vestas_2,cf_vestas_7,cf_vestas_3,cf_siemens_36,cf_siemens_23,cf_GE_25,cf_GE_15,cf_gamesa_2,cf_enercon_7,cf_enercon_3
-49.25,-75.25,p_wind_Chile_CL2,Chile,546,0.21,660.0818873,0.5293538251366127,0.4796435564663024,0.428800660291439,0.46292144808743163,0.4835466757741348,0.5165941484517305,0.4874090391621129,0.4363086293260474,0.44666495901639347,0.5441739526411656
-49.75,-75.25,p_wind_Chile_CL3,Chile,345,0.41,713.227116,0.6227494307832409,0.5794031193078323,0.5288501821493624,0.5677860883424408,0.5928035063752276,0.6122186930783241,0.5946075819672131,0.5459184881602914,0.532920878870674,0.6254903233151183
-50.25,-75.25,p_wind_Chile_CL4,Chile,423,0.54,766.7253016,0.6510622723132931,0.6094852003642988,0.5595514571948998,0.5969672131147541,0.620240209471767,0.6410617030965392,0.6216076958105647,0.5737601320582879,0.5663592896174863,0.6562717440801458
-50.75,-75.25,p_wind_Chile_CL5,Chile,204,0.62,820.5083732,0.6798493852458986,0.6400273224043714,0.5904175774134791,0.627752732240437,0.6506637067395263,0.6703892304189435,0.6514266848816029,0.6043826275045537,0.5967847222222222,0.6847723132969036
-46.25,-74.75,p_wind_Chile_CL6,Chile,87,0.38,337.1970292,0.4722176684881594,0.42453551912568305,0.37992884790528236,0.41309915755919857,0.4348162568306011,0.45965380236794173,0.4383648679417122,0.39244865664845174,0.38947495446265934,0.4784298724954463
-49.25,-74.75,p_wind_Chile_CL9,Chile,480,0.07,649.9822447,0.4233561020036431,0.3732268897996357,0.329110883424408,0.35815642076502735,0.3755366575591986,0.40988387978142077,0.37974726775956286,0.33390482695810564,0.3489511612021858,0.44017463570127513
-49.75,-74.75,p_wind_Chile_CL10,Chile,450,0.19,703.9829147,0.521913592896175,0.4733459699453552,0.4235520264116575,0.4605627276867031,0.4847721994535519,0.509506830601093,0.4883025956284153,0.43836896630236794,0.4318533697632058,0.5276115664845175
-50.75,-74.75,p_wind_Chile_CL11,Chile,363,0.42,812.6473382,0.619130009107467,0.5737137978142076,0.5214906648451729,0.5566264799635702,0.5770809426229508,0.6080096766848817,0.5795040983606556,0.5284818989071038,0.5388696493624773,0.633765141165756
-51.25,-74.75,p_wind_Chile_CL12,Chile,516,0.49,867.2298349,0.6923451730418908,0.6543217213114754,0.6061536885245903,0.6425941484517304,0.6647109517304188,0.6833964025500912,0.6650432604735883,0.6197042349726776,0.6120815118397085,0.6972011612021858
-47.25,-74.25,p_wind_Chile_CL18,Chile,162,0.12,425.6834213,0.3925273224043724,0.3468545081967213,0.30789264571949,0.3368595173041895,0.35577345173041897,0.38029382969034603,0.35916757741347904,0.3179995446265938,0.31873189890710385,0.3999093806921676
-47.75,-74.25,p_wind_Chile_CL19,Chile,252,0.06,479.2425935,0.3485786657559203,0.30246015482695815,0.26654405737704917,0.28888615664845174,0.3009814435336976,0.33589515027322403,0.3043699908925319,0.266226320582878,0.28976013205828777,0.36944478597449903
-50.25,-74.25,p_wind_Chile_CL22,Chile,414,0.09,751.5412276,0.4912714025500918,0.4418798952641166,0.39290755919854276,0.4285242486338798,0.45158583788706746,0.4785576047358834,0.45540505464480874,0.4058304872495447,0.40376240892531867,0.49936794171220406
-50.75,-74.25,p_wind_Chile_CL23,Chile,486,0.14,806.4828813,0.5531364981785093,0.504556466302368,0.4531868169398907,0.48605703551912577,0.5047725409836066,0.5408491575591986,0.5082518214936248,0.4571053051001821,0.47531716757741344,0.5723464253187615
-51.25,-74.25,p_wind_Chile_CL24,Chile,249,0.19,861.5158252,0.6370031876138403,0.5942074225865209,0.5438091985428051,0.5787517076502733,0.5992127732240436,0.6266441256830602,0.600893897996357,0.5521023451730418,0.5583392531876139,0.6492259790528233
-41.25,-73.75,p_wind_Chile_CL26,Chile,129,0.19,39.72222542,0.3220466757741351,0.2728825136612022,0.2387207422586521,0.25629371584699456,0.26355134335154823,0.3078786429872496,0.2675011384335155,0.23106830601092895,0.27130111566484516,0.3536213570127505
-42.75,-73.75,p_wind_Chile_CL28,Chile,60,0.38,6.011579757,0.3374676684881628,0.28775261839708566,0.25140209471766845,0.2681271630236794,0.27363695355191253,0.32333515482695807,0.2778364071038251,0.23992247267759562,0.2895794626593807,0.37543010018214934
-52.25,-73.75,p_wind_Chile_CL43,Chile,372,0.08,968.2392611,0.6173420992713999,0.5747526183970857,0.5263082877959927,0.5626918260473589,0.5855665983606557,0.6068537112932606,0.5873851320582878,0.5404755236794171,0.5331041666666667,0.622640368852459
-37.25,-73.25,p_wind_Chile_CL44,Chile,69,0.21,1.678076168,0.3537028688524605,0.30250170765027323,0.26161259107468127,0.2880293715846995,0.3040925546448087,0.33968078324225864,0.30921630236794173,0.26555692167577416,0.2821766848816029,0.3714688069216758
-38.75,-73.25,p_wind_Chile_CL47,Chile,438,0.16,58.84722214,0.3193702185792362,0.27070878870673953,0.23482149362477225,0.25736236338797813,0.2705465619307832,0.3057276867030965,0.27536054189435333,0.23646152094717668,0.25613524590163933,0.33836259107468125
-40.25,-73.25,p_wind_Chile_CL49,Chile,210,0.06,2.75370579,0.2878087431693991,0.23871835154826954,0.20641370673952641,0.21621698542805104,0.21477208561020036,0.27357957650273224,0.21865551001821495,0.18594057377049178,0.25599863387978145,0.34086350182149355
-41.25,-73.25,p_wind_Chile_CL51,Chile,792,0.07,1.892336801,0.2627529599271396,0.21591746357012753,0.18735587431693987,0.19860462204007284,0.19991256830601095,0.2489898679417122,0.20300079690346085,0.1729568533697632,0.2273941256830601,0.30477823315118396
-36.25,-72.75,p_wind_Chile_CL66,Chile,195,0.15,12.5362131,0.2972654826958094,0.24734779143897995,0.2123992486338798,0.23517235883424406,0.2492708333333333,0.28309005009107463,0.25452641165755924,0.21583151183970856,0.23155487249544623,0.3135862932604736
-36.75,-72.75,p_wind_Chile_CL67,Chile,312,0.09,14.75411366,0.2585333561020021,0.21104758652094718,0.18169205373406191,0.19690869763205832,0.20323690801457198,0.2446618852459016,0.2072743624772313,0.17525762750455373,0.21159540072859745,0.28856022313296903
-37.25,-72.75,p_wind_Chile_CL68,Chile,399,0.07,6.187269088,0.2755108151183981,0.22695673952641165,0.1954427367941712,0.20825626138433517,0.21087158469945352,0.26144353369763207,0.21501013205828778,0.18207092440801456,0.23536589253187615,0.3174657331511839
-43.25,-72.75,p_wind_Chile_CL79,Chile,123,0.1,0.085941888,0.2358925318761376,0.19667156193078325,0.17204747267759565,0.18452857468123862,0.18826423041894355,0.22489355646630235,0.19014583333333332,0.16361327413479052,0.2016503870673953,0.2658126138433516
-53.25,-72.75,p_wind_Chile_CL94,Chile,243,0.07,1076.678373,0.5941372950819683,0.5505824225865209,0.5035114981785063,0.5389907786885246,0.5614900956284152,0.5831493624772314,0.5635895947176686,0.517389344262295,0.5105631830601093,0.5992239298724954
-53.75,-72.75,p_wind_Chile_CL95,Chile,315,0.3,1132.3262,0.6590035291438929,0.6177803961748635,0.5698216074681238,0.6064450136612023,0.6295662568306011,0.64887352003643,0.6310933515482695,0.5849663023679418,0.5745811703096539,0.6623877504553733
-35.25,-72.25,p_wind_Chile_CL96,Chile,351,0.11,22.60800397,0.3123183060109298,0.2637995218579235,0.22696550546448088,0.254950364298725,0.274647427140255,0.2989396630236794,0.2796337659380692,0.2388002049180328,0.23595924408014574,0.3168642987249545
-35.75,-72.25,p_wind_Chile_CL97,Chile,684,0.06,9.42252747,0.2578284380692165,0.2114708561020036,0.18182764116575592,0.2018809198542805,0.2142950819672131,0.24447392987249542,0.21866678051001823,0.18504997723132968,0.19906830601092895,0.2723769353369763
-52.25,-71.75,p_wind_Chile_CL141,Chile,351,0.09,968.282743,0.6425126366120177,0.5999201958105647,0.5510947176684883,0.5860565801457194,0.6074475182149363,0.6320001138433516,0.6097093579234972,0.5623057832422587,0.5612307604735884,0.6508496129326048
-52.75,-71.75,p_wind_Chile_CL142,Chile,339,0.08,1023.734803,0.6160703551912553,0.5730293715846995,0.5254806466302369,0.5603532559198543,0.5820974499089252,0.605284266848816,0.5843459699453553,0.5377942850637523,0.5341958105646629,0.6227715163934425
-53.75,-71.75,p_wind_Chile_CL143,Chile,270,0.24,1134.707309,0.5965010245901596,0.5517831284153005,0.5036734972677596,0.53948235428051,0.5621420765027322,0.5851558515482697,0.5645012522768671,0.5171584699453552,0.5117546675774134,0.6023775045537341
-54.25,-71.75,p_wind_Chile_CL144,Chile,300,0.46,1190.222654,0.6581119080145685,0.6156803278688524,0.5660009107468125,0.6036552823315119,0.6274427367941712,0.6477244990892531,0.6291418488160292,0.5813800091074681,0.5713524590163933,0.6620477003642988
-52.25,-71.25,p_wind_Chile_CL167,Chile,897,0.23,971.8617265,0.6489048269581028,0.6057618397085611,0.5559323770491803,0.5912243852459016,0.6127599043715846,0.6383014571948998,0.615232126593807,0.566877504553734,0.5667388433515482,0.6579246357012749
-52.75,-71.25,p_wind_Chile_CL168,Chile,582,0.18,1027.083965,0.6377116347905251,0.5944760928961749,0.5453804644808743,0.5809397768670309,0.6030114981785064,0.6269995446265938,0.6054034608378871,0.5575999544626594,0.5545347222222222,0.6450045537340618
-53.25,-71.25,p_wind_Chile_CL169,Chile,306,0.17,1082.353171,0.6111985428050976,0.5672866575591986,0.519226320582878,0.5549287340619308,0.5775195810564664,0.6001372950819673,0.579905737704918,0.5327291666666667,0.5268901411657558,0.6166963797814208
-53.75,-71.25,p_wind_Chile_CL170,Chile,138,0.2,1137.663168,0.5888736338797785,0.5435716074681239,0.4952099271402549,0.5312312158469945,0.5542009335154826,0.5773669171220401,0.5567942850637523,0.5090209471766849,0.5031283014571949,0.594480077413479
-52.25,-70.75,p_wind_Chile_CL190,Chile,1140,0.35,976.8457543,0.6387397540983578,0.5944627732240437,0.5439943078324224,0.5795144581056466,0.6012855191256831,0.6278236566484517,0.604059995446266,0.5548660063752278,0.5554681238615664,0.6483258196721312
-54.25,-70.75,p_wind_Chile_CL191,Chile,165,0.21,1196.895251,0.5380726320582883,0.4908011156648451,0.4425925546448088,0.47858037340619314,0.5018362932604736,0.5259337431693989,0.5048365209471767,0.4565969945355191,0.4510826502732241,0.5440043260473588
-52.25,-70.25,p_wind_Chile_CL214,Chile,1149,0.44,983.213251,0.6254252049180308,0.5805358606557378,0.5300295992714026,0.5657130009107468,0.5877481785063753,0.614327868852459,0.5906857923497267,0.5412576275045538,0.5413958333333333,0.6348367486338797
-52.75,-70.25,p_wind_Chile_CL215,Chile,540,0.37,1037.715819,0.6287690118397042,0.5843217213114755,0.5339263433515483,0.5705439435336976,0.5935442850637522,0.6178144353369763,0.5961952413479052,0.5470144581056465,0.5428907103825137,0.6358468806921675
-53.25,-70.25,p_wind_Chile_CL216,Chile,567,0.25,1092.3366,0.6221171448087401,0.5776230646630237,0.5274036885245903,0.5648477914389799,0.5887029826958106,0.6110984744990892,0.5911277322404372,0.5421582422586522,0.5343582650273224,0.6271830601092897
-54.25,-70.25,p_wind_Chile_CL217,Chile,102,0.09,1201.870821,0.5133981102003661,0.466082650273224,0.418856102003643,0.4542081056466303,0.47716769125683056,0.5011836293260473,0.4802444216757741,0.43270878870673957,0.427400956284153,0.5192926912568305
-54.75,-70.25,p_wind_Chile_CL218,Chile,246,0.25,1256.759949,0.5250102459016406,0.4776853369763206,0.4294733606557377,0.4654993169398907,0.48873258196721314,0.5128937841530055,0.49165516848816027,0.44340676229508197,0.43826605191256834,0.5312512522768671
-52.25,-69.75,p_wind_Chile_CL242,Chile,1113,0.5,990.9372818,0.6146120218579224,0.5694636839708561,0.5190081967213115,0.5549474043715847,0.5773647540983606,0.6034507058287796,0.5803885473588343,0.5308974271402549,0.5297273451730419,0.623371243169399
-53.25,-69.75,p_wind_Chile_CL243,Chile,786,0.27,1099.143439,0.6228623633879765,0.5785028460837888,0.5281181693989071,0.5648071493624774,0.5877891621129325,0.6119377276867031,0.5902929189435336,0.541214253187614,0.5371890938069217,0.6301084927140256
-53.75,-69.75,p_wind_Chile_CL244,Chile,348,0.06,1153.470923,0.599354963570127,0.5541278460837887,0.5040464480874317,0.5405993852459017,0.5635905054644809,0.5880956284153005,0.5662304189435337,0.5171632513661202,0.5133863843351548,0.6067332650273224
-54.75,-69.75,p_wind_Chile_CL245,Chile,375,0.14,1262.481123,0.5047145947176684,0.4581495901639344,0.4116000683060109,0.4471021174863388,0.47024806466302366,0.4927480646630238,0.4729931693989072,0.4262609289617486,0.4188761384335155,0.5095295992714025
-55.25,-69.75,p_wind_Chile_CL246,Chile,216,0.4,1317.135565,0.6388641848815989,0.598938524590164,0.5525021630236794,0.5893153460837887,0.6129156420765026,0.6291091757741347,0.6139981785063753,0.5695225409836066,0.5544145036429873,0.6397045765027322
-52.75,-69.25,p_wind_Chile_CL267,Chile,924,0.48,1053.450331,0.6208237704918019,0.5767760701275044,0.5268555327868852,0.5630454234972678,0.5857576275045537,0.6099887295081968,0.5884217896174864,0.5396806693989071,0.5359419398907104,0.628082877959927
-53.25,-69.25,p_wind_Chile_CL268,Chile,1017,0.3,1107.131556,0.6227331511839687,0.5787280282331513,0.5287116347905283,0.5644265710382513,0.586501252276867,0.6119077868852458,0.5890979052823315,0.5403365209471767,0.5393064663023679,0.6314993169398906
-54.75,-69.25,p_wind_Chile_CL271,Chile,372,0.08,1269.207246,0.4993227459016374,0.4538003187613843,0.40849339708561017,0.4427975865209472,0.4648789845173042,0.48762215391621133,0.46740960837887063,0.4219553734061931,0.4167003642987249,0.5051851092896175
-52.75,-68.75,p_wind_Chile_CL288,Chile,840,0.54,1063.162369,0.6283310564663019,0.5848592896174863,0.5349658469945354,0.5718936703096539,0.595288820582878,0.6176676912568306,0.5976538023679419,0.5491607468123862,0.5421573315118398,0.6337790300546448
-53.25,-68.75,p_wind_Chile_CL289,Chile,1101,0.35,1116.275254,0.6272965619307814,0.5834602686703096,0.5333096539162113,0.5690499772313297,0.5910815118397085,0.6165488387978142,0.5936838570127505,0.5448485883424408,0.5439141621129325,0.6361070127504554
-54.75,-68.75,p_wind_Chile_CL292,Chile,261,0.07,1276.922143,0.5105868624772312,0.46569717668488164,0.4208262750455373,0.4540216302367942,0.474914048269581,0.49904417122040073,0.47732798269581056,0.43240277777777786,0.4310249316939891,0.5184749544626593
-55.25,-68.75,p_wind_Chile_CL293,Chile,276,0.31,1330.821318,0.6004540072859734,0.5584700591985428,0.5117127732240437,0.5471729280510018,0.5696218123861567,0.5900274362477231,0.5714591302367942,0.5258990209471767,0.5179097222222223,0.6049434198542806
