period,tx_line,twh,technology,scs
2045,Brazil_Uruguay,-0.3149493650061783,Trans_loss,trd_siemens36_1axis
2050,Argentina_Brazil,-0.1457946,Trans_loss,trd_siemens36_1axis
2050,Argentina_Chile,-0.00014349099999999999,Trans_loss,trd_siemens36_1axis
2050,Argentina_Paraguay,-0.00086966,Trans_loss,trd_siemens36_1axis
2050,Argentina_Uruguay,-0.12519113618636882,Trans_loss,trd_siemens36_1axis
2050,Brazil_Paraguay,-0.0,Trans_loss,trd_siemens36_1axis
2050,Brazil_Uruguay,-0.29477910665698764,Trans_loss,trd_siemens36_1axis
2020,Argentina_Brazil,-0.13155040051676087,Trans_loss,trd_siemens23_1axis
2020,Argentina_Chile,-0.00031368499999999996,Trans_loss,trd_siemens23_1axis
2020,Argentina_Paraguay,-0.0014091824999999999,Trans_loss,trd_siemens23_1axis
2020,Argentina_Uruguay,-0.10899638625668774,Trans_loss,trd_siemens23_1axis
2020,Brazil_Paraguay,-0.0,Trans_loss,trd_siemens23_1axis
2020,Brazil_Uruguay,-0.18988737849841922,Trans_loss,trd_siemens23_1axis
2025,Argentina_Brazil,-0.0882819,Trans_loss,trd_siemens23_1axis
2025,Argentina_Chile,-0.00022635199999999998,Trans_loss,trd_siemens23_1axis
2025,Argentina_Paraguay,-0.00100474,Trans_loss,trd_siemens23_1axis
2025,Argentina_Uruguay,-0.12130341783425841,Trans_loss,trd_siemens23_1axis
2025,Brazil_Paraguay,-0.0,Trans_loss,trd_siemens23_1axis
2025,Brazil_Uruguay,-0.2762648392745649,Trans_loss,trd_siemens23_1axis
2030,Argentina_Brazil,-0.109998,Trans_loss,trd_siemens23_1axis
2030,Argentina_Chile,-0.00020885099999999997,Trans_loss,trd_siemens23_1axis
2030,Argentina_Paraguay,-0.00096426,Trans_loss,trd_siemens23_1axis
2030,Argentina_Uruguay,-0.11480967467139519,Trans_loss,trd_siemens23_1axis
2030,Brazil_Paraguay,-0.0,Trans_loss,trd_siemens23_1axis
2030,Brazil_Uruguay,-0.3681131189780941,Trans_loss,trd_siemens23_1axis
2035,Argentina_Brazil,-0.1317110485159128,Trans_loss,trd_siemens23_1axis
2035,Argentina_Chile,-0.000222826,Trans_loss,trd_siemens23_1axis
2035,Argentina_Paraguay,-0.00096426,Trans_loss,trd_siemens23_1axis
2035,Argentina_Uruguay,-0.1284922056628581,Trans_loss,trd_siemens23_1axis
2035,Brazil_Paraguay,-0.0,Trans_loss,trd_siemens23_1axis
2035,Brazil_Uruguay,-0.29556417092721865,Trans_loss,trd_siemens23_1axis
2040,Argentina_Brazil,-0.1349649,Trans_loss,trd_siemens23_1axis
2040,Argentina_Chile,-0.00023026499999999998,Trans_loss,trd_siemens23_1axis
2040,Argentina_Paraguay,-0.00096426,Trans_loss,trd_siemens23_1axis
2040,Argentina_Uruguay,-0.12631762238420763,Trans_loss,trd_siemens23_1axis
2040,Brazil_Paraguay,-0.0,Trans_loss,trd_siemens23_1axis
2040,Brazil_Uruguay,-0.2932692541944858,Trans_loss,trd_siemens23_1axis
2045,Argentina_Brazil,-0.1315818,Trans_loss,trd_siemens23_1axis
2045,Argentina_Chile,-0.00012758099999999998,Trans_loss,trd_siemens23_1axis
2045,Argentina_Paraguay,-0.00093456,Trans_loss,trd_siemens23_1axis
2045,Argentina_Uruguay,-0.12211159034430721,Trans_loss,trd_siemens23_1axis
2045,Brazil_Paraguay,-0.0,Trans_loss,trd_siemens23_1axis
2045,Brazil_Uruguay,-0.2859302816912574,Trans_loss,trd_siemens23_1axis
2050,Argentina_Brazil,-0.1389906,Trans_loss,trd_siemens23_1axis
2050,Argentina_Chile,-0.00014349099999999999,Trans_loss,trd_siemens23_1axis
2050,Argentina_Paraguay,-0.00086966,Trans_loss,trd_siemens23_1axis
2050,Argentina_Uruguay,-0.12189284288184601,Trans_loss,trd_siemens23_1axis
2050,Brazil_Paraguay,-0.0,Trans_loss,trd_siemens23_1axis
2050,Brazil_Uruguay,-0.27305890126274807,Trans_loss,trd_siemens23_1axis
2020,Argentina_Brazil,-0.13155040051676087,Trans_loss,trd_ge25_1axis
2020,Argentina_Chile,-0.00031368499999999996,Trans_loss,trd_ge25_1axis
2020,Argentina_Paraguay,-0.0014091824999999999,Trans_loss,trd_ge25_1axis
2020,Argentina_Uruguay,-0.10899638625668774,Trans_loss,trd_ge25_1axis
2020,Brazil_Paraguay,-0.0,Trans_loss,trd_ge25_1axis
2020,Brazil_Uruguay,-0.18988737849841922,Trans_loss,trd_ge25_1axis
2025,Argentina_Brazil,-0.0742203,Trans_loss,trd_ge25_1axis
2025,Argentina_Chile,-0.000253012,Trans_loss,trd_ge25_1axis
2025,Argentina_Paraguay,-0.00100474,Trans_loss,trd_ge25_1axis
2025,Argentina_Uruguay,-0.12193560727500234,Trans_loss,trd_ge25_1axis
2025,Brazil_Paraguay,-0.0,Trans_loss,trd_ge25_1axis
2025,Brazil_Uruguay,-0.2946942644932862,Trans_loss,trd_ge25_1axis
2030,Argentina_Brazil,-0.0959364,Trans_loss,trd_ge25_1axis
2030,Argentina_Chile,-0.00020885099999999997,Trans_loss,trd_ge25_1axis
2030,Argentina_Paraguay,-0.00096426,Trans_loss,trd_ge25_1axis
2030,Argentina_Uruguay,-0.10639724878624784,Trans_loss,trd_ge25_1axis
2030,Brazil_Paraguay,-0.0,Trans_loss,trd_ge25_1axis
2030,Brazil_Uruguay,-0.3827094938070968,Trans_loss,trd_ge25_1axis
2035,Argentina_Brazil,-0.1432658845071518,Trans_loss,trd_ge25_1axis
2035,Argentina_Chile,-0.000198832,Trans_loss,trd_ge25_1axis
2035,Argentina_Paraguay,-0.00096426,Trans_loss,trd_ge25_1axis
2035,Argentina_Uruguay,-0.12987821572813882,Trans_loss,trd_ge25_1axis
2035,Brazil_Paraguay,-0.0,Trans_loss,trd_ge25_1axis
2035,Brazil_Uruguay,-0.3012126447766507,Trans_loss,trd_ge25_1axis
2040,Argentina_Brazil,-0.1457379,Trans_loss,trd_ge25_1axis
2040,Argentina_Chile,-0.00014942499999999999,Trans_loss,trd_ge25_1axis
2040,Argentina_Paraguay,-0.00096426,Trans_loss,trd_ge25_1axis
2040,Argentina_Uruguay,-0.12681371632647895,Trans_loss,trd_ge25_1axis
2040,Brazil_Paraguay,-0.0,Trans_loss,trd_ge25_1axis
