type,period,load_zone,trade,Scenario,multiplier,trade_1
import,2040,Uruguay,0.07037,prm15_fix_wcost_re1_c2p1_tnt1,1,0.07037
import,2045,Argentina,0.00487,prm15_fix_wcost_re1_c2p1_tnt1,1,0.00487
import,2045,Brazil,0.03944,prm15_fix_wcost_re1_c2p1_tnt1,1,0.03944
import,2045,Chile,4e-05,prm15_fix_wcost_re1_c2p1_tnt1,1,4e-05
import,2045,Paraguay,0.0001,prm15_fix_wcost_re1_c2p1_tnt1,1,0.0001
import,2045,Uruguay,0.06959,prm15_fix_wcost_re1_c2p1_tnt1,1,0.06959
import,2050,Argentina,0.00619,prm15_fix_wcost_re1_c2p1_tnt1,1,0.00619
import,2050,Brazil,0.04417,prm15_fix_wcost_re1_c2p1_tnt1,1,0.04417
import,2050,Chile,8e-05,prm15_fix_wcost_re1_c2p1_tnt1,1,8e-05
import,2050,Paraguay,9e-05,prm15_fix_wcost_re1_c2p1_tnt1,1,9e-05
import,2050,Uruguay,0.05746,prm15_fix_wcost_re1_c2p1_tnt1,1,0.05746
export,2020,Argentina,0.01231,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.01231
export,2020,Brazil,0.02913,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.02913
export,2020,Chile,0.0,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.0
export,2020,Paraguay,0.00028,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.00028
export,2020,Uruguay,0.04596,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.04596
export,2025,Argentina,0.01116,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.01116
export,2025,Brazil,0.05893,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.05893
export,2025,Chile,1e-05,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-1e-05
export,2025,Paraguay,0.00027,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.00027
export,2025,Uruguay,0.01924,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.01924
export,2030,Argentina,0.02112,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.02112
export,2030,Brazil,0.04455,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.04455
export,2030,Chile,2e-05,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-2e-05
export,2030,Paraguay,0.00026,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.00026
export,2030,Uruguay,0.01816,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.01816
export,2035,Argentina,0.05109,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.05109
export,2035,Brazil,0.05235,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.05235
export,2035,Chile,2e-05,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-2e-05
export,2035,Paraguay,0.00026,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.00026
export,2035,Uruguay,0.00154,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.00154
export,2040,Argentina,0.03745,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.03745
export,2040,Brazil,0.03675,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.03675
export,2040,Chile,2e-05,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-2e-05
export,2040,Paraguay,0.00024,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.00024
export,2040,Uruguay,0.0057,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.0057
export,2045,Argentina,0.04024,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.04024
export,2045,Brazil,0.03497,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.03497
export,2045,Chile,3e-05,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-3e-05
export,2045,Paraguay,0.00027,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.00027
export,2045,Uruguay,0.01231,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.01231
export,2050,Argentina,0.05738,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.05738
export,2050,Brazil,0.03704,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.03704
export,2050,Chile,3e-05,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-3e-05
export,2050,Paraguay,8e-05,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-8e-05
export,2050,Uruguay,0.00486,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,-1,-0.00486
import,2020,Argentina,0.04357,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.04357
import,2020,Brazil,0.03433,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.03433
import,2020,Chile,0.00021,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.00021
import,2020,Paraguay,0.0,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.0
import,2020,Uruguay,0.00957,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.00957
import,2025,Argentina,0.03953,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.03953
import,2025,Brazil,0.02242,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.02242
import,2025,Chile,0.00012,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.00012
import,2025,Paraguay,0.0,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.0
import,2025,Uruguay,0.02755,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.02755
import,2030,Argentina,0.03358,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.03358
