period,load_zone,technology,twh,scenario,emis_policy,exist_trd,op_char,fixed_pv,turbine
2050.0,Argentina,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Argentina,Curtailment,6.789313999888691e-15,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Argentina,Fossil,245.1210477129448,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Argentina,Hydro,51.877710378,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Argentina,Solar,16.70723255502432,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Argentina,Trans_loss,-0.2352143907508144,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Argentina,Wind,50.35534498787069,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Brazil,BNG,89.12866477898837,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Brazil,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Brazil,Curtailment,1.5070566547741718e-14,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Brazil,Fossil,216.5387712153939,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Brazil,Hydro,617.57858373,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Brazil,Solar,247.27384159798103,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Brazil,Trans_loss,-0.2622585665745332,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Brazil,Wind,294.1252037252328,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Chile,BNG,1.706993646129536,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Chile,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Chile,Curtailment,2.2953940970182885e-15,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Chile,Fossil,129.68143029366755,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Chile,Hydro,24.376078632,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Chile,Solar,22.28975496920289,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Chile,Wind,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Paraguay,BNG,0.0967229999999973,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Paraguay,Battery,-1.360793640412412,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Paraguay,Curtailment,2.335477831284272,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Paraguay,Fossil,7.410286475667015,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Paraguay,Hydro,72.25930124537356,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Paraguay,Solar,7.214126284607915,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Paraguay,Wind,5.953745307518856,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Uruguay,BNG,1.778067185339897,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Uruguay,Battery,-0.0446258679802563,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Uruguay,Curtailment,0.6780584293872927,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Uruguay,Fossil,0.0861213000851931,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Uruguay,Hydro,5.71909914,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Uruguay,Solar,6.806022128641059,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Uruguay,Wind,23.51102782914462,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2020.0,Argentina,BNG,15.5553456375,prm15_wcost_re2_c2p1_t1,False,True,2,False,2
2020.0,Argentina,Battery,0.0,prm15_wcost_re2_c2p1_t1,False,True,2,False,2
2020.0,Argentina,Curtailment,3.6567797678799255e-15,prm15_wcost_re2_c2p1_t1,False,True,2,False,2
2020.0,Argentina,Fossil,73.7046545039224,prm15_wcost_re2_c2p1_t1,False,True,2,False,2
2020.0,Argentina,Hydro,41.046421158,prm15_wcost_re2_c2p1_t1,False,True,2,False,2
2020.0,Argentina,Solar,1.0480361859051723,prm15_wcost_re2_c2p1_t1,False,True,2,False,2
2020.0,Argentina,Trans_loss,-0.2422696542734486,prm15_wcost_re2_c2p1_t1,False,True,2,False,2
2020.0,Argentina,Wind,6.244675862862069,prm15_wcost_re2_c2p1_t1,False,True,2,False,2
2020.0,Brazil,BNG,95.94489896843176,prm15_wcost_re2_c2p1_t1,False,True,2,False,2
2020.0,Brazil,Battery,0.0,prm15_wcost_re2_c2p1_t1,False,True,2,False,2
