index,period,load_zone,Battery,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,sc_name
30,2050,Argentina,0.0,0.046,0.0,0.9942000000000001,0.0,1.663,0.0,16.346799999999998,43.875321955714284,,,11.236,2.11,1.755,0.0,0.0,7.1343106060930985,0.0,0.0,prm15_wcost_re4_c2p1_t1
31,2050,Brazil,0.0,11.802200000000001,0.0,4.896,0.0,4.297,0.0,15.9643,75.92893678705127,,,104.603,54.489,1.99,0.0,0.0,127.78569999999999,0.0,47.27509642138583,prm15_wcost_re4_c2p1_t1
32,2050,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,34.58,0.04,0.0,6.949,0.575,,,0.0,6.566879393697939,0.0,0.0,prm15_wcost_re4_c2p1_t1
33,2050,Paraguay,4.017549092340295,0.022,0.0,,0.0,0.025,0.125,,2.9964665734546623,,,8.81,,,,,6.146495324876189,,0.0,prm15_wcost_re4_c2p1_t1
34,2050,Uruguay,0.14238664083817484,0.425,0.0,,0.0,0.084,0.0,1.106,4.933681699758626,,,1.538,,,,0.0,4.1170860274753425,0.0,6.622161585355635,prm15_wcost_re4_c2p1_t1
0,2020,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.654,0.0,,,11.31,0.0,1.755,0.0,0.439,0.0,1.609,0.0,prm15_wcost_re5_c2p1_t1
1,2020,Brazil,0.0,14.0261,0.0,5.856,0.0,4.297,0.0,16.145,0.0,,,104.603,0.0,1.99,0.0,2.074,0.0,1.487,0.0,prm15_wcost_re5_c2p1_t1
2,2020,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,0.0,0.04,0.0,6.949,0.0,,,3.258,0.0,2.507,0.0,prm15_wcost_re5_c2p1_t1
3,2020,Paraguay,0.0,0.022,0.0,,0.0,0.025,0.0,,0.0,,,8.81,,,,,0.0,,0.0,prm15_wcost_re5_c2p1_t1
4,2020,Uruguay,0.0,0.425,0.0,,0.0,0.084,0.0,1.106,0.0,,,1.538,,,,0.256,0.0,1.514,0.0,prm15_wcost_re5_c2p1_t1
10,2030,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.2543,0.4139275497288688,,,11.31,0.8,1.755,0.0,0.439,6.474467052270434,1.609,0.0,prm15_wcost_re5_c2p1_t1
11,2030,Brazil,0.0,13.3007,0.0,5.856,0.0,4.297,0.0,16.115,12.162761412443007,,,104.603,11.585,1.99,0.0,2.074,61.58257043895868,1.487,9.911999999999999,prm15_wcost_re5_c2p1_t1
12,2030,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,1.6811760378280585,0.04,0.0,6.949,0.42,,,3.258,2.796571681592449,2.507,0.0,prm15_wcost_re5_c2p1_t1
13,2030,Paraguay,0.5082599999999998,0.022,0.0,,0.0,0.025,0.0,,0.0,,,8.81,,,,,0.0,,0.0,prm15_wcost_re5_c2p1_t1
14,2030,Uruguay,0.0,0.425,0.0,,0.0,0.084,0.0,1.106,0.0,,,1.538,,,,0.256,0.5899302899710651,1.514,0.0,prm15_wcost_re5_c2p1_t1
20,2040,Argentina,0.0,0.046,0.0,2.9764,0.0,1.663,0.0,18.2543,17.620494242784112,,,11.31,1.171,1.755,0.0,0.439,6.474467052270434,1.609,0.0,prm15_wcost_re5_c2p1_t1
21,2040,Brazil,0.0,12.7812,0.0,5.604,0.0,4.297,0.0,16.0133,44.57146458131357,,,104.603,38.405,1.99,0.0,2.074,73.86598591561686,1.487,9.911999999999999,prm15_wcost_re5_c2p1_t1
22,2040,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,9.339398106815104,0.04,0.0,6.949,0.575,,,3.258,2.796571681592449,2.507,0.0,prm15_wcost_re5_c2p1_t1
23,2040,Paraguay,0.0,0.022,0.0,,0.0,0.025,0.0,,0.0,,,8.81,,,,,0.0,,0.0,prm15_wcost_re5_c2p1_t1
24,2040,Uruguay,0.0,0.425,0.0,,0.0,0.084,0.0,1.106,0.0,,,1.538,,,,0.256,2.5113324786631774,1.514,1.4485445526973577,prm15_wcost_re5_c2p1_t1
30,2050,Argentina,0.0,0.046,0.0,0.9942000000000001,0.0,1.663,0.0,16.346799999999998,75.7505011414896,,,11.236,2.11,1.755,0.0,0.0,6.474467052270434,0.0,0.0,prm15_wcost_re5_c2p1_t1
31,2050,Brazil,0.0,11.802200000000001,0.0,4.896,0.0,4.297,0.0,15.9643,62.621346685019354,,,104.603,50.905,1.99,0.0,0.0,122.90679867398651,0.0,51.231,prm15_wcost_re5_c2p1_t1
32,2050,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,18.579588116862464,0.04,0.0,6.949,0.575,,,0.0,6.566879393697937,0.0,0.0,prm15_wcost_re5_c2p1_t1
33,2050,Paraguay,3.995438865621311,0.022,0.0,,0.0,0.025,0.125,,2.9985478188822983,,,8.81,,,,,6.0602,,0.048830687197318416,prm15_wcost_re5_c2p1_t1
34,2050,Uruguay,0.07901915320764222,0.425,0.0,,0.0,0.084,0.0,1.106,5.53,,,1.538,,,,0.0,3.754941805602406,0.0,6.648635064140196,prm15_wcost_re5_c2p1_t1
0,2020,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.654,0.0,,,11.31,0.0,1.755,0.0,0.439,0.0,1.609,0.0,prm15_wcost_re6_c2p1_t1
1,2020,Brazil,0.0,14.0261,0.0,5.856,0.0,4.297,0.0,16.145,0.0,,,104.603,0.0,1.99,0.0,2.074,0.0,1.487,0.0,prm15_wcost_re6_c2p1_t1
2,2020,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,0.0,0.04,0.0,6.949,0.0,,,3.258,0.0,2.507,0.0,prm15_wcost_re6_c2p1_t1
3,2020,Paraguay,0.0,0.022,0.0,,0.0,0.025,0.0,,0.0,,,8.81,,,,,0.0,,0.0,prm15_wcost_re6_c2p1_t1
4,2020,Uruguay,0.0,0.425,0.0,,0.0,0.084,0.0,1.106,0.0,,,1.538,,,,0.256,0.0,1.514,0.0,prm15_wcost_re6_c2p1_t1
10,2030,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.2543,0.125314096574351,,,11.31,0.8,1.755,0.0,0.439,6.0130467615311805,1.609,0.585,prm15_wcost_re6_c2p1_t1
11,2030,Brazil,0.0,13.3007,0.0,5.856,0.0,4.297,0.0,16.115,10.5649976532113,,,104.603,12.331,1.99,0.0,2.074,48.4284,1.487,17.629194133960905,prm15_wcost_re6_c2p1_t1
12,2030,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,1.628778983469171,0.04,0.0,6.949,0.575,,,3.258,2.7255861699362653,2.507,0.0,prm15_wcost_re6_c2p1_t1
13,2030,Paraguay,0.5082599999999998,0.022,0.0,,0.0,0.025,0.0,,0.0,,,8.81,,,,,0.0,,0.0,prm15_wcost_re6_c2p1_t1
14,2030,Uruguay,0.0,0.425,0.0,,0.0,0.084,0.0,1.106,0.0,,,1.538,,,,0.256,0.5899302899710647,1.514,0.0,prm15_wcost_re6_c2p1_t1
20,2040,Argentina,0.0,0.046,0.0,2.9764,0.0,1.663,0.0,18.2543,17.480208904734944,,,11.31,2.058,1.755,0.0,0.439,6.0130467615311805,1.609,0.585,prm15_wcost_re6_c2p1_t1
