period,load_zone,variable_om_cost_total,fuel_cost_total,startup_cost_total,capacity_cost,transmission_capacity_cost,mwh,MtCO2,capacity_cost_existing,tCO2_per_mwh,total_costs,costs_per_mwh,var_om_cost_per_mwh,fuel_cost_per_mwh,startup_cost_per_mwh,capacity_cost_per_mwh,tx_capacity_cost_per_mwh,capacity_cost_existing_per_mwh,scs,scs_id
2035,Chile,521830039.9163147,1420412084.1160312,0.0,1592397213.7809043,,121510838.55,34.78255211714139,3622406248.3741913,0.2862506137905456,3534639337.81325,29.089086866590883,4.2945143506814745,11.68959165343552,0.0,13.104980862473887,,29.81138383703625,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2035,Paraguay,327500129.60999995,0.0,0.0,110678644.76154175,,45374992.75,0.0,1263512033.2065654,0.0,438178774.37154174,9.65683403600195,7.217634863644137,0.0,0.0,2.439199172357813,,27.845999671406346,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2035,Uruguay,40829261.56297494,82804875.77975789,1032349.1238203545,390303173.07664883,,22922726.725,0.28295395357191816,651561439.1714932,0.012343817424797144,514969659.543202,22.46546258310384,1.7811694940482667,3.6123484249126947,0.04503605248211824,17.02690861166076,,28.424255412026824,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2040,Argentina,1455704760.062843,2958928980.5751514,0.0,3555595731.1289763,0.0,269073705.875,72.65531984871475,4951447868.127769,0.2700201404386472,7970229471.766972,29.620989705584964,5.410059505179226,10.996722890306279,0.0,13.214207310099457,0.0,18.401827306113656,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2040,Brazil,4584747558.15888,8785422739.176352,0.0,22058660839.691338,0.0,1121252719.125,91.84627192756037,22903000262.091183,0.08191397921356669,35428831137.026566,31.597543116483514,4.088951116869275,7.835363597630599,0.0,19.673228401983643,0.0,20.426260620321315,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2040,Chile,607798445.969271,1677201201.3456397,0.0,1889577061.379304,,138015707.75,41.26835368751158,3622406248.3741913,0.29901200638890013,4174576708.694215,30.24711300438348,4.403835301632694,12.152248672909767,0.0,13.691029029841017,,26.246333170538637,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2040,Paraguay,327500129.60999995,0.0,0.0,3046485.205479452,,57581093.275,0.0,1263512033.2065654,0.0,330546614.8154794,5.740540792388757,5.687633057710469,0.0,0.0,0.05290773467828797,,21.94317546511651,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2040,Uruguay,40691382.283002384,82612386.72287002,1044425.3243085734,595259597.5762846,,27330430.575,0.2870101335459764,651561439.1714932,0.010501485981289792,719607791.9064656,26.329910534403123,1.488867223344226,3.0227254011299096,0.038214740943889186,21.780103168985097,,23.840145415326784,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2045,Argentina,1709274667.622547,3745612751.5029635,0.0,5088357189.015988,0.0,318804005.775,91.40370459688165,4808473616.102117,0.28670814337694045,10543244608.141499,33.07124257272517,5.361521927766772,11.74895134205584,0.0,15.960769302902554,0.0,15.082851937236192,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2045,Brazil,5244053454.974092,12519435787.7688,0.0,27026665262.981995,0.0,1281643269.475,135.85746193433948,22432038883.763187,0.10600255560191163,44790154505.724884,34.94744253139354,4.0916638661257245,9.76826866410116,0.0,21.08751000116666,0.0,17.50256051588523,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
