scenario,SolarPV Atacama/Andes,SolarPV Caatinga,SolarPV Cerrado,SolarPV Gran Chaco,SolarPV Monte Desert,SolarPV Pampas,Wind Caatinga,Wind Coastal,Wind Gran Chaco,Wind Pampas,Wind Patagonia,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re2_c2p1_co2_cut90p_t1,53034.085594964294,74299.3,88096.92489821008,11706.951070963833,7138.1,5139.287531663544,146613.0,2706.0,3347.54200079681,62424.0035108256,73107.4359281159,1,1,2,0,"90%Cut,Lim",110
prm15_wcost_re15_c2p1_co2_cut90p_t1,40342.61805584071,48974.4,84364.6,10140.25586110145,2587.7,5144.933780280852,171569.42771395182,2397.0,4085.7509828799457,60013.793311952024,84843.97148603498,1,1,15,1,"90%Cut,Lim",111
prm15_wcost_re20_c2p1_co2_cut90p_t1,23730.398493621116,47484.7,76830.4,6444.4,0.0,4978.934414193135,159200.3046110683,5466.0,4461.638764176462,74648.11282487877,81732.54627696956,1,1,20,1,"90%Cut,Lim",111
prm15_wcost_re17_c2p1_co2_cut90p_t1,38264.84789884473,48974.4,84364.6,9309.0,417.7,5153.828072785969,176679.26145902992,3348.0,4114.267430476213,60070.46660887066,83099.64184905238,1,1,17,1,"90%Cut,Lim",111
prm15_wcost_re16_c2p1_co2_cut90p_t1,28694.20893531564,48974.4,83652.0,8411.658234474258,273.5,5181.807642521961,172739.5223993537,5587.722049649163,4118.586565497107,65988.56117049504,82336.89232244482,1,1,16,1,"90%Cut,Lim",111
prm15_wcost_re19_c2p1_co2_cut90p_t1,42158.072611004194,56080.8,84364.6,11166.281543988896,2587.7,5449.768533664745,140437.43209372737,3657.0,4061.245258158216,78362.10509682307,86687.83370084346,1,1,19,1,"90%Cut,Lim",111
prm15_wcost_re1_c2p1_co2_cut90p_t1,48508.51114349561,57800.468241365685,83991.5,9732.947817718255,2875.8,4631.917843309725,150515.8311967418,2841.0,3269.351032344911,57373.85310578668,63981.5913361675,1,1,1,0,"90%Cut,Lim",110
prm15_wcost_re9_c2p1_co2_cut90p_tn,51645.80478434,68155.65254198,84510.5,9236.50000003,0.0,6401.855704815,130829.6071202,1005.76899607,15374.5924018,59700.3510819,82570.77479669,1,0,9,0,"90%Cut,Full",100
prm15_wcost_re18_c2p1_co2_cut90p_tn,27958.735953299998,48974.40000003,83500.49999997,5488.47034255,0.0,5672.24479541,152351.7511473,654.0,16819.394609,47554.06465184,100597.02357877,1,0,18,1,"90%Cut,Full",101
prm15_wcost_re10_c2p1_co2_cut90p_tn,44433.45509808,50354.95163276,79891.79999998,7661.5780222,0.0,5647.004836796,124150.5748742,636.0,10916.97391665,51621.40968071,65321.9196761,1,0,10,0,"90%Cut,Full",100
prm15_wcost_re17_c2p1_co2_cut90p_tn,24102.27026868,48974.39999995,82387.3,5926.7,0.0,5579.68667588,153171.0000008,1254.0,15767.17938533,54078.1477844,88018.04349041,1,0,17,1,"90%Cut,Full",101
prm15_wcost_re8_c2p1_co2_cut90p_tn,49018.22689585,71466.32961434,84692.900000001,9297.9230043,0.0,6320.58782462,132609.5254962,654.0,15069.0000005,40760.75828616,84086.36218195,1,0,8,0,"90%Cut,Full",100
prm15_wcost_re11_c2p1_co2_cut90p_tn,23872.78300714,46387.50000002,73369.01995839,5541.50146668,0.0,5188.707427490001,146169.7083571,1290.0,13666.2011256,49407.1291044,82583.7734687,1,0,11,1,"90%Cut,Full",101
prm15_wcost_re7_c2p1_co2_cut90p_tn,45884.54240045,62014.77152558,83827.799999973,7945.94948028,0.0,5729.564825709,137453.99999993,654.0,13754.3822604,39956.71979953,72855.02414022,1,0,7,0,"90%Cut,Full",100
prm15_wcost_re19_c2p1_co2_cut90p_tn,32030.85308337,48974.40000004,84268.10000008,6640.80000001,0.0,5838.668593852,146980.2117017,2241.0,16372.898251999999,66333.42517636,98491.427077166,1,0,19,1,"90%Cut,Full",101
prm15_wcost_re2_c2p1_co2_cut90p_tn,49581.413816104,63560.68813315,84364.60000005,7921.1,0.0,5994.661488505,129678.2835695,654.0,14656.538581,44978.7036521,76529.82333419,1,0,2,0,"90%Cut,Full",100
prm15_wcost_re14_c2p1_co2_cut90p_tn,27683.34639272,48974.40000001,84268.1,6445.38101527,0.0,5685.707052505,150724.0227023,1254.0,16527.549683,55098.46626769,100343.366651577,1,0,14,1,"90%Cut,Full",101
prm15_wcost_re1_c2p1_co2_cut90p_tn,45269.70857761,52028.266923579,81495.63963954,7470.49221374,0.0,5588.950396436,132137.7215755,654.0,11322.0446629,39331.194074081,66427.43644062,1,0,1,0,"90%Cut,Full",100
prm15_wcost_re12_c2p1_co2_cut90p_tn,26166.316098275,48974.4,84193.1,6215.24235656,0.0,5718.37851681,146587.72968502,1290.0,16080.1744778,59349.1329326,95569.01121703,1,0,12,1,"90%Cut,Full",101
prm15_wcost_re5_c2p1_co2_cut90p_tn,46504.51794254,63229.15927700001,84141.62260009,7921.100000012,0.0,5836.356731467,134304.0000005,654.0,13971.4872849,40064.51284824,75275.34532921,1,0,5,0,"90%Cut,Full",100
prm15_wcost_re20_c2p1_co2_cut90p_tn,24153.5402522,44595.80000002,70710.8,5896.4291517,0.0,4726.957677983,139343.3046854,2403.0,13109.668692700001,63397.00629112,76737.69804353,1,0,20,1,"90%Cut,Full",101
prm15_wcost_re13_c2p1_co2_cut90p_tn,33186.43274817,49560.1,84193.09999999,5910.4600368,0.0,5898.60713959,143965.1044521,654.0,17009.4560383,49429.386753,100670.92706496,1,0,13,1,"90%Cut,Full",101
prm15_wcost_re4_c2p1_co2_cut90p_tn,49568.550120544,69829.57889369,84364.59999997,8190.3,0.0,5939.32231306,135366.0243038,654.0,15397.3561532,42198.716556,79890.38167828,1,0,4,0,"90%Cut,Full",100
prm15_wcost_re15_c2p1_co2_cut90p_tn,24215.9379748,48974.40000005,83153.3,6060.2,0.0,5575.450696189,151594.6747289,1254.0,15912.51605027,52321.70458646,91863.47297899,1,0,15,1,"90%Cut,Full",101
prm15_wcost_re3_c2p1_co2_cut90p_tn,50768.97930513,68155.65254198,84510.50000006,8741.8200283,0.0,6376.50475318,124274.74794562,654.0,15094.65105325,40964.8828417,84571.43587476,1,0,3,0,"90%Cut,Full",100
prm15_wcost_re16_c2p1_co2_cut90p_tn,24417.75346803,48034.99999997,78452.1,5581.6267273,0.0,5583.616222907,145746.523307,1290.0,14237.90210996,52073.580657953,84168.98306983,1,0,16,1,"90%Cut,Full",101
prm15_wcost_re6_c2p1_co2_cut90p_tn,46025.85780235,53279.82215981,82483.9,7404.19525339,0.0,5718.35790759,132071.15080674,654.0,12068.7454423,39532.9818117,69848.70295347,1,0,6,0,"90%Cut,Full",100
