period,scs_id,wt_costs_per_mwh,MtCO2
2035,prm15_wcost_re11_c2p1_co2_cut90p_t1,27.91258035178753,71.28779699999905
2035,prm15_wcost_re11_c2p1_t1,27.143011760517833,154.6098818858121
2035,prm15_wcost_re12_c2p1_co2_cut90p_t1,29.24380982477562,71.28779699999913
2035,prm15_wcost_re12_c2p1_t1,27.946752662228384,190.08375327801292
2035,prm15_wcost_re13_c2p1_co2_cut90p_t1,30.308318955916484,71.28779699999927
2035,prm15_wcost_re13_c2p1_t1,28.191463397342094,200.0565861537276
2035,prm15_wcost_re14_c2p1_co2_cut90p_t1,29.58466326276069,71.28779699999944
2035,prm15_wcost_re14_c2p1_t1,28.0537789195436,193.65063266652308
2035,prm15_wcost_re15_c2p1_co2_cut90p_t1,28.98601462491668,71.28779699999909
2035,prm15_wcost_re15_c2p1_t1,27.80842914902616,183.88898487838
2035,prm15_wcost_re16_c2p1_co2_cut90p_t1,28.287754807321722,71.2877969999991
2035,prm15_wcost_re16_c2p1_t1,27.35087489689442,157.2587150050588
2035,prm15_wcost_re17_c2p1_co2_cut90p_t1,28.84380925180258,71.28779699999951
2035,prm15_wcost_re17_c2p1_t1,27.725894582705088,183.52121974614465
2035,prm15_wcost_re18_c2p1_co2_cut90p_t1,30.00994876989937,71.28779699999944
2035,prm15_wcost_re18_c2p1_t1,28.157943606324253,198.2026500218978
2035,prm15_wcost_re19_c2p1_co2_cut90p_t1,30.131416598767043,71.28779699999939
2035,prm15_wcost_re19_c2p1_t1,28.169906750938473,199.1151732821103
2035,prm15_wcost_re1_c2p1_co2_cut90p_t1,27.479527308383418,71.28779699999895
2035,prm15_wcost_re1_c2p1_t1,26.868655892171173,148.0927016988803
2035,prm15_wcost_re20_c2p1_co2_cut90p_t1,27.775527528488748,71.28779699999906
2035,prm15_wcost_re20_c2p1_t1,27.06852013407588,153.94337719140782
2035,prm15_wcost_re2_c2p1_co2_cut90p_t1,27.97667938925961,71.28779699999941
2035,prm15_wcost_re2_c2p1_t1,27.14276998473302,164.4026012831532
2035,prm15_wcost_re3_c2p1_co2_cut90p_t1,28.352793945152797,71.28779699999941
2035,prm15_wcost_re3_c2p1_t1,27.16985229447866,166.66242373386916
2035,prm15_wcost_re4_c2p1_co2_cut90p_t1,28.125295965217287,71.28779699999934
2035,prm15_wcost_re4_c2p1_t1,27.165758294430564,165.52025411311726
2035,prm15_wcost_re5_c2p1_co2_cut90p_t1,27.884685112839563,71.28779699999903
2035,prm15_wcost_re5_c2p1_t1,27.11282074236644,161.80714208071495
2035,prm15_wcost_re6_c2p1_co2_cut90p_t1,27.647039313504468,71.28779699999878
2035,prm15_wcost_re6_c2p1_t1,26.984483364707163,157.3593752344264
2035,prm15_wcost_re7_c2p1_co2_cut90p_t1,27.93162429812816,71.28779699999897
2035,prm15_wcost_re7_c2p1_t1,27.09718070667263,160.50170384213126
2035,prm15_wcost_re8_c2p1_co2_cut90p_t1,28.310055305620377,71.28779699999937
2035,prm15_wcost_re8_c2p1_t1,27.184897387465615,171.07665333981694
2035,prm15_wcost_re9_c2p1_co2_cut90p_t1,28.3032711175188,71.28779699999957
2035,prm15_wcost_re9_c2p1_t1,27.185484370901627,171.10275092513135
2040,prm15_wcost_re10_c2p1_co2_cut90p_t1,31.119009872326004,50.91985499999944
2040,prm15_wcost_re10_c2p1_t1,29.819966784248024,188.3584497100055
2040,prm15_wcost_re11_c2p1_co2_cut90p_t1,32.344665138374,50.91985499999949
2040,prm15_wcost_re11_c2p1_t1,30.14020239488339,206.05695559733266
2040,prm15_wcost_re12_c2p1_co2_cut90p_t1,34.075737320827415,50.91985499999945
2040,prm15_wcost_re12_c2p1_t1,30.87725475677542,251.6941349548263
2040,prm15_wcost_re13_c2p1_co2_cut90p_t1,35.676134052105176,50.91985499999964
2040,prm15_wcost_re13_c2p1_t1,31.09107009703463,260.9696500430681
2040,prm15_wcost_re14_c2p1_co2_cut90p_t1,34.514826418840364,50.919854999999764
2040,prm15_wcost_re14_c2p1_t1,30.966962219280482,252.75179385562885
2040,prm15_wcost_re15_c2p1_co2_cut90p_t1,33.750565025238195,50.919854999999814
2040,prm15_wcost_re15_c2p1_t1,30.7836768582352,246.07485623329134
2040,prm15_wcost_re16_c2p1_co2_cut90p_t1,32.85579790328985,50.91985499999968
2040,prm15_wcost_re16_c2p1_t1,30.34472509406077,207.63524346369613
2040,prm15_wcost_re17_c2p1_co2_cut90p_t1,33.56656442523189,50.91985499999946
2040,prm15_wcost_re17_c2p1_t1,30.713995629607407,245.81426860142665
2040,prm15_wcost_re18_c2p1_co2_cut90p_t1,35.19381846020479,50.919854999999544
2040,prm15_wcost_re18_c2p1_t1,31.051815487318947,258.0433040086132
2040,prm15_wcost_re19_c2p1_co2_cut90p_t1,35.33356717310572,50.91985499999987
2040,prm15_wcost_re19_c2p1_t1,31.06404088650249,259.0918798126
2040,prm15_wcost_re1_c2p1_co2_cut90p_t1,31.241557770763176,50.91985499999941
2040,prm15_wcost_re1_c2p1_t1,29.855724810893214,188.53676089545945
2040,prm15_wcost_re20_c2p1_co2_cut90p_t1,32.13252955832007,50.91985499999973
2040,prm15_wcost_re20_c2p1_t1,30.054529058212296,204.6211268777728
2040,prm15_wcost_re2_c2p1_co2_cut90p_t1,32.246730623680314,50.91985499999984
2040,prm15_wcost_re2_c2p1_t1,30.157124569710707,220.4381577778884
2040,prm15_wcost_re3_c2p1_co2_cut90p_t1,33.24762760112142,50.91985499999969
2040,prm15_wcost_re3_c2p1_t1,30.193330274623523,222.6718261499472
2040,prm15_wcost_re4_c2p1_co2_cut90p_t1,32.55417369011276,50.91985499999953
2040,prm15_wcost_re4_c2p1_t1,30.181513768878496,221.5570758248023
2040,prm15_wcost_re5_c2p1_co2_cut90p_t1,32.058836522674994,50.91985499999945
2040,prm15_wcost_re5_c2p1_t1,30.124145984430093,216.18714991564642
2040,prm15_wcost_re6_c2p1_co2_cut90p_t1,31.52604943685958,50.919854999999394
2040,prm15_wcost_re6_c2p1_t1,29.970139488664053,204.03454327088562
2040,prm15_wcost_re7_c2p1_co2_cut90p_t1,31.94400160162579,50.919854999999586
2040,prm15_wcost_re7_c2p1_t1,30.094384137988744,211.08607980215703
2040,prm15_wcost_re8_c2p1_co2_cut90p_t1,32.960182085027974,50.91985499999958
2040,prm15_wcost_re8_c2p1_t1,30.178218846072788,222.10689793865208
2040,prm15_wcost_re9_c2p1_co2_cut90p_t1,33.057585458771015,50.91985499999982
2040,prm15_wcost_re9_c2p1_t1,30.17931946183156,222.14047106869003
2045,prm15_wcost_re10_c2p1_co2_cut90p_t1,35.797867519138805,30.551912999999956
2045,prm15_wcost_re10_c2p1_t1,32.966744419499044,240.1419785536178
2045,prm15_wcost_re11_c2p1_co2_cut90p_t1,37.41503379814514,30.55191299999993
2045,prm15_wcost_re11_c2p1_t1,33.43363447255129,277.0308797351607
2045,prm15_wcost_re12_c2p1_co2_cut90p_t1,39.85700017326397,30.551912999999967
2045,prm15_wcost_re12_c2p1_t1,34.04996337392138,297.37829968221814
2045,prm15_wcost_re13_c2p1_co2_cut90p_t1,42.551734409306626,30.551912999999974
2045,prm15_wcost_re13_c2p1_t1,34.38712218163122,318.1061182360492
2045,prm15_wcost_re14_c2p1_co2_cut90p_t1,40.56917967779934,30.551912999999892
2045,prm15_wcost_re14_c2p1_t1,34.15879661124092,294.617732627966
2045,prm15_wcost_re15_c2p1_co2_cut90p_t1,39.36202025847722,30.551912999999914
2045,prm15_wcost_re15_c2p1_t1,33.95379365033893,295.86174432739125
2045,prm15_wcost_re16_c2p1_co2_cut90p_t1,38.039106291159754,30.55191300000001
2045,prm15_wcost_re16_c2p1_t1,33.63453083109846,276.3555543361123
2045,prm15_wcost_re17_c2p1_co2_cut90p_t1,39.0572887128203,30.551913000000052
2045,prm15_wcost_re17_c2p1_t1,33.86164396671674,293.20103877145795
2045,prm15_wcost_re18_c2p1_co2_cut90p_t1,41.74024033589562,30.551912999999885
2045,prm15_wcost_re18_c2p1_t1,34.30903983489006,309.16850523593877
2045,prm15_wcost_re19_c2p1_co2_cut90p_t1,41.884900300315934,30.5519129999999
2045,prm15_wcost_re19_c2p1_t1,34.35076684153547,315.11214498157403
2045,prm15_wcost_re1_c2p1_co2_cut90p_t1,35.99070624554227,30.551912999999995
2045,prm15_wcost_re1_c2p1_t1,33.02095017165323,243.27650137451172
2045,prm15_wcost_re20_c2p1_co2_cut90p_t1,37.13713159872729,30.551912999999978
2045,prm15_wcost_re20_c2p1_t1,33.32881728918476,268.612984635129
2045,prm15_wcost_re2_c2p1_co2_cut90p_t1,37.92544980847873,30.551912999999924
2045,prm15_wcost_re2_c2p1_t1,33.33306350993437,266.5915136390633
2045,prm15_wcost_re3_c2p1_co2_cut90p_t1,39.90503395263753,30.55191299999988
2045,prm15_wcost_re3_c2p1_t1,33.5044614562748,281.7786699929614
2045,prm15_wcost_re4_c2p1_co2_cut90p_t1,38.4066373100357,30.55191299999985
2045,prm15_wcost_re4_c2p1_t1,33.38477711572989,265.9205383919709
2045,prm15_wcost_re5_c2p1_co2_cut90p_t1,37.53680831237243,30.551912999999967
2045,prm15_wcost_re5_c2p1_t1,33.30234760713034,267.3010135262838
2045,prm15_wcost_re6_c2p1_co2_cut90p_t1,36.45671710537699,30.55191299999994
2045,prm15_wcost_re6_c2p1_t1,33.10775704086058,249.80318927068421
2045,prm15_wcost_re7_c2p1_co2_cut90p_t1,37.302809641742215,30.551912999999903
2045,prm15_wcost_re7_c2p1_t1,33.288752172442884,267.679432290222
2045,prm15_wcost_re8_c2p1_co2_cut90p_t1,39.28370055777775,30.55191299999987
2045,prm15_wcost_re8_c2p1_t1,33.461816914434124,279.0789131891703
2045,prm15_wcost_re9_c2p1_co2_cut90p_t1,39.40595260192195,30.55191299999993
2045,prm15_wcost_re9_c2p1_t1,33.47682908355265,279.68053469837804
2050,prm15_wcost_re10_c2p1_co2_cut90p_t1,41.473264500892476,10.18397099999992
2050,prm15_wcost_re10_c2p1_t1,35.67654242067189,243.80240888649737
