,Latitude,Longitude,project,load_zone,biome
168,-44.25,-67.25,p_wind_Argentina_AR420,Argentina,Patagonia
169,-44.75,-67.25,p_wind_Argentina_AR421,Argentina,Patagonia
170,-45.25,-67.25,p_wind_Argentina_AR422,Argentina,Patagonia
171,-46.75,-67.25,p_wind_Argentina_AR423,Argentina,Patagonia
172,-47.25,-67.25,p_wind_Argentina_AR424,Argentina,Patagonia
173,-47.75,-67.25,p_wind_Argentina_AR425,Argentina,Patagonia
174,-48.25,-67.25,p_wind_Argentina_AR426,Argentina,Patagonia
175,-48.75,-67.25,p_wind_Argentina_AR427,Argentina,Patagonia
176,-54.25,-67.25,p_wind_Argentina_AR428,Argentina,Patagonia
177,-54.75,-67.25,p_wind_Argentina_AR429,Argentina,Patagonia
178,-34.75,-66.75,p_wind_Argentina_AR454,Argentina,Pampas
179,-35.25,-66.75,p_wind_Argentina_AR455,Argentina,Pampas
180,-35.75,-66.75,p_wind_Argentina_AR456,Argentina,Pampas
181,-36.25,-66.75,p_wind_Argentina_AR457,Argentina,Pampas
182,-36.75,-66.75,p_wind_Argentina_AR458,Argentina,Patagonia
183,-37.25,-66.75,p_wind_Argentina_AR459,Argentina,Patagonia
184,-37.75,-66.75,p_wind_Argentina_AR460,Argentina,Patagonia
185,-38.25,-66.75,p_wind_Argentina_AR461,Argentina,Patagonia
186,-38.75,-66.75,p_wind_Argentina_AR462,Argentina,Patagonia
187,-39.25,-66.75,p_wind_Argentina_AR463,Argentina,Patagonia
188,-39.75,-66.75,p_wind_Argentina_AR464,Argentina,Patagonia
189,-40.25,-66.75,p_wind_Argentina_AR465,Argentina,Patagonia
190,-40.75,-66.75,p_wind_Argentina_AR466,Argentina,Patagonia
191,-41.25,-66.75,p_wind_Argentina_AR467,Argentina,Patagonia
192,-41.75,-66.75,p_wind_Argentina_AR468,Argentina,Patagonia
193,-42.25,-66.75,p_wind_Argentina_AR469,Argentina,Patagonia
194,-42.75,-66.75,p_wind_Argentina_AR470,Argentina,Patagonia
195,-43.25,-66.75,p_wind_Argentina_AR471,Argentina,Patagonia
196,-43.75,-66.75,p_wind_Argentina_AR472,Argentina,Patagonia
197,-44.25,-66.75,p_wind_Argentina_AR473,Argentina,Patagonia
198,-44.75,-66.75,p_wind_Argentina_AR474,Argentina,Patagonia
199,-47.25,-66.75,p_wind_Argentina_AR475,Argentina,Patagonia
200,-47.75,-66.75,p_wind_Argentina_AR476,Argentina,Patagonia
201,-48.25,-66.75,p_wind_Argentina_AR477,Argentina,Patagonia
202,-54.75,-66.75,p_wind_Argentina_AR478,Argentina,Patagonia
203,-34.75,-66.25,p_wind_Argentina_AR504,Argentina,Pampas
204,-35.25,-66.25,p_wind_Argentina_AR505,Argentina,Pampas
205,-35.75,-66.25,p_wind_Argentina_AR506,Argentina,Pampas
206,-36.25,-66.25,p_wind_Argentina_AR507,Argentina,Pampas
207,-36.75,-66.25,p_wind_Argentina_AR508,Argentina,Patagonia
208,-37.25,-66.25,p_wind_Argentina_AR509,Argentina,Patagonia
209,-37.75,-66.25,p_wind_Argentina_AR510,Argentina,Patagonia
210,-38.25,-66.25,p_wind_Argentina_AR511,Argentina,Patagonia
211,-38.75,-66.25,p_wind_Argentina_AR512,Argentina,Patagonia
