lz_from,lz_to,period,net_flow_twh,scenario,policy,turbine,solar
Brazil,Uruguay,2020,-0.110314402,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Brazil,Uruguay,2025,1.035286372,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Brazil,Uruguay,2030,1.278564006,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Brazil,Uruguay,2035,1.990480317,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Brazil,Uruguay,2040,1.489504158,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Brazil,Uruguay,2045,1.167584264,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Brazil,Uruguay,2050,0.949144054,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Brazil,2020,0.0558846,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Brazil,2025,-0.0332694,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Brazil,2030,0.0523314,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Brazil,2035,0.2922453,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Brazil,2040,0.1414998,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Brazil,2045,0.1722402,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Brazil,2050,0.294890217,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Chile,2020,0.006447309,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Chile,2025,0.002410683,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Chile,2030,0.002107793,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Chile,2035,0.000812825,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Chile,2040,0.003536515,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Chile,2045,0.002892563,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Chile,2050,0.00454988,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Paraguay,2020,-0.008606582,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Paraguay,2025,-0.00784574,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Paraguay,2030,-0.007808258,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Paraguay,2035,-0.00774656,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Paraguay,2040,-0.00764495,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Paraguay,2045,-0.003117335,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Paraguay,2050,-0.000822813,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Uruguay,2020,-1.000497372,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Uruguay,2025,0.089781406,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Uruguay,2030,0.489416517,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Uruguay,2035,0.993027249,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Uruguay,2040,0.751754056,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Uruguay,2045,0.899872653,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Uruguay,2050,1.217835368,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Brazil,Paraguay,2020,0,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Brazil,Paraguay,2025,0,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Brazil,Paraguay,2030,0,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Brazil,Paraguay,2035,0,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Brazil,Paraguay,2040,0,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Brazil,Paraguay,2045,0,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Brazil,Paraguay,2050,0,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Brazil,Uruguay,2020,-0.092075893,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Brazil,Uruguay,2025,1.183585712,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Brazil,Uruguay,2030,1.542368958,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Brazil,Uruguay,2035,1.465921815,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Brazil,Uruguay,2040,1.10721339,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Brazil,Uruguay,2045,1.024115201,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Brazil,Uruguay,2050,0.696315783,trd_cut90_siemens23_1axis,cut90,siemens23,1axis
Argentina,Brazil,2020,0.0558846,trd_cut90_ge25_1axis,cut90,ge25,1axis
