scenario,technology,load_zone,new_build_mw,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re8_c2p1_tn,SolarPV,Argentina,6538.9603890299995,0,0,8,0,"NoCut,Full",000
prm15_wcost_re12_c2p1_tn,Wind,Paraguay,7113.195613,0,0,12,1,"NoCut,Full",001
prm15_wcost_re12_c2p1_tn,Wind,Chile,0.0,0,0,12,1,"NoCut,Full",001
prm15_wcost_re3_c2p1_tn,SolarPV,Brazil,138975.94163543,0,0,3,0,"NoCut,Full",000
prm15_wcost_re2_c2p1_tn,SolarPV,Chile,7251.1249914,0,0,2,0,"NoCut,Full",000
prm15_wcost_re13_c2p1_tn,Wind,Argentina,0.0,0,0,13,1,"NoCut,Full",001
prm15_wcost_re12_c2p1_tn,Wind,Brazil,74240.2432137,0,0,12,1,"NoCut,Full",001
prm15_wcost_re14_c2p1_tn,Wind,Paraguay,6192.0000573,0,0,14,1,"NoCut,Full",001
prm15_wcost_re14_c2p1_tn,Wind,Chile,0.0,0,0,14,1,"NoCut,Full",001
prm15_wcost_re14_c2p1_tn,Wind,Brazil,67394.99999949,0,0,14,1,"NoCut,Full",001
prm15_wcost_re14_c2p1_tn,Wind,Argentina,4185.0,0,0,14,1,"NoCut,Full",001
prm15_wcost_re14_c2p1_tn,SolarPV,Uruguay,2104.8,0,0,14,1,"NoCut,Full",001
prm15_wcost_re14_c2p1_tn,SolarPV,Paraguay,2914.93340222,0,0,14,1,"NoCut,Full",001
prm15_wcost_re14_c2p1_tn,SolarPV,Chile,0.0,0,0,14,1,"NoCut,Full",001
prm15_wcost_re14_c2p1_tn,SolarPV,Brazil,97692.949839463,0,0,14,1,"NoCut,Full",001
prm15_wcost_re14_c2p1_tn,SolarPV,Argentina,239.0,0,0,14,1,"NoCut,Full",001
prm15_wcost_re13_c2p1_tn,Wind,Uruguay,0.0,0,0,13,1,"NoCut,Full",001
prm15_wcost_re7_c2p1_tn,SolarPV,Brazil,112919.399999993,0,0,7,0,"NoCut,Full",000
prm15_wcost_re7_c2p1_tn,SolarPV,Chile,7251.1249914,0,0,7,0,"NoCut,Full",000
prm15_wcost_re7_c2p1_tn,SolarPV,Paraguay,5779.80000003,0,0,7,0,"NoCut,Full",000
prm15_wcost_re7_c2p1_tn,SolarPV,Uruguay,3404.76270538,0,0,7,0,"NoCut,Full",000
prm15_wcost_re7_c2p1_tn,Wind,Argentina,0.0,0,0,7,0,"NoCut,Full",000
prm15_wcost_re7_c2p1_tn,Wind,Brazil,65625.065662,0,0,7,0,"NoCut,Full",000
prm15_wcost_re7_c2p1_tn,Wind,Chile,0.0,0,0,7,0,"NoCut,Full",000
prm15_wcost_re7_c2p1_tn,Wind,Paraguay,3962.755538,0,0,7,0,"NoCut,Full",000
prm15_wcost_re3_c2p1_tn,Wind,Brazil,30093.0,0,0,3,0,"NoCut,Full",000
prm15_wcost_re3_c2p1_tn,Wind,Argentina,0.0,0,0,3,0,"NoCut,Full",000
prm15_wcost_re13_c2p1_tn,Wind,Paraguay,5287.188575,0,0,13,1,"NoCut,Full",001
prm15_wcost_re13_c2p1_tn,Wind,Chile,0.0,0,0,13,1,"NoCut,Full",001
prm15_wcost_re13_c2p1_tn,Wind,Brazil,40070.3063558,0,0,13,1,"NoCut,Full",001
prm15_wcost_re13_c2p1_tn,SolarPV,Uruguay,1939.26088201,0,0,13,1,"NoCut,Full",001
prm15_wcost_re12_c2p1_tn,Wind,Argentina,5896.7769745000005,0,0,12,1,"NoCut,Full",001
prm15_wcost_re12_c2p1_tn,SolarPV,Chile,0.0,0,0,12,1,"NoCut,Full",001
prm15_wcost_re12_c2p1_tn,SolarPV,Paraguay,1592.8,0,0,12,1,"NoCut,Full",001
prm15_wcost_re2_c2p1_tn,Wind,Paraguay,3724.9567079999997,0,0,2,0,"NoCut,Full",000
