,scenario,technology,biome,new_build_mw,sc_group
177,prm15_wcost_re18_c2p1_co2_cut90p_t1,SolarPV,Caatinga,52275.7658673172,4.0
178,prm15_wcost_re18_c2p1_co2_cut90p_t1,SolarPV,Cerrado,84189.4,4.0
179,prm15_wcost_re18_c2p1_co2_cut90p_t1,SolarPV,Gran Chaco,10038.8,4.0
180,prm15_wcost_re18_c2p1_co2_cut90p_t1,SolarPV,Monte Desert,520.0,4.0
181,prm15_wcost_re18_c2p1_co2_cut90p_t1,SolarPV,Pampas,5519.457479399002,4.0
182,prm15_wcost_re18_c2p1_co2_cut90p_t1,Wind,Caatinga,150245.03230745532,4.0
183,prm15_wcost_re18_c2p1_co2_cut90p_t1,Wind,Coastal,1254.0,4.0
184,prm15_wcost_re18_c2p1_co2_cut90p_t1,Wind,Gran Chaco,3984.3768302643857,4.0
185,prm15_wcost_re18_c2p1_co2_cut90p_t1,Wind,Pampas,56505.25415195262,4.0
186,prm15_wcost_re18_c2p1_co2_cut90p_t1,Wind,Patagonia,83868.85145072115,4.0
187,prm15_wcost_re18_c2p1_t1,SolarPV,Atacama/Andes,1361.824595719103,2.0
188,prm15_wcost_re18_c2p1_t1,SolarPV,Caatinga,45369.4,2.0
189,prm15_wcost_re18_c2p1_t1,SolarPV,Cerrado,62813.8,2.0
190,prm15_wcost_re18_c2p1_t1,SolarPV,Gran Chaco,2488.623316887592,2.0
191,prm15_wcost_re18_c2p1_t1,SolarPV,Monte Desert,0.0,2.0
192,prm15_wcost_re18_c2p1_t1,SolarPV,Pampas,5028.820595912104,2.0
193,prm15_wcost_re18_c2p1_t1,Wind,Caatinga,44838.0,2.0
194,prm15_wcost_re18_c2p1_t1,Wind,Coastal,0.0,2.0
195,prm15_wcost_re18_c2p1_t1,Wind,Gran Chaco,0.0,2.0
196,prm15_wcost_re18_c2p1_t1,Wind,Pampas,15631.999729802756,2.0
197,prm15_wcost_re18_c2p1_t1,Wind,Patagonia,1452.0,2.0
198,prm15_wcost_re19_c2p1_co2_cut90p_t1,SolarPV,Atacama/Andes,45355.67261100419,4.0
199,prm15_wcost_re19_c2p1_co2_cut90p_t1,SolarPV,Caatinga,56256.0,4.0
200,prm15_wcost_re19_c2p1_co2_cut90p_t1,SolarPV,Cerrado,84189.4,4.0
201,prm15_wcost_re19_c2p1_co2_cut90p_t1,SolarPV,Gran Chaco,10036.381543988897,4.0
202,prm15_wcost_re19_c2p1_co2_cut90p_t1,SolarPV,Monte Desert,520.0,4.0
203,prm15_wcost_re19_c2p1_co2_cut90p_t1,SolarPV,Pampas,5449.768533664745,4.0
204,prm15_wcost_re19_c2p1_co2_cut90p_t1,Wind,Caatinga,140437.43209372737,4.0
205,prm15_wcost_re19_c2p1_co2_cut90p_t1,Wind,Coastal,3657.0,4.0
206,prm15_wcost_re19_c2p1_co2_cut90p_t1,Wind,Gran Chaco,4061.245258158216,4.0
207,prm15_wcost_re19_c2p1_co2_cut90p_t1,Wind,Pampas,78362.10509682307,4.0
208,prm15_wcost_re19_c2p1_co2_cut90p_t1,Wind,Patagonia,86687.83370084346,4.0
209,prm15_wcost_re19_c2p1_t1,SolarPV,Atacama/Andes,1868.3083106052807,2.0
210,prm15_wcost_re19_c2p1_t1,SolarPV,Caatinga,45369.4,2.0
211,prm15_wcost_re19_c2p1_t1,SolarPV,Cerrado,62813.8,2.0
212,prm15_wcost_re19_c2p1_t1,SolarPV,Gran Chaco,2488.623316887591,2.0
213,prm15_wcost_re19_c2p1_t1,SolarPV,Monte Desert,0.0,2.0
214,prm15_wcost_re19_c2p1_t1,SolarPV,Pampas,5253.395773447498,2.0
215,prm15_wcost_re19_c2p1_t1,Wind,Caatinga,39735.0,2.0
216,prm15_wcost_re19_c2p1_t1,Wind,Coastal,0.0,2.0
217,prm15_wcost_re19_c2p1_t1,Wind,Gran Chaco,0.0,2.0
218,prm15_wcost_re19_c2p1_t1,Wind,Pampas,15498.227203482047,2.0
219,prm15_wcost_re19_c2p1_t1,Wind,Patagonia,1491.7352227069246,2.0
220,prm15_wcost_re1_c2p1_co2_cut90p_t1,SolarPV,Atacama/Andes,51659.61114349561,3.0
221,prm15_wcost_re1_c2p1_co2_cut90p_t1,SolarPV,Caatinga,57975.66824136569,3.0
222,prm15_wcost_re1_c2p1_co2_cut90p_t1,SolarPV,Cerrado,83816.3,3.0
223,prm15_wcost_re1_c2p1_co2_cut90p_t1,SolarPV,Gran Chaco,8798.147817718256,3.0
224,prm15_wcost_re1_c2p1_co2_cut90p_t1,SolarPV,Monte Desert,659.5,3.0
225,prm15_wcost_re1_c2p1_co2_cut90p_t1,SolarPV,Pampas,4631.917843309725,3.0
226,prm15_wcost_re1_c2p1_co2_cut90p_t1,Wind,Caatinga,150515.8311967418,3.0
227,prm15_wcost_re1_c2p1_co2_cut90p_t1,Wind,Coastal,2841.0,3.0
228,prm15_wcost_re1_c2p1_co2_cut90p_t1,Wind,Gran Chaco,3269.351032344911,3.0
229,prm15_wcost_re1_c2p1_co2_cut90p_t1,Wind,Pampas,57373.85310578668,3.0
230,prm15_wcost_re1_c2p1_co2_cut90p_t1,Wind,Patagonia,63981.5913361675,3.0
231,prm15_wcost_re1_c2p1_t1,SolarPV,Atacama/Andes,14660.5163871805,1.0
232,prm15_wcost_re1_c2p1_t1,SolarPV,Caatinga,55697.1,1.0
233,prm15_wcost_re1_c2p1_t1,SolarPV,Cerrado,67510.2,1.0
234,prm15_wcost_re1_c2p1_t1,SolarPV,Gran Chaco,3872.6410921516162,1.0
235,prm15_wcost_re1_c2p1_t1,SolarPV,Monte Desert,0.0,1.0
236,prm15_wcost_re1_c2p1_t1,SolarPV,Pampas,4572.910043348038,1.0
237,prm15_wcost_re1_c2p1_t1,Wind,Caatinga,85215.02117067453,1.0
238,prm15_wcost_re1_c2p1_t1,Wind,Coastal,0.0,1.0
239,prm15_wcost_re1_c2p1_t1,Wind,Gran Chaco,1880.9891765592095,1.0
240,prm15_wcost_re1_c2p1_t1,Wind,Pampas,17629.680505363125,1.0
241,prm15_wcost_re1_c2p1_t1,Wind,Patagonia,8991.0,1.0
242,prm15_wcost_re20_c2p1_co2_cut90p_t1,SolarPV,Atacama/Andes,24550.598493621113,4.0
243,prm15_wcost_re20_c2p1_co2_cut90p_t1,SolarPV,Caatinga,47841.3,4.0
244,prm15_wcost_re20_c2p1_co2_cut90p_t1,SolarPV,Cerrado,76473.8,4.0
245,prm15_wcost_re20_c2p1_co2_cut90p_t1,SolarPV,Gran Chaco,5624.2,4.0
246,prm15_wcost_re20_c2p1_co2_cut90p_t1,SolarPV,Monte Desert,0.0,4.0
247,prm15_wcost_re20_c2p1_co2_cut90p_t1,SolarPV,Pampas,4978.934414193135,4.0
248,prm15_wcost_re20_c2p1_co2_cut90p_t1,Wind,Caatinga,159200.3046110683,4.0
249,prm15_wcost_re20_c2p1_co2_cut90p_t1,Wind,Coastal,5466.0,4.0
250,prm15_wcost_re20_c2p1_co2_cut90p_t1,Wind,Gran Chaco,4461.638764176462,4.0
251,prm15_wcost_re20_c2p1_co2_cut90p_t1,Wind,Pampas,74648.11282487877,4.0
252,prm15_wcost_re20_c2p1_co2_cut90p_t1,Wind,Patagonia,81732.54627696956,4.0
253,prm15_wcost_re20_c2p1_t1,SolarPV,Atacama/Andes,0.0,2.0
254,prm15_wcost_re20_c2p1_t1,SolarPV,Caatinga,15729.0,2.0
255,prm15_wcost_re20_c2p1_t1,SolarPV,Cerrado,2432.4,2.0
256,prm15_wcost_re20_c2p1_t1,SolarPV,Gran Chaco,3563.3164188517276,2.0
257,prm15_wcost_re20_c2p1_t1,SolarPV,Monte Desert,0.0,2.0
258,prm15_wcost_re20_c2p1_t1,SolarPV,Pampas,2463.6679151903427,2.0
259,prm15_wcost_re20_c2p1_t1,Wind,Caatinga,116774.01126036358,2.0
260,prm15_wcost_re20_c2p1_t1,Wind,Coastal,0.0,2.0
261,prm15_wcost_re20_c2p1_t1,Wind,Gran Chaco,1840.3347537687443,2.0
262,prm15_wcost_re20_c2p1_t1,Wind,Pampas,25720.921896415075,2.0
263,prm15_wcost_re20_c2p1_t1,Wind,Patagonia,12750.0,2.0
264,prm15_wcost_re2_c2p1_co2_cut90p_t1,SolarPV,Atacama/Andes,58227.985594964295,3.0
265,prm15_wcost_re2_c2p1_co2_cut90p_t1,SolarPV,Caatinga,74474.5,3.0
266,prm15_wcost_re2_c2p1_co2_cut90p_t1,SolarPV,Cerrado,87921.72489821009,3.0
267,prm15_wcost_re2_c2p1_co2_cut90p_t1,SolarPV,Gran Chaco,11125.651070963831,3.0
268,prm15_wcost_re2_c2p1_co2_cut90p_t1,SolarPV,Monte Desert,2525.5,3.0
269,prm15_wcost_re2_c2p1_co2_cut90p_t1,SolarPV,Pampas,5139.287531663544,3.0
270,prm15_wcost_re2_c2p1_co2_cut90p_t1,Wind,Caatinga,146613.0,3.0
271,prm15_wcost_re2_c2p1_co2_cut90p_t1,Wind,Coastal,2706.0,3.0
272,prm15_wcost_re2_c2p1_co2_cut90p_t1,Wind,Gran Chaco,3347.54200079681,3.0
273,prm15_wcost_re2_c2p1_co2_cut90p_t1,Wind,Pampas,62424.0035108256,3.0
274,prm15_wcost_re2_c2p1_co2_cut90p_t1,Wind,Patagonia,73107.4359281159,3.0
275,prm15_wcost_re2_c2p1_t1,SolarPV,Atacama/Andes,16673.30649516603,1.0
276,prm15_wcost_re2_c2p1_t1,SolarPV,Caatinga,70347.23787412464,1.0
277,prm15_wcost_re2_c2p1_t1,SolarPV,Cerrado,76390.4,1.0
278,prm15_wcost_re2_c2p1_t1,SolarPV,Gran Chaco,6146.4953248761885,1.0
279,prm15_wcost_re2_c2p1_t1,SolarPV,Monte Desert,0.0,1.0
280,prm15_wcost_re2_c2p1_t1,SolarPV,Pampas,5409.0016101593155,1.0
281,prm15_wcost_re2_c2p1_t1,Wind,Caatinga,46864.76602213746,1.0
282,prm15_wcost_re2_c2p1_t1,Wind,Coastal,0.0,1.0
