period,load_zone,Battery,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs
2040,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7082633104178466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4404472872825296,0.0,0.0,Trade Vestas V90 3000 Single-Axis
2040,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Vestas V90 3000 Single-Axis
2040,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2440917506010263,0.0,-1.3413125666151977,Trade Vestas V90 3000 Single-Axis
2045,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.25720808413875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0443999978470018,0.0,-1.3577452087162036,Trade Vestas V90 3000 Single-Axis
2045,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.453665392706455,0.0,0.0,0.0,1.375,0.0,0.0,0.0,29.926711609468654,0.0,-37.214999999999996,Trade Vestas V90 3000 Single-Axis
2045,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22804238885958483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44044728728253,0.0,0.0,Trade Vestas V90 3000 Single-Axis
2045,Paraguay,6.661338147750939e-16,0.0,0.0,0.0,0.0,0.0,-1.1934897514720433e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.771561172376096e-16,0.0,0.0,Trade Vestas V90 3000 Single-Axis
2045,Uruguay,0.05388156239980839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.452922367443227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3118602135747968,0.0,-0.9822477086011454,Trade Vestas V90 3000 Single-Axis
2050,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.157147021234294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0443999978470018,0.0,-8.991,Trade Vestas V90 3000 Single-Axis
2050,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.503436165472081,0.0,0.0,0.0,3.853999999999999,0.0,0.0,0.0,13.167900000000003,0.0,-51.647999999999996,Trade Vestas V90 3000 Single-Axis
2050,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.389999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,Trade Vestas V90 3000 Single-Axis
2050,Paraguay,0.46559888998599686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21103653975751735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2738542327245725,0.0,-1.8809891765592095,Trade Vestas V90 3000 Single-Axis
2050,Uruguay,0.2778275628641303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.210202692506819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4480808455691188,0.0,-0.4307587178986685,Trade Vestas V90 3000 Single-Axis
