,Latitude,Longitude,project,load_zone,biome
173,-25.25,-67.75,p_solar_Argentina_AR326,Argentina,Atacama/Andes
174,-25.75,-67.75,p_solar_Argentina_AR327,Argentina,Atacama/Andes
175,-26.25,-67.75,p_solar_Argentina_AR328,Argentina,Atacama/Andes
176,-26.75,-67.75,p_solar_Argentina_AR329,Argentina,Atacama/Andes
177,-27.25,-67.75,p_solar_Argentina_AR330,Argentina,Atacama/Andes
178,-27.75,-67.75,p_solar_Argentina_AR331,Argentina,Atacama/Andes
179,-28.25,-67.75,p_solar_Argentina_AR332,Argentina,Atacama/Andes
180,-28.75,-67.75,p_solar_Argentina_AR333,Argentina,Atacama/Andes
181,-30.25,-67.75,p_solar_Argentina_AR336,Argentina,Monte Desert
182,-30.75,-67.75,p_solar_Argentina_AR337,Argentina,Monte Desert
183,-31.25,-67.75,p_solar_Argentina_AR338,Argentina,Monte Desert
184,-31.75,-67.75,p_solar_Argentina_AR339,Argentina,Monte Desert
185,-32.25,-67.75,p_solar_Argentina_AR340,Argentina,Monte Desert
186,-32.75,-67.75,p_solar_Argentina_AR341,Argentina,Monte Desert
187,-33.25,-67.75,p_solar_Argentina_AR342,Argentina,Monte Desert
188,-33.75,-67.75,p_solar_Argentina_AR343,Argentina,Monte Desert
189,-34.25,-67.75,p_solar_Argentina_AR344,Argentina,Monte Desert
190,-34.75,-67.75,p_solar_Argentina_AR345,Argentina,Monte Desert
191,-35.25,-67.75,p_solar_Argentina_AR346,Argentina,Monte Desert
192,-35.75,-67.75,p_solar_Argentina_AR347,Argentina,Monte Desert
193,-36.25,-67.75,p_solar_Argentina_AR348,Argentina,Monte Desert
194,-36.75,-67.75,p_solar_Argentina_AR349,Argentina,Monte Desert
195,-37.25,-67.75,p_solar_Argentina_AR350,Argentina,Monte Desert
196,-37.75,-67.75,p_solar_Argentina_AR351,Argentina,Monte Desert
197,-38.25,-67.75,p_solar_Argentina_AR352,Argentina,Monte Desert
198,-38.75,-67.75,p_solar_Argentina_AR353,Argentina,Monte Desert
199,-39.25,-67.75,p_solar_Argentina_AR354,Argentina,Monte Desert
200,-39.75,-67.75,p_solar_Argentina_AR355,Argentina,Monte Desert
201,-40.25,-67.75,p_solar_Argentina_AR356,Argentina,Monte Desert
202,-40.75,-67.75,p_solar_Argentina_AR357,Argentina,Monte Desert
203,-41.25,-67.75,p_solar_Argentina_AR358,Argentina,Monte Desert
204,-41.75,-67.75,p_solar_Argentina_AR359,Argentina,Monte Desert
205,-42.25,-67.75,p_solar_Argentina_AR360,Argentina,Monte Desert
206,-42.75,-67.75,p_solar_Argentina_AR361,Argentina,Monte Desert
207,-43.25,-67.75,p_solar_Argentina_AR362,Argentina,Monte Desert
208,-43.75,-67.75,p_solar_Argentina_AR363,Argentina,Monte Desert
209,-44.25,-67.75,p_solar_Argentina_AR364,Argentina,Monte Desert
210,-44.75,-67.75,p_solar_Argentina_AR365,Argentina,Monte Desert
211,-45.25,-67.75,p_solar_Argentina_AR366,Argentina,Monte Desert
212,-45.75,-67.75,p_solar_Argentina_AR367,Argentina,Monte Desert
213,-46.25,-67.75,p_solar_Argentina_AR368,Argentina,Monte Desert
214,-46.75,-67.75,p_solar_Argentina_AR369,Argentina,Monte Desert
215,-23.75,-67.25,p_solar_Argentina_AR379,Argentina,Atacama/Andes
216,-24.25,-67.25,p_solar_Argentina_AR380,Argentina,Atacama/Andes
217,-24.75,-67.25,p_solar_Argentina_AR381,Argentina,Atacama/Andes
218,-25.25,-67.25,p_solar_Argentina_AR382,Argentina,Atacama/Andes
219,-25.75,-67.25,p_solar_Argentina_AR383,Argentina,Atacama/Andes
220,-26.25,-67.25,p_solar_Argentina_AR384,Argentina,Atacama/Andes
221,-26.75,-67.25,p_solar_Argentina_AR385,Argentina,Atacama/Andes
222,-27.25,-67.25,p_solar_Argentina_AR386,Argentina,Atacama/Andes
223,-27.75,-67.25,p_solar_Argentina_AR387,Argentina,Atacama/Andes
224,-28.25,-67.25,p_solar_Argentina_AR388,Argentina,Atacama/Andes
225,-30.75,-67.25,p_solar_Argentina_AR393,Argentina,Monte Desert
226,-31.25,-67.25,p_solar_Argentina_AR394,Argentina,Monte Desert
227,-31.75,-67.25,p_solar_Argentina_AR395,Argentina,Monte Desert
228,-32.25,-67.25,p_solar_Argentina_AR396,Argentina,Monte Desert
229,-32.75,-67.25,p_solar_Argentina_AR397,Argentina,Monte Desert
230,-33.25,-67.25,p_solar_Argentina_AR398,Argentina,Monte Desert
231,-33.75,-67.25,p_solar_Argentina_AR399,Argentina,Monte Desert
232,-34.25,-67.25,p_solar_Argentina_AR400,Argentina,Monte Desert
233,-34.75,-67.25,p_solar_Argentina_AR401,Argentina,Monte Desert
234,-35.25,-67.25,p_solar_Argentina_AR402,Argentina,Monte Desert
235,-35.75,-67.25,p_solar_Argentina_AR403,Argentina,Monte Desert
236,-36.25,-67.25,p_solar_Argentina_AR404,Argentina,Monte Desert
237,-36.75,-67.25,p_solar_Argentina_AR405,Argentina,Monte Desert
238,-37.25,-67.25,p_solar_Argentina_AR406,Argentina,Monte Desert
239,-37.75,-67.25,p_solar_Argentina_AR407,Argentina,Monte Desert
240,-38.25,-67.25,p_solar_Argentina_AR408,Argentina,Monte Desert
241,-38.75,-67.25,p_solar_Argentina_AR409,Argentina,Monte Desert
242,-39.25,-67.25,p_solar_Argentina_AR410,Argentina,Monte Desert
243,-39.75,-67.25,p_solar_Argentina_AR411,Argentina,Monte Desert
244,-40.25,-67.25,p_solar_Argentina_AR412,Argentina,Monte Desert
245,-40.75,-67.25,p_solar_Argentina_AR413,Argentina,Monte Desert
246,-41.25,-67.25,p_solar_Argentina_AR414,Argentina,Monte Desert
247,-41.75,-67.25,p_solar_Argentina_AR415,Argentina,Monte Desert
248,-42.25,-67.25,p_solar_Argentina_AR416,Argentina,Monte Desert
249,-42.75,-67.25,p_solar_Argentina_AR417,Argentina,Monte Desert
250,-43.25,-67.25,p_solar_Argentina_AR418,Argentina,Monte Desert
251,-43.75,-67.25,p_solar_Argentina_AR419,Argentina,Monte Desert
