period,load_zone,scs,scs_id,emis_policy,exist_trd,fixed_pv,capacity_cost,op_char,turbine,group
2020,Paraguay,Trade Emission cut 90% GE 1.5sle Fixed,prm15_wcost_re17_c2p1_co2_cut90p_t1,True,True,True,3046485.205479452,2397,987,8.0
2020,Paraguay,Trade Emission cut 90% GE 1.5sle Single-Axis,prm15_wcost_re7_c2p1_co2_cut90p_t1,True,True,False,3046485.205479452,987,987,7.0
2020,Paraguay,Trade Emission cut 90% GE 2.5xl Fixed,prm15_wcost_re16_c2p1_co2_cut90p_t1,True,True,True,3046485.205479452,2256,846,8.0
2020,Paraguay,Trade Emission cut 90% GE 2.5xl Single-Axis,prm15_wcost_re6_c2p1_co2_cut90p_t1,True,True,False,3046485.205479452,846,846,7.0
2020,Paraguay,Trade Emission cut 90% Gamesa G80 2000 Fixed,prm15_wcost_re18_c2p1_co2_cut90p_t1,True,True,True,3046485.205479452,2538,1128,8.0
2020,Paraguay,Trade Emission cut 90% Gamesa G80 2000 Single-Axis,prm15_wcost_re8_c2p1_co2_cut90p_t1,True,True,False,3046485.205479452,1128,1128,7.0
2020,Paraguay,Trade Emission cut 90% Siemens SWT 2.3 93 Fixed,prm15_wcost_re15_c2p1_co2_cut90p_t1,True,True,True,3046485.205479452,2115,705,8.0
2020,Paraguay,Trade Emission cut 90% Siemens SWT 2.3 93 Single-Axis,prm15_wcost_re5_c2p1_co2_cut90p_t1,True,True,False,3046485.205479452,705,705,7.0
2020,Paraguay,Trade Emission cut 90% Siemens SWT 3.6 107 Fixed,prm15_wcost_re14_c2p1_co2_cut90p_t1,True,True,True,3046485.205479452,1974,564,8.0
2020,Paraguay,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,prm15_wcost_re4_c2p1_co2_cut90p_t1,True,True,False,3046485.205479452,564,564,7.0
2020,Paraguay,Trade Emission cut 90% Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_co2_cut90p_t1,True,True,True,3046485.205479452,1692,282,8.0
2020,Paraguay,Trade Emission cut 90% Vestas V164 7000 Single-Axis,prm15_wcost_re2_c2p1_co2_cut90p_t1,True,True,False,3046485.205479452,282,282,7.0
2020,Paraguay,Trade Emission cut 90% Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_co2_cut90p_t1,True,True,True,3046485.205479452,1551,141,8.0
2020,Paraguay,Trade Emission cut 90% Vestas V90 2000 Single-Axis,prm15_wcost_re1_c2p1_co2_cut90p_t1,True,True,False,3046485.205479452,141,141,7.0
2020,Paraguay,Trade Emission cut 90% Vestas V90 3000 Fixed,prm15_wcost_re13_c2p1_co2_cut90p_t1,True,True,True,3046485.205479452,1833,423,8.0
2020,Paraguay,Trade Emission cut 90% Vestas V90 3000 Single-Axis,prm15_wcost_re3_c2p1_co2_cut90p_t1,True,True,False,3046485.205479452,423,423,7.0
2020,Paraguay,Trade Enercon E101 3000 Fixed,prm15_wcost_re20_c2p1_t1,False,True,True,3046485.205479452,2820,1410,4.0
2020,Paraguay,Trade Enercon E101 3000 Single-Axis,prm15_wcost_re10_c2p1_t1,False,True,False,3046485.205479452,1410,1410,3.0
2020,Paraguay,Trade Enercon E126 7000 Fixed,prm15_wcost_re19_c2p1_t1,False,True,True,3046485.205479452,2679,1269,4.0
2020,Paraguay,Trade Enercon E126 7000 Single-Axis,prm15_wcost_re9_c2p1_t1,False,True,False,3046485.205479452,1269,1269,3.0
2020,Paraguay,Trade GE 1.5sle Fixed,prm15_wcost_re17_c2p1_t1,False,True,True,3046485.205479452,2397,987,4.0
2020,Paraguay,Trade GE 1.5sle Single-Axis,prm15_wcost_re7_c2p1_t1,False,True,False,3046485.205479452,987,987,3.0
2020,Paraguay,Trade GE 2.5xl Fixed,prm15_wcost_re16_c2p1_t1,False,True,True,3046485.205479452,2256,846,4.0
2020,Paraguay,Trade GE 2.5xl Single-Axis,prm15_wcost_re6_c2p1_t1,False,True,False,3046485.205479452,846,846,3.0
2020,Paraguay,Trade Gamesa G80 2000 Fixed,prm15_wcost_re18_c2p1_t1,False,True,True,3046485.205479452,2538,1128,4.0
2020,Paraguay,Trade Gamesa G80 2000 Single-Axis,prm15_wcost_re8_c2p1_t1,False,True,False,3046485.205479452,1128,1128,3.0
2020,Paraguay,Trade Siemens SWT 2.3 93 Fixed,prm15_wcost_re15_c2p1_t1,False,True,True,3046485.205479452,2115,705,4.0
2020,Paraguay,Trade Siemens SWT 2.3 93 Single-Axis,prm15_wcost_re5_c2p1_t1,False,True,False,3046485.205479452,705,705,3.0
2020,Paraguay,Trade Siemens SWT 3.6 107 Fixed,prm15_wcost_re14_c2p1_t1,False,True,True,3046485.205479452,1974,564,4.0
2020,Paraguay,Trade Siemens SWT 3.6 107 Single-Axis,prm15_wcost_re4_c2p1_t1,False,True,False,3046485.205479452,564,564,3.0
2020,Paraguay,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1,False,True,True,3046485.205479452,1692,282,4.0
2020,Paraguay,Trade Vestas V164 7000 Single-Axis,prm15_wcost_re2_c2p1_t1,False,True,False,3046485.205479452,282,282,3.0
2020,Paraguay,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1,False,True,True,3046485.205479452,1551,141,4.0
2020,Paraguay,Trade Vestas V90 2000 Single-Axis,prm15_wcost_re1_c2p1_t1,False,True,False,3046485.205479452,141,141,3.0
2020,Paraguay,Trade Vestas V90 3000 Fixed,prm15_wcost_re13_c2p1_t1,False,True,True,3046485.205479452,1833,423,4.0
2020,Paraguay,Trade Vestas V90 3000 Single-Axis,prm15_wcost_re3_c2p1_t1,False,True,False,3046485.205479452,423,423,3.0
2020,Uruguay,Trade Emission cut 90% Enercon E101 3000 Fixed,prm15_wcost_re20_c2p1_co2_cut90p_t1,True,True,True,154103578.15068492,2920,1460,8.0
