scs_id,costs_per_mwh,MtCO2,op_char,scs_id_ref,costs_per_mwh_ref,MtCO2_ref,load_zone,Solar PV,cost_diff,emis_diff
prm15_wcost_re7_c2p1_co2_cut90p_t1,41.19613478324412,5.802675405279225,7,prm15_wcost_re7_c2p1_tn,36.52226700571277,134.1865652257541,Brazil,Single Axis,4.673867777531349,-128.38388982047488
prm15_wcost_re8_c2p1_co2_cut90p_t1,50.80061606635833,2.6379716096064207,8,prm15_wcost_re8_c2p1_tn,46.27300328587036,138.9405600554713,Argentina,Single Axis,4.527612780487971,-136.3025884458649
prm15_wcost_re8_c2p1_co2_cut90p_t1,44.56577038343008,5.185304644622556,8,prm15_wcost_re8_c2p1_tn,36.75703755416008,160.4059300824146,Brazil,Single Axis,7.808732829269999,-155.22062543779205
prm15_wcost_re8_c2p1_co2_cut90p_t1,73.72431101935813,2.1137812848150355,8,prm15_wcost_re8_c2p1_tn,34.274466540827724,56.69938563557664,Chile,Single Axis,39.4498444785304,-54.585604350761606
prm15_wcost_re8_c2p1_co2_cut90p_t1,27.39810440757151,0.2240664992009065,8,prm15_wcost_re8_c2p1_tn,11.64736664635079,0.0,Paraguay,Single Axis,15.75073776122072,0.2240664992009065
prm15_wcost_re8_c2p1_co2_cut90p_t1,57.35475101883778,0.0228469617550713,8,prm15_wcost_re8_c2p1_tn,19.35012828132109,0.09363197099084,Uruguay,Single Axis,38.00462273751669,-0.0707850092357687
prm15_wcost_re9_c2p1_co2_cut90p_t1,49.94030129603028,2.4669839436678145,9,prm15_wcost_re9_c2p1_tn,41.90980222860721,138.7185738872025,Argentina,Single Axis,8.030499067423065,-136.25158994353467
prm15_wcost_re9_c2p1_co2_cut90p_t1,44.81739063532881,5.442221968070694,9,prm15_wcost_re9_c2p1_tn,37.50487130739943,160.61473514344777,Brazil,Single Axis,7.31251932792938,-155.17251317537708
prm15_wcost_re9_c2p1_co2_cut90p_t1,73.78561210627575,2.045820136031914,9,prm15_wcost_re9_c2p1_tn,34.51358263878903,56.699385635575545,Chile,Single Axis,39.27202946748672,-54.65356549954363
prm15_wcost_re9_c2p1_co2_cut90p_t1,27.18878035124429,0.2115946905991301,9,prm15_wcost_re9_c2p1_tn,13.281286612025236,0.0,Paraguay,Single Axis,13.907493739219055,0.2115946905991301
prm15_wcost_re9_c2p1_co2_cut90p_t1,57.38182793627397,0.0173502616304305,9,prm15_wcost_re9_c2p1_tn,31.49610732023918,0.0891252617868013,Uruguay,Single Axis,25.885720616034792,-0.0717750001563708
prm15_wcost_re10_c2p1_co2_cut90p_t1,49.710313933240464,0.0007012409449276,10,prm15_wcost_re10_c2p1_tn,48.80031853776357,0.0186376191729207,Uruguay,Single Axis,0.9099953954768907,-0.0179363782279931
prm15_wcost_re10_c2p1_co2_cut90p_t1,66.14520779525672,3.1137221169730696,10,prm15_wcost_re10_c2p1_tn,35.65102560317541,56.69887287342366,Chile,Single Axis,30.49418219208131,-53.58515075645059
prm15_wcost_re10_c2p1_co2_cut90p_t1,25.004633005704697,0.2233578641950943,10,prm15_wcost_re10_c2p1_tn,17.29117827730173,0.0,Paraguay,Single Axis,7.713454728402969,0.2233578641950943
