sc_id,turbine_name,pv_type,cap_cost_usdkw,cap_mw,hub_ht_m,cutin_speed_ms,rated_speed_ms,cutout_speed_ms,rotor_dia_m,2050 wind gen share,2050 solar gen share,2050 fossil gen share,2050 hydro gen share,costs_per_mwh,total trade,total curtailment,total tx loss,unmet demand mwh
prm15_wcost_re11_c2p1_co2_cut90p_t1,Vestas V90 2000,fixed,1575.0,2.0,100,4.0,13.0,25,90,0.4277806793276645,0.1194128674191792,0.010415131085586447,0.3412604047068477,1015.3521629205912,23.875431074307354,488.8343089928086,0.7006116633996964,24806934.405182824
prm15_wcost_re12_c2p1_co2_cut90p_t1,Vestas V164 7000,fixed,1575.0,7.0,100,4.0,11.0,25,164,0.377774154972827,0.1360420097988683,0.01044133869609516,0.3466339608545093,1042.0413431374138,23.27278530449281,488.98818802365054,0.5979288313452333,24806934.405183006
prm15_wcost_re13_c2p1_co2_cut90p_t1,Vestas V90 3000,fixed,1575.0,3.0,100,4.0,15.0,25,90,0.33329982518026874,0.1473421759782945,0.010681810468700542,0.35688354202358485,1081.8881601925093,24.24193240925288,454.66940767846444,0.6346333876654771,24806934.405182965
prm15_wcost_re14_c2p1_co2_cut90p_t1,Siemens SWT 3.6 107,fixed,1263.684211,3.6,90,3.0,13.0,25,107,0.3602218690714835,0.1364744408319813,0.010449620352582355,0.3476778104064532,1020.2107633674525,24.49259669785267,496.4580818343855,0.7637612855890552,24806934.40518256
prm15_wcost_re15_c2p1_co2_cut90p_t1,Siemens SWT 2.3 93,fixed,1263.684211,2.3,80,4.0,14.0,25,93,0.3875252341959221,0.13425222998475975,0.010430062247572577,0.34469220257638133,1052.7508025945547,23.520197242853186,490.14471032941003,0.6730620910933892,24806934.405182447
prm15_wcost_re16_c2p1_co2_cut90p_t1,GE 2.5xl,fixed,1645.0,2.5,100,3.0,13.0,25,100,0.4340886908526734,0.11787784658045737,0.010437300791945414,0.3383655580419954,1022.1744349618014,23.211787316728554,480.65140978378923,0.8966614870352356,24806934.40518248
prm15_wcost_re17_c2p1_co2_cut90p_t1,GE 1.5sle,fixed,1528.947368,1.5,80,3.5,12.0,25,77,0.4096231127620357,0.12918078405815195,0.010502981135518662,0.34377045450567256,1047.9290466374027,23.21217674586739,474.82864345675824,0.8376377122845851,24806934.405182548
prm15_wcost_re18_c2p1_co2_cut90p_t1,Gamesa G80 2000,fixed,1263.684211,2.0,80,3.5,12.0,25,80,0.3405573843378899,0.14320855041235492,0.010670452277448415,0.355602909649225,1073.585241210782,24.823029550798147,448.93942356590054,0.6952268748297818,24806934.405182384
prm15_wcost_re19_c2p1_co2_cut90p_t1,Enercon E126 7000,fixed,3684.210526,7.0,135,3.0,16.5,34,126,0.34925450382576234,0.13991596894289304,0.010577073869092029,0.3542607261786969,1044.1023990489941,23.985087348769156,474.5091819251824,0.6634570605325184,24806934.40518247
prm15_wcost_re20_c2p1_co2_cut90p_t1,Enercon E101 3000,fixed,1786.842105,3.05,135,2.0,13.0,25,101,0.44398450023823594,0.1110165592849377,0.010380496381628726,0.3301002382021781,992.4869990199893,24.21166078350397,496.6182602558483,0.6863793261947733,24806934.40518287
