type,period,load_zone,trade,Scenario,multiplier,trade_1
export,2030,Paraguay,0.0078,Trade Vestas V90 3000 Single-Axis,-1,-0.0078
export,2030,Uruguay,0.06933,Trade Vestas V90 3000 Single-Axis,-1,-0.06933
export,2035,Argentina,1.92478,Trade Vestas V90 3000 Single-Axis,-1,-1.92478
export,2035,Brazil,1.81721,Trade Vestas V90 3000 Single-Axis,-1,-1.81721
export,2035,Chile,0.00277,Trade Vestas V90 3000 Single-Axis,-1,-0.00277
export,2035,Paraguay,0.0078,Trade Vestas V90 3000 Single-Axis,-1,-0.0078
export,2035,Uruguay,0.12071,Trade Vestas V90 3000 Single-Axis,-1,-0.12071
export,2040,Argentina,1.97525,Trade Vestas V90 3000 Single-Axis,-1,-1.97525
export,2040,Brazil,2.38332,Trade Vestas V90 3000 Single-Axis,-1,-2.38332
export,2040,Chile,0.0022,Trade Vestas V90 3000 Single-Axis,-1,-0.0022
export,2040,Paraguay,0.0078,Trade Vestas V90 3000 Single-Axis,-1,-0.0078
export,2040,Uruguay,0.20602,Trade Vestas V90 3000 Single-Axis,-1,-0.20602
export,2045,Argentina,2.08515,Trade Vestas V90 3000 Single-Axis,-1,-2.08515
export,2045,Brazil,1.9929,Trade Vestas V90 3000 Single-Axis,-1,-1.9929
export,2045,Chile,0.00153,Trade Vestas V90 3000 Single-Axis,-1,-0.00153
export,2045,Paraguay,0.00421,Trade Vestas V90 3000 Single-Axis,-1,-0.00421
export,2045,Uruguay,0.34741,Trade Vestas V90 3000 Single-Axis,-1,-0.34741
export,2050,Argentina,2.02396,Trade Vestas V90 3000 Single-Axis,-1,-2.02396
export,2050,Brazil,1.85268,Trade Vestas V90 3000 Single-Axis,-1,-1.85268
export,2050,Chile,0.00093,Trade Vestas V90 3000 Single-Axis,-1,-0.00093
export,2050,Paraguay,0.0013,Trade Vestas V90 3000 Single-Axis,-1,-0.0013
export,2050,Uruguay,0.47612,Trade Vestas V90 3000 Single-Axis,-1,-0.47612
import,2020,Argentina,0.55782,Trade Vestas V90 3000 Single-Axis,1,0.55782
import,2020,Brazil,1.5568,Trade Vestas V90 3000 Single-Axis,1,1.5568
import,2020,Chile,0.00594,Trade Vestas V90 3000 Single-Axis,1,0.00594
import,2020,Paraguay,0.0,Trade Vestas V90 3000 Single-Axis,1,0.0
import,2020,Uruguay,0.28686,Trade Vestas V90 3000 Single-Axis,1,0.28686
import,2025,Argentina,0.81145,Trade Vestas V90 3000 Single-Axis,1,0.81145
import,2025,Brazil,0.74434,Trade Vestas V90 3000 Single-Axis,1,0.74434
import,2025,Chile,0.00346,Trade Vestas V90 3000 Single-Axis,1,0.00346
import,2025,Paraguay,0.0,Trade Vestas V90 3000 Single-Axis,1,0.0
import,2025,Uruguay,1.49318,Trade Vestas V90 3000 Single-Axis,1,1.49318
import,2030,Argentina,0.65318,Trade Vestas V90 3000 Single-Axis,1,0.65318
import,2030,Brazil,0.67315,Trade Vestas V90 3000 Single-Axis,1,0.67315
import,2030,Chile,0.00362,Trade Vestas V90 3000 Single-Axis,1,0.00362
import,2030,Paraguay,0.0,Trade Vestas V90 3000 Single-Axis,1,0.0
import,2030,Uruguay,2.63469,Trade Vestas V90 3000 Single-Axis,1,2.63469
import,2035,Argentina,0.20908,Trade Vestas V90 3000 Single-Axis,1,0.20908
import,2035,Brazil,0.83147,Trade Vestas V90 3000 Single-Axis,1,0.83147
import,2035,Chile,0.00218,Trade Vestas V90 3000 Single-Axis,1,0.00218
import,2035,Paraguay,0.0,Trade Vestas V90 3000 Single-Axis,1,0.0
import,2035,Uruguay,2.83055,Trade Vestas V90 3000 Single-Axis,1,2.83055
import,2040,Argentina,0.20836,Trade Vestas V90 3000 Single-Axis,1,0.20836
import,2040,Brazil,0.69491,Trade Vestas V90 3000 Single-Axis,1,0.69491
import,2040,Chile,0.00272,Trade Vestas V90 3000 Single-Axis,1,0.00272
import,2040,Paraguay,0.0,Trade Vestas V90 3000 Single-Axis,1,0.0
import,2040,Uruguay,3.66859,Trade Vestas V90 3000 Single-Axis,1,3.66859
import,2045,Argentina,0.14066,Trade Vestas V90 3000 Single-Axis,1,0.14066
import,2045,Brazil,0.92662,Trade Vestas V90 3000 Single-Axis,1,0.92662
import,2045,Chile,0.00131,Trade Vestas V90 3000 Single-Axis,1,0.00131
import,2045,Paraguay,0.00335,Trade Vestas V90 3000 Single-Axis,1,0.00335
import,2045,Uruguay,3.35927,Trade Vestas V90 3000 Single-Axis,1,3.35927
import,2050,Argentina,0.14133,Trade Vestas V90 3000 Single-Axis,1,0.14133
import,2050,Brazil,0.97762,Trade Vestas V90 3000 Single-Axis,1,0.97762
import,2050,Chile,0.00226,Trade Vestas V90 3000 Single-Axis,1,0.00226
import,2050,Paraguay,0.00573,Trade Vestas V90 3000 Single-Axis,1,0.00573
import,2050,Uruguay,3.22805,Trade Vestas V90 3000 Single-Axis,1,3.22805
export,2020,Argentina,1.43151,Trade Siemens SWT 3.6 107 Single-Axis,-1,-1.43151
export,2020,Brazil,0.23169,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.23169
export,2020,Chile,0.00105,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.00105
export,2020,Paraguay,0.00825,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.00825
export,2020,Uruguay,0.73492,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.73492
export,2025,Argentina,1.29193,Trade Siemens SWT 3.6 107 Single-Axis,-1,-1.29193
export,2025,Brazil,1.42921,Trade Siemens SWT 3.6 107 Single-Axis,-1,-1.42921
export,2025,Chile,0.00157,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.00157
export,2025,Paraguay,0.00784,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.00784
export,2025,Uruguay,0.22396,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.22396
export,2030,Argentina,1.51835,Trade Siemens SWT 3.6 107 Single-Axis,-1,-1.51835
export,2030,Brazil,2.44219,Trade Siemens SWT 3.6 107 Single-Axis,-1,-2.44219
export,2030,Chile,0.00141,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.00141
export,2030,Paraguay,0.0078,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.0078
export,2030,Uruguay,0.03456,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.03456
export,2035,Argentina,2.06327,Trade Siemens SWT 3.6 107 Single-Axis,-1,-2.06327
export,2035,Brazil,1.70929,Trade Siemens SWT 3.6 107 Single-Axis,-1,-1.70929
export,2035,Chile,0.00277,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.00277
export,2035,Paraguay,0.0078,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.0078
export,2035,Uruguay,0.14661,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.14661
export,2040,Argentina,2.01204,Trade Siemens SWT 3.6 107 Single-Axis,-1,-2.01204
