index,Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,ann_cfs_ninja_solar_1axis
208,-43.75,-67.75,p_solar_Argentina_AR363,Argentina,131.3,0.19,58.84421082,0.2543153460837881
209,-44.25,-67.75,p_solar_Argentina_AR364,Argentina,130.5,0.19,94.5117783,0.25286577868852356
210,-44.75,-67.75,p_solar_Argentina_AR365,Argentina,130.5,0.19,56.66412523,0.24953096539162042
211,-45.25,-67.75,p_solar_Argentina_AR366,Argentina,130.3,0.19,18.33538226,0.24713205828779672
212,-45.75,-67.75,p_solar_Argentina_AR367,Argentina,130.2,0.18,6.320492488,0.24589776867031038
213,-46.25,-67.75,p_solar_Argentina_AR368,Argentina,130.2,0.18,18.17465573,0.24183185336976276
214,-46.75,-67.75,p_solar_Argentina_AR369,Argentina,130.1,0.18,10.63157289,0.23671026867030917
215,-23.75,-67.25,p_solar_Argentina_AR379,Argentina,128.5,0.28,13.7880934,0.3880708105646726
216,-24.25,-67.25,p_solar_Argentina_AR380,Argentina,128.5,0.28,33.45153101,0.3893820582878047
217,-24.75,-67.25,p_solar_Argentina_AR381,Argentina,128.5,0.28,76.00257387,0.3886519808743246
218,-25.25,-67.25,p_solar_Argentina_AR382,Argentina,128.2,0.28,128.7212266,0.3874849726776044
219,-25.75,-67.25,p_solar_Argentina_AR383,Argentina,128.1,0.27,127.4472467,0.38583128415301465
220,-26.25,-67.25,p_solar_Argentina_AR384,Argentina,128.0,0.26,89.82810176,0.3820102459016464
221,-26.75,-67.25,p_solar_Argentina_AR385,Argentina,127.9,0.25,38.79250773,0.3686712204007321
222,-27.25,-67.25,p_solar_Argentina_AR386,Argentina,127.8,0.23,20.24103733,0.34287067395264187
223,-27.75,-67.25,p_solar_Argentina_AR387,Argentina,127.7,0.2,3.655709323,0.3144626593806926
224,-28.25,-67.25,p_solar_Argentina_AR388,Argentina,127.6,0.18,5.749507902,0.3031622267759565
225,-30.75,-67.25,p_solar_Argentina_AR393,Argentina,126.9,0.18,72.70404688,0.29417793715846957
226,-31.25,-67.25,p_solar_Argentina_AR394,Argentina,126.8,0.19,108.6400737,0.2919741575591987
227,-31.75,-67.25,p_solar_Argentina_AR395,Argentina,126.7,0.2,99.16376155,0.287460724043715
228,-32.25,-67.25,p_solar_Argentina_AR396,Argentina,126.7,0.21,60.97486538,0.28530475865209504
229,-32.75,-67.25,p_solar_Argentina_AR397,Argentina,126.5,0.21,6.278714615,0.28294820127504655
230,-33.25,-67.25,p_solar_Argentina_AR398,Argentina,126.5,0.21,43.95664721,0.27954849726775965
231,-33.75,-67.25,p_solar_Argentina_AR399,Argentina,126.3,0.21,92.73917683,0.277351548269581
232,-34.25,-67.25,p_solar_Argentina_AR400,Argentina,126.1,0.21,88.65094246,0.2770290300546448
233,-34.75,-67.25,p_solar_Argentina_AR401,Argentina,125.8,0.21,46.6145779,0.275923952641166
234,-35.25,-67.25,p_solar_Argentina_AR402,Argentina,125.5,0.21,51.35792975,0.27430418943533696
235,-35.75,-67.25,p_solar_Argentina_AR403,Argentina,125.5,0.21,72.92854449,0.2729957877959919
236,-36.25,-67.25,p_solar_Argentina_AR404,Argentina,125.4,0.21,84.2297917,0.2711962659380696
237,-36.75,-67.25,p_solar_Argentina_AR405,Argentina,124.9,0.21,103.2590764,0.26996971766848776
238,-37.25,-67.25,p_solar_Argentina_AR406,Argentina,124.7,0.21,79.19120626,0.2696047358834238
239,-37.75,-67.25,p_solar_Argentina_AR407,Argentina,124.5,0.21,36.78373379,0.2693602003642975
240,-38.25,-67.25,p_solar_Argentina_AR408,Argentina,124.5,0.21,6.64100951,0.26862374772313363
241,-38.75,-67.25,p_solar_Argentina_AR409,Argentina,124.2,0.21,38.46018485,0.26817839253187703
242,-39.25,-67.25,p_solar_Argentina_AR410,Argentina,123.8,0.21,22.39971997,0.2683010018214934
243,-39.75,-67.25,p_solar_Argentina_AR411,Argentina,123.7,0.21,32.81322141,0.2680256147540982
244,-40.25,-67.25,p_solar_Argentina_AR412,Argentina,123.2,0.21,88.0339897,0.2681532331511842
245,-40.75,-67.25,p_solar_Argentina_AR413,Argentina,123.1,0.2,143.2716788,0.2703550774134789
246,-41.25,-67.25,p_solar_Argentina_AR414,Argentina,122.7,0.2,148.6516324,0.27259904371584665
247,-41.75,-67.25,p_solar_Argentina_AR415,Argentina,122.5,0.2,150.083018,0.270792235883426
248,-42.25,-67.25,p_solar_Argentina_AR416,Argentina,122.1,0.2,94.93991381,0.2650753642987249
249,-42.75,-67.25,p_solar_Argentina_AR417,Argentina,122.0,0.2,40.59331041,0.25806227231329737
250,-43.25,-67.25,p_solar_Argentina_AR418,Argentina,122.0,0.2,13.30452245,0.25514321493624764
251,-43.75,-67.25,p_solar_Argentina_AR419,Argentina,122.0,0.2,61.45240455,0.2546106557377049
252,-44.25,-67.25,p_solar_Argentina_AR420,Argentina,121.9,0.19,64.63132753,0.2529879326047362
253,-44.75,-67.25,p_solar_Argentina_AR421,Argentina,121.7,0.19,27.89722405,0.2485992714025495
254,-45.25,-67.25,p_solar_Argentina_AR422,Argentina,121.4,0.19,3.099352072,0.246144581056466
