lz_from,lz_to,period,net_flow_twh,scenario
Argentina,Paraguay,2025,0.00784552,prm15_wcost_re7_c2p1_t1
Argentina,Paraguay,2030,0.007801740000000001,prm15_wcost_re7_c2p1_t1
Argentina,Paraguay,2035,0.007801740000000001,prm15_wcost_re7_c2p1_t1
Argentina,Paraguay,2040,0.007801740000000001,prm15_wcost_re7_c2p1_t1
Argentina,Paraguay,2045,0.00736831,prm15_wcost_re7_c2p1_t1
Argentina,Paraguay,2050,0.00660914,prm15_wcost_re7_c2p1_t1
Argentina,Uruguay,2020,1.5678710946154313,prm15_wcost_re7_c2p1_t1
Argentina,Uruguay,2025,1.6667173333788887,prm15_wcost_re7_c2p1_t1
Argentina,Uruguay,2030,1.6049576849480138,prm15_wcost_re7_c2p1_t1
Argentina,Uruguay,2035,1.8549097930279261,prm15_wcost_re7_c2p1_t1
Argentina,Uruguay,2040,1.8274195453085775,prm15_wcost_re7_c2p1_t1
Argentina,Uruguay,2045,1.769122802878121,prm15_wcost_re7_c2p1_t1
Argentina,Uruguay,2050,1.7476635633391204,prm15_wcost_re7_c2p1_t1
Brazil,Paraguay,2020,0.0,prm15_wcost_re7_c2p1_t1
Brazil,Paraguay,2025,0.0,prm15_wcost_re7_c2p1_t1
Brazil,Paraguay,2030,0.0,prm15_wcost_re7_c2p1_t1
Brazil,Paraguay,2035,0.0,prm15_wcost_re7_c2p1_t1
Brazil,Paraguay,2040,0.0,prm15_wcost_re7_c2p1_t1
Brazil,Paraguay,2045,0.0,prm15_wcost_re7_c2p1_t1
Brazil,Paraguay,2050,0.0,prm15_wcost_re7_c2p1_t1
Brazil,Uruguay,2020,1.293607766020481,prm15_wcost_re7_c2p1_t1
Brazil,Uruguay,2025,1.8625292197211443,prm15_wcost_re7_c2p1_t1
Brazil,Uruguay,2030,2.5981676265289697,prm15_wcost_re7_c2p1_t1
Brazil,Uruguay,2035,2.0278712419223917,prm15_wcost_re7_c2p1_t1
Brazil,Uruguay,2040,1.99972115226377,prm15_wcost_re7_c2p1_t1
Brazil,Uruguay,2045,1.9355575868187296,prm15_wcost_re7_c2p1_t1
Brazil,Uruguay,2050,1.844897074078779,prm15_wcost_re7_c2p1_t1
Argentina,Brazil,2020,0.4948800781344814,prm15_wcost_re8_c2p1_t1
Argentina,Brazil,2025,0.3321081,prm15_wcost_re8_c2p1_t1
Argentina,Brazil,2030,0.41338095720417856,prm15_wcost_re8_c2p1_t1
Argentina,Brazil,2035,0.49322070000000007,prm15_wcost_re8_c2p1_t1
Argentina,Brazil,2040,0.46821013466027017,prm15_wcost_re8_c2p1_t1
Argentina,Brazil,2045,0.49499820000000005,prm15_wcost_re8_c2p1_t1
Argentina,Brazil,2050,0.5484654000000001,prm15_wcost_re8_c2p1_t1
Argentina,Chile,2020,0.006981315,prm15_wcost_re8_c2p1_t1
Argentina,Chile,2025,0.0050376480000000005,prm15_wcost_re8_c2p1_t1
Argentina,Chile,2030,0.0050921970000000006,prm15_wcost_re8_c2p1_t1
Argentina,Chile,2035,0.004959174,prm15_wcost_re8_c2p1_t1
Argentina,Chile,2040,0.00482734725,prm15_wcost_re8_c2p1_t1
Argentina,Chile,2045,0.002839419,prm15_wcost_re8_c2p1_t1
Argentina,Chile,2050,0.003193509,prm15_wcost_re8_c2p1_t1
Argentina,Paraguay,2020,0.0082466625,prm15_wcost_re8_c2p1_t1
Argentina,Paraguay,2025,0.007855860000000001,prm15_wcost_re8_c2p1_t1
Argentina,Paraguay,2030,0.007801740000000001,prm15_wcost_re8_c2p1_t1
Argentina,Paraguay,2035,0.007801740000000001,prm15_wcost_re8_c2p1_t1
Argentina,Paraguay,2040,0.007801740000000001,prm15_wcost_re8_c2p1_t1
Argentina,Paraguay,2045,0.00756144,prm15_wcost_re8_c2p1_t1
Argentina,Paraguay,2050,0.00703634,prm15_wcost_re8_c2p1_t1
Argentina,Uruguay,2020,1.5678710946154313,prm15_wcost_re8_c2p1_t1
Argentina,Uruguay,2025,1.7449030103851015,prm15_wcost_re8_c2p1_t1
Argentina,Uruguay,2030,1.6418278556471313,prm15_wcost_re8_c2p1_t1
Argentina,Uruguay,2035,1.8096954402028718,prm15_wcost_re8_c2p1_t1
Argentina,Uruguay,2040,1.7668310766112092,prm15_wcost_re8_c2p1_t1
Argentina,Uruguay,2045,1.7990756276233646,prm15_wcost_re8_c2p1_t1
Argentina,Uruguay,2050,1.8256414849861686,prm15_wcost_re8_c2p1_t1
Brazil,Paraguay,2020,0.0,prm15_wcost_re8_c2p1_t1
Brazil,Paraguay,2025,0.0,prm15_wcost_re8_c2p1_t1
Brazil,Paraguay,2030,0.0,prm15_wcost_re8_c2p1_t1
Brazil,Paraguay,2035,0.0,prm15_wcost_re8_c2p1_t1
Brazil,Paraguay,2040,0.0,prm15_wcost_re8_c2p1_t1
Brazil,Paraguay,2045,0.0,prm15_wcost_re8_c2p1_t1
Brazil,Paraguay,2050,0.0,prm15_wcost_re8_c2p1_t1
Brazil,Uruguay,2020,1.293607766020481,prm15_wcost_re8_c2p1_t1
Brazil,Uruguay,2025,1.8766844389025614,prm15_wcost_re8_c2p1_t1
Brazil,Uruguay,2030,2.5097684435137433,prm15_wcost_re8_c2p1_t1
Brazil,Uruguay,2035,2.0975131103098246,prm15_wcost_re8_c2p1_t1
Brazil,Uruguay,2040,2.4705834793496027,prm15_wcost_re8_c2p1_t1
Brazil,Uruguay,2045,2.3698442380141578,prm15_wcost_re8_c2p1_t1
Brazil,Uruguay,2050,2.0211953015665274,prm15_wcost_re8_c2p1_t1
Argentina,Brazil,2020,0.4948800781344814,prm15_wcost_re9_c2p1_t1
Argentina,Brazil,2025,0.3321081,prm15_wcost_re9_c2p1_t1
Argentina,Brazil,2030,0.4132946637305252,prm15_wcost_re9_c2p1_t1
Argentina,Brazil,2035,0.5350986000000001,prm15_wcost_re9_c2p1_t1
Argentina,Brazil,2040,0.46838052389683743,prm15_wcost_re9_c2p1_t1
Argentina,Brazil,2045,0.49499820000000005,prm15_wcost_re9_c2p1_t1
Argentina,Brazil,2050,0.5484654000000001,prm15_wcost_re9_c2p1_t1
Argentina,Chile,2020,0.006981315,prm15_wcost_re9_c2p1_t1
Argentina,Chile,2025,0.0050376480000000005,prm15_wcost_re9_c2p1_t1
Argentina,Chile,2030,0.0050921970000000006,prm15_wcost_re9_c2p1_t1
Argentina,Chile,2035,0.004454835,prm15_wcost_re9_c2p1_t1
Argentina,Chile,2040,0.00482734725,prm15_wcost_re9_c2p1_t1
