period,load_zone,Battery_new,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs
2035,Brazil,0.0,12.7812,0.0,5.604,0.0,4.297,0.0,16.0133,29.632176428235883,0.0,0.0,104.603,21.009,1.99,0.0,2.074,72.23413606204467,1.487,4.929,prm15_wcost_re2_c2p1_t1
2035,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,6.541617265533248,0.04,0.0,6.949,0.575,0.0,0.0,3.258,2.8108987371979963,2.507,0.0,prm15_wcost_re2_c2p1_t1
2035,Paraguay,0.5082599999999998,0.022,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prm15_wcost_re2_c2p1_t1
2035,Uruguay,0.0,0.425,0.0,0.0,0.0,0.084,0.0,1.106,0.0,0.0,0.0,1.538,0.0,0.0,0.0,0.256,2.3631772931241524,1.514,0.03298843864321276,prm15_wcost_re2_c2p1_t1
2040,Argentina,0.0,0.046,0.0,2.9764,0.0,1.663,0.0,18.2543,16.861145380452495,0.0,0.0,11.31,1.171,1.755,0.0,0.439,7.012020883884406,1.609,0.0,prm15_wcost_re2_c2p1_t1
2040,Brazil,0.0,12.7812,0.0,5.604,0.0,4.297,0.0,16.0133,46.305367488141194,0.0,0.0,104.603,38.096,1.99,0.0,2.074,78.76336796439541,1.487,4.929,prm15_wcost_re2_c2p1_t1
2040,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,9.338358323905645,0.04,0.0,6.949,0.575,0.0,0.0,3.258,2.8108987371979963,2.507,0.0,prm15_wcost_re2_c2p1_t1
2040,Paraguay,0.0,0.022,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prm15_wcost_re2_c2p1_t1
2040,Uruguay,0.0,0.425,0.0,0.0,0.0,0.084,0.0,1.106,0.0,0.0,0.0,1.538,0.0,0.0,0.0,0.256,2.72751301972155,1.514,1.1154304600051506,prm15_wcost_re2_c2p1_t1
2045,Argentina,0.0,0.046,0.0,2.9764,0.0,1.663,0.0,16.346799999999998,31.179903715715742,0.0,0.0,11.31,2.11,1.755,0.0,0.439,7.012020883884406,1.609,0.0,prm15_wcost_re2_c2p1_t1
2045,Brazil,0.0,11.802200000000001,0.0,4.896,0.0,4.297,0.0,15.9643,59.158497121990614,0.0,0.0,104.603,50.905,1.99,0.0,2.074,105.24931945571136,1.487,14.868,prm15_wcost_re2_c2p1_t1
2045,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,13.95402573099752,0.04,0.0,6.949,0.575,0.0,0.0,3.258,2.8108987371979963,2.507,0.0,prm15_wcost_re2_c2p1_t1
