scenario,technology,load_zone,new_build_mw,cap_mw,new_cap_mw,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re6_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,Wind,Brazil,68850.0,281991.0,68850.0,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,Wind,Argentina,3258.0,631578.0,3258.0,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,SolarPV,Uruguay,3356.095760393116,8111.2,3356.095760393116,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,SolarPV,Paraguay,3841.6,11360.1,3841.6,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,SolarPV,Chile,6566.879393697939,94117.1,6566.879393697939,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,SolarPV,Brazil,118106.8,134739.3,118106.8,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,SolarPV,Argentina,6013.046761531181,68590.4,6013.046761531181,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re17_c2p1_t1,Wind,Uruguay,7562.849140514099,102552.0,7562.849140514099,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re6_c2p1_t1,Wind,Paraguay,1809.3780187943678,80313.0,1809.3780187943678,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re18_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re18_c2p1_t1,Wind,Brazil,49410.0,281991.0,49410.0,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,SolarPV,Argentina,239.0,68590.4,239.0,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re18_c2p1_t1,Wind,Argentina,1452.0,631578.0,1452.0,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re18_c2p1_t1,SolarPV,Uruguay,3628.520595912104,8111.2,3628.520595912104,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re18_c2p1_t1,SolarPV,Paraguay,2488.623316887592,11360.1,2488.623316887592,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re18_c2p1_t1,SolarPV,Chile,0.0,94117.1,0.0,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,SolarPV,Brazil,89110.44347734698,134739.3,89110.44347734698,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,SolarPV,Chile,0.0,94117.1,0.0,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,SolarPV,Paraguay,2571.0460592699355,11360.1,2571.0460592699355,0,1,12,1,"NoCut,Lim",011
