Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,cf_vestas_2,cf_vestas_7,cf_vestas_3,cf_siemens_36,cf_siemens_23,cf_GE_25,cf_GE_15,cf_gamesa_2,cf_enercon_7,cf_enercon_3,all_avg
-44.75,-69.75,p_wind_Argentina_AR159,Argentina,306,0.1,128.5769395,0.6235626138433522,0.5766683743169398,0.5231226092896175,0.5615734289617486,0.5858595173041895,0.6120802595628415,0.5891330828779597,0.5369073315118398,0.5328701047358834,0.6315825364298725,0.5773359858834245
-45.25,-69.75,p_wind_Argentina_AR160,Argentina,387,0.13,84.82687295,0.6085903916211259,0.5616475409836066,0.5089353369763207,0.5469043715846994,0.5710242486338798,0.5970335837887067,0.5743902550091076,0.5227625227686703,0.5184947632058288,0.6163609972677596,0.5626144011839705
-45.75,-69.75,p_wind_Argentina_AR161,Argentina,360,0.16,62.38340679,0.607819672131145,0.5613616803278688,0.5090459927140255,0.5467226775956284,0.5706161202185793,0.59639412568306,0.5738883196721313,0.5227030965391622,0.5185640938069217,0.6155902777777778,0.56227060564663
-46.25,-69.75,p_wind_Argentina_AR162,Argentina,267,0.17,33.43477074,0.601173041894356,0.5548323087431694,0.5031273907103825,0.5403920765027321,0.5639237249544626,0.5897186930783244,0.5670777550091074,0.5164436475409837,0.5128940118397086,0.6091456056466302,0.5558728255919857
-46.75,-69.75,p_wind_Argentina_AR163,Argentina,261,0.17,6.551537981,0.5719154143897982,0.5243254781420764,0.473785519125683,0.5103309426229509,0.5336769125683061,0.5599000455373406,0.5372048041894353,0.4870701275045537,0.4836203324225864,0.5795950591985427,0.5261424635701273
-47.25,-69.75,p_wind_Argentina_AR164,Argentina,531,0.17,53.64591076,0.5949551457194887,0.546740664845173,0.4944238387978141,0.532247723132969,0.5564787112932605,0.5828350409836066,0.5601547131147542,0.5084805327868853,0.5038450591985427,0.6022374772313298,0.5482398907103824
-47.75,-69.75,p_wind_Argentina_AR165,Argentina,303,0.19,103.9021963,0.6543313979963551,0.6083422131147541,0.5538132969034609,0.5934689207650272,0.6183168260473588,0.6432102686703095,0.6208683970856101,0.5683637295081967,0.5625924408014572,0.6616729280510019,0.6084980418943531
-48.25,-69.75,p_wind_Argentina_AR166,Argentina,480,0.18,119.8941563,0.6772637750455375,0.6332962204007285,0.5790880009107467,0.6187247267759562,0.6430835610200364,0.6668000910746813,0.6447930327868853,0.593271402550091,0.5877231329690347,0.6847720856102004,0.6328816029143898
-48.75,-69.75,p_wind_Argentina_AR167,Argentina,813,0.16,95.14253615,0.6679755236794145,0.6243395947176685,0.5706479963570128,0.6096885245901639,0.633492714025501,0.6576135018214936,0.6350890255009107,0.584042805100182,0.5801610883424408,0.6763027094717668,0.6239353483606556
-49.25,-69.75,p_wind_Argentina_AR168,Argentina,873,0.18,80.51446712,0.6266688296903442,0.5813340163934426,0.5283497267759563,0.5663011156648451,0.5896147540983607,0.615699112021858,0.5919840619307832,0.5408061247723133,0.5394295309653917,0.6361925091074682,0.5816379781420764
