type,load_zone,multiplier,period,trade,trade_1,scenario,full_name,short_name,emis_policy,exist_trd,op_char,fixed_pv,pol,group
import,Uruguay,1,14245,20.7302,20.7302,prm15_wcost_re7_c2p1_tn,GE 1.5sle Single-Axis,ge15_1axis,0,0,7,0,"NoCut,Full",000
import,Chile,1,14245,0.09702,0.09702,prm15_wcost_re3_c2p1_tn,Vestas V90 3000 Single-Axis,vestas3_1axis,0,0,3,0,"NoCut,Full",000
import,Brazil,1,14245,200.66227,200.66227,prm15_wcost_re19_c2p1_tn,Enercon E126 7000 Fixed,enercon7_fixed,0,0,19,1,"NoCut,Full",001
import,Uruguay,1,14245,46.519670000000005,46.519670000000005,prm15_wcost_re9_c2p1_tn,Enercon E126 7000 Single-Axis,enercon7_1axis,0,0,9,0,"NoCut,Full",000
import,Uruguay,1,14245,21.0933,21.0933,prm15_wcost_re17_c2p1_tn,GE 1.5sle Fixed,ge15_fixed,0,0,17,1,"NoCut,Full",001
import,Uruguay,1,14245,16.1489,16.1489,prm15_wcost_re20_c2p1_tn,Enercon E101 3000 Fixed,enercon3_fixed,0,0,20,1,"NoCut,Full",001
import,Paraguay,1,14245,9.18687,9.18687,prm15_wcost_re3_c2p1_tn,Vestas V90 3000 Single-Axis,vestas3_1axis,0,0,3,0,"NoCut,Full",000
import,Brazil,1,14245,209.82112,209.82112,prm15_wcost_re20_c2p1_tn,Enercon E101 3000 Fixed,enercon3_fixed,0,0,20,1,"NoCut,Full",001
import,Brazil,1,14245,202.026,202.026,prm15_wcost_re10_c2p1_tn,Enercon E101 3000 Single-Axis,enercon3_1axis,0,0,10,0,"NoCut,Full",000
import,Brazil,1,14245,204.3767,204.3767,prm15_wcost_re9_c2p1_tn,Enercon E126 7000 Single-Axis,enercon7_1axis,0,0,9,0,"NoCut,Full",000
import,Brazil,1,14245,199.37386,199.37386,prm15_wcost_re17_c2p1_tn,GE 1.5sle Fixed,ge15_fixed,0,0,17,1,"NoCut,Full",001
import,Uruguay,1,14245,63.023160000000004,63.023160000000004,prm15_wcost_re19_c2p1_tn,Enercon E126 7000 Fixed,enercon7_fixed,0,0,19,1,"NoCut,Full",001
import,Brazil,1,14245,207.80659,207.80659,prm15_wcost_re16_c2p1_tn,GE 2.5xl Fixed,ge25_fixed,0,0,16,1,"NoCut,Full",001
