scs,transmission_line,period,new_build_transmission_capacity_mw,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re11_c2p1_tn,Argentina_Uruguay_New,14245,0.00595182006261,0,0,11,1,"NoCut,Full",001
prm15_wcost_re10_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.0,1,0,10,0,"90%Cut,Full",100
prm15_wcost_re14_c2p1_tn,Argentina_Uruguay_New,14245,1.769507917889,0,0,14,1,"NoCut,Full",001
prm15_wcost_re11_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.0,1,0,11,1,"90%Cut,Full",101
prm15_wcost_re13_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.1899765323706,1,0,13,1,"90%Cut,Full",101
prm15_wcost_re14_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.0842759631255,1,0,14,1,"90%Cut,Full",101
prm15_wcost_re13_c2p1_tn,Argentina_Uruguay_New,14245,3.361737967918,0,0,13,1,"NoCut,Full",001
prm15_wcost_re12_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.0720251270091,1,0,12,1,"90%Cut,Full",101
prm15_wcost_re4_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,10.55845498173,1,0,4,0,"90%Cut,Full",100
prm15_wcost_re12_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,10.14772715406,1,0,12,1,"90%Cut,Full",101
prm15_wcost_re15_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,9.569302788500002,1,0,15,1,"90%Cut,Full",101
prm15_wcost_re3_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,10.66748253995,1,0,3,0,"90%Cut,Full",100
prm15_wcost_re2_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,2,0,"NoCut,Full",000
prm15_wcost_re2_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,9.15997343977,1,0,2,0,"90%Cut,Full",100
prm15_wcost_re20_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,20,1,"NoCut,Full",001
