rscen,tech,emis,diff
prm15_wcost_re17_c2p1,Battery,nocut,-0.3199472274050929
prm15_wcost_re16_c2p1,Battery,nocut,-0.43630945484206524
prm15_wcost_re15_c2p1,Battery,nocut,-0.3199849098844019
prm15_wcost_re1_c2p1_co2_cut90p,Battery,cut90p,-1.81633201467384
prm15_wcost_re14_c2p1,Battery,nocut,-0.29366072526958603
prm15_wcost_re12_c2p1,Battery,nocut,-0.31927648251643215
prm15_wcost_re5_c2p1,Battery,nocut,-0.504446812577997
prm15_wcost_re11_c2p1,Battery,nocut,-0.4175261277343979
prm15_wcost_re10_c2p1,Battery,nocut,-0.4217168378470042
prm15_wcost_re9_c2p1,Battery,nocut,-0.5280728864440879
prm15_wcost_re8_c2p1,Battery,nocut,-0.5220664571279828
prm15_wcost_re7_c2p1,Battery,nocut,-0.48973084035006953
prm15_wcost_re13_c2p1,Battery,nocut,-0.30698075471513
prm15_wcost_re2_c2p1_co2_cut90p,Battery,cut90p,-2.0145898784959533
prm15_wcost_re1_c2p1,Battery,nocut,-0.4454545958882905
prm15_wcost_re5_c2p1_co2_cut90p,Battery,cut90p,-1.9758554811670763
prm15_wcost_re4_c2p1_co2_cut90p,Battery,cut90p,-2.05355652805083
prm15_wcost_re3_c2p1_co2_cut90p,Battery,cut90p,-2.4526584178014756
prm15_wcost_re4_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re14_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re14_c2p1_co2_cut90p,Nuclear,cut90p,-4.321047547438749
prm15_wcost_re7_c2p1_co2_cut90p,Nuclear,cut90p,-0.0
prm15_wcost_re15_c2p1_co2_cut90p,Nuclear,cut90p,-2.282602864331557
prm15_wcost_re12_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re4_c2p1_co2_cut90p,Nuclear,cut90p,-2.82260434285554
prm15_wcost_re11_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re16_c2p1_co2_cut90p,Nuclear,cut90p,-0.0
prm15_wcost_re1_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re13_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re10_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re17_c2p1_co2_cut90p,Nuclear,cut90p,-0.7460511159012867
prm15_wcost_re9_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re5_c2p1_co2_cut90p,Nuclear,cut90p,-0.3617064722231355
prm15_wcost_re18_c2p1_co2_cut90p,Nuclear,cut90p,-0.5874562334831186
prm15_wcost_re8_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re6_c2p1_co2_cut90p,Nuclear,cut90p,-0.0
prm15_wcost_re5_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re7_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re19_c2p1_co2_cut90p,Nuclear,cut90p,-2.105346273778637
prm15_wcost_re6_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re20_c2p1_co2_cut90p,Nuclear,cut90p,-0.0
prm15_wcost_re15_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re3_c2p1_co2_cut90p,Nuclear,cut90p,-0.9539995735286948
prm15_wcost_re13_c2p1_co2_cut90p,Nuclear,cut90p,-0.0
prm15_wcost_re3_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re20_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re19_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re2_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re2_c2p1_co2_cut90p,Nuclear,cut90p,-0.9606870392856285
prm15_wcost_re9_c2p1_co2_cut90p,Nuclear,cut90p,-4.874654654570856
prm15_wcost_re17_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re11_c2p1_co2_cut90p,Nuclear,cut90p,-0.0
prm15_wcost_re18_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re10_c2p1_co2_cut90p,Nuclear,cut90p,-0.0
prm15_wcost_re1_c2p1_co2_cut90p,Nuclear,cut90p,-0.0
prm15_wcost_re16_c2p1,Nuclear,nocut,-0.0
prm15_wcost_re12_c2p1_co2_cut90p,Nuclear,cut90p,-2.758652407710171
prm15_wcost_re8_c2p1_co2_cut90p,Nuclear,cut90p,-3.0132155536352716
prm15_wcost_re9_c2p1,Biomass,nocut,-0.0
prm15_wcost_re18_c2p1_co2_cut90p,Biomass,cut90p,-6.959605680468129
prm15_wcost_re5_c2p1_co2_cut90p,Biomass,cut90p,-0.4168987639503383
prm15_wcost_re10_c2p1,Biomass,nocut,-0.0
prm15_wcost_re19_c2p1_co2_cut90p,Biomass,cut90p,-4.371487036644118
prm15_wcost_re10_c2p1_co2_cut90p,Biomass,cut90p,-0.0
prm15_wcost_re8_c2p1,Biomass,nocut,-0.0
prm15_wcost_re7_c2p1,Biomass,nocut,-0.0
prm15_wcost_re1_c2p1,Biomass,nocut,-0.0
prm15_wcost_re3_c2p1,Biomass,nocut,-0.0
prm15_wcost_re20_c2p1_co2_cut90p,Biomass,cut90p,-0.0
prm15_wcost_re1_c2p1_co2_cut90p,Biomass,cut90p,-0.0
prm15_wcost_re6_c2p1,Biomass,nocut,-0.0
prm15_wcost_re20_c2p1,Biomass,nocut,-0.0
prm15_wcost_re19_c2p1,Biomass,nocut,-0.0
prm15_wcost_re16_c2p1,Biomass,nocut,-0.0
prm15_wcost_re17_c2p1_co2_cut90p,Biomass,cut90p,-2.2113862915255815
prm15_wcost_re6_c2p1_co2_cut90p,Biomass,cut90p,-0.0
prm15_wcost_re2_c2p1,Biomass,nocut,-0.0
prm15_wcost_re15_c2p1,Biomass,nocut,-0.0
prm15_wcost_re3_c2p1_co2_cut90p,Biomass,cut90p,-6.4199827448364415
prm15_wcost_re14_c2p1_co2_cut90p,Biomass,cut90p,-1.6324089650688978
prm15_wcost_re17_c2p1,Biomass,nocut,-0.0
prm15_wcost_re14_c2p1,Biomass,nocut,-0.0
prm15_wcost_re12_c2p1_co2_cut90p,Biomass,cut90p,-2.1087976897210448
prm15_wcost_re2_c2p1_co2_cut90p,Biomass,cut90p,-0.7179946253252643
prm15_wcost_re15_c2p1_co2_cut90p,Biomass,cut90p,-1.1326996151299096
prm15_wcost_re13_c2p1,Biomass,nocut,-0.0
prm15_wcost_re4_c2p1_co2_cut90p,Biomass,cut90p,-0.5494068817886653
prm15_wcost_re4_c2p1,Biomass,nocut,-0.0
prm15_wcost_re8_c2p1_co2_cut90p,Biomass,cut90p,-3.7296234112060223
prm15_wcost_re12_c2p1,Biomass,nocut,-0.0
prm15_wcost_re18_c2p1,Biomass,nocut,-0.0
prm15_wcost_re16_c2p1_co2_cut90p,Biomass,cut90p,-0.3308287045252518
prm15_wcost_re7_c2p1_co2_cut90p,Biomass,cut90p,-0.12954251329026478
prm15_wcost_re11_c2p1,Biomass,nocut,-0.0
prm15_wcost_re11_c2p1_co2_cut90p,Biomass,cut90p,-0.0
prm15_wcost_re13_c2p1_co2_cut90p,Biomass,cut90p,-6.946129694266803
prm15_wcost_re5_c2p1,Biomass,nocut,-0.0
prm15_wcost_re9_c2p1_co2_cut90p,Biomass,cut90p,-1.7499387882321533
