type,load_zone,multiplier,period,trade,trade_1,scenario,full_name,short_name,emis_policy,exist_trd,op_char,fixed_pv,pol,group
export,Brazil,-1,14245,30.82298,-30.82298,prm15_wcost_re10_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E101 3000 Single-Axis,cut90_enercon3_1axis,1,0,10,0,"90%Cut,Full",100
export,Brazil,-1,14245,16.836570000000002,-16.836570000000002,prm15_wcost_re20_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E101 3000 Fixed,cut90_enercon3_fixed,1,0,20,1,"90%Cut,Full",101
export,Brazil,-1,14245,44.07568,-44.07568,prm15_wcost_re8_c2p1_co2_cut90p_tn,Emission cut 90% Gamesa G80 2000 Single-Axis,cut90_gamesa2_1axis,1,0,8,0,"90%Cut,Full",100
export,Brazil,-1,14245,36.84427,-36.84427,prm15_wcost_re7_c2p1_co2_cut90p_tn,Emission cut 90% GE 1.5sle Single-Axis,cut90_ge15_1axis,1,0,7,0,"90%Cut,Full",100
export,Paraguay,-1,14245,205.97154999999998,-205.97154999999998,prm15_wcost_re10_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E101 3000 Single-Axis,cut90_enercon3_1axis,1,0,10,0,"90%Cut,Full",100
export,Argentina,-1,14245,150.93828000000002,-150.93828000000002,prm15_wcost_re3_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 3000 Single-Axis,cut90_vestas3_1axis,1,0,3,0,"90%Cut,Full",100
export,Argentina,-1,14245,101.8726,-101.8726,prm15_wcost_re10_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E101 3000 Single-Axis,cut90_enercon3_1axis,1,0,10,0,"90%Cut,Full",100
export,Argentina,-1,14245,202.04729,-202.04729,prm15_wcost_re19_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E126 7000 Fixed,cut90_enercon7_fixed,1,0,19,1,"90%Cut,Full",101
export,Argentina,-1,14245,150.75866,-150.75866,prm15_wcost_re9_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E126 7000 Single-Axis,cut90_enercon7_1axis,1,0,9,0,"90%Cut,Full",100
export,Argentina,-1,14245,195.60471,-195.60471,prm15_wcost_re17_c2p1_co2_cut90p_tn,Emission cut 90% GE 1.5sle Fixed,cut90_ge15_fixed,1,0,17,1,"90%Cut,Full",101
export,Argentina,-1,14245,112.44851,-112.44851,prm15_wcost_re7_c2p1_co2_cut90p_tn,Emission cut 90% GE 1.5sle Single-Axis,cut90_ge15_1axis,1,0,7,0,"90%Cut,Full",100
export,Argentina,-1,14245,181.98322000000002,-181.98322000000002,prm15_wcost_re16_c2p1_co2_cut90p_tn,Emission cut 90% GE 2.5xl Fixed,cut90_ge25_fixed,1,0,16,1,"90%Cut,Full",101
export,Argentina,-1,14245,108.87364,-108.87364,prm15_wcost_re6_c2p1_co2_cut90p_tn,Emission cut 90% GE 2.5xl Single-Axis,cut90_ge25_1axis,1,0,6,0,"90%Cut,Full",100
export,Argentina,-1,14245,236.84332,-236.84332,prm15_wcost_re18_c2p1_co2_cut90p_tn,Emission cut 90% Gamesa G80 2000 Fixed,cut90_gamesa2_fixed,1,0,18,1,"90%Cut,Full",101
export,Brazil,-1,14245,32.51926,-32.51926,prm15_wcost_re1_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 2000 Single-Axis,cut90_vestas2_1axis,1,0,1,0,"90%Cut,Full",100
export,Argentina,-1,14245,132.74663,-132.74663,prm15_wcost_re8_c2p1_co2_cut90p_tn,Emission cut 90% Gamesa G80 2000 Single-Axis,cut90_gamesa2_1axis,1,0,8,0,"90%Cut,Full",100
export,Argentina,-1,14245,117.18832,-117.18832,prm15_wcost_re5_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 2.3 93 Single-Axis,cut90_siemens23_1axis,1,0,5,0,"90%Cut,Full",100
export,Argentina,-1,14245,216.46919,-216.46919,prm15_wcost_re14_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 3.6 107 Fixed,cut90_siemens36_fixed,1,0,14,1,"90%Cut,Full",101
export,Argentina,-1,14245,131.1696,-131.1696,prm15_wcost_re4_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 3.6 107 Single-Axis,cut90_siemens36_1axis,1,0,4,0,"90%Cut,Full",100
export,Argentina,-1,14245,210.58274,-210.58274,prm15_wcost_re12_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V164 7000 Fixed,cut90_vestas7_fixed,1,0,12,1,"90%Cut,Full",101
export,Argentina,-1,14245,120.98491999999999,-120.98491999999999,prm15_wcost_re2_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V164 7000 Single-Axis,cut90_vestas7_1axis,1,0,2,0,"90%Cut,Full",100
export,Argentina,-1,14245,203.04062,-203.04062,prm15_wcost_re11_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 2000 Fixed,cut90_vestas2_fixed,1,0,11,1,"90%Cut,Full",101
export,Argentina,-1,14245,103.3709,-103.3709,prm15_wcost_re1_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 2000 Single-Axis,cut90_vestas2_1axis,1,0,1,0,"90%Cut,Full",100
export,Argentina,-1,14245,249.14368,-249.14368,prm15_wcost_re13_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 3000 Fixed,cut90_vestas3_fixed,1,0,13,1,"90%Cut,Full",101
export,Argentina,-1,14245,206.17264,-206.17264,prm15_wcost_re15_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 2.3 93 Fixed,cut90_siemens23_fixed,1,0,15,1,"90%Cut,Full",101
export,Brazil,-1,14245,30.7227,-30.7227,prm15_wcost_re13_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 3000 Fixed,cut90_vestas3_fixed,1,0,13,1,"90%Cut,Full",101
export,Uruguay,-1,14245,4.36193,-4.36193,prm15_wcost_re20_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E101 3000 Fixed,cut90_enercon3_fixed,1,0,20,1,"90%Cut,Full",101
export,Uruguay,-1,14245,2.6266499999999997,-2.6266499999999997,prm15_wcost_re13_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 3000 Fixed,cut90_vestas3_fixed,1,0,13,1,"90%Cut,Full",101
export,Chile,-1,14245,11.18231,-11.18231,prm15_wcost_re14_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 3.6 107 Fixed,cut90_siemens36_fixed,1,0,14,1,"90%Cut,Full",101
export,Chile,-1,14245,51.036590000000004,-51.036590000000004,prm15_wcost_re4_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 3.6 107 Single-Axis,cut90_siemens36_1axis,1,0,4,0,"90%Cut,Full",100
export,Chile,-1,14245,9.086780000000001,-9.086780000000001,prm15_wcost_re12_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V164 7000 Fixed,cut90_vestas7_fixed,1,0,12,1,"90%Cut,Full",101
