lz_from,lz_to,connection,period,net_flow_twh,sc_name,short_name,emis_policy,exist_trd,op_char,fixed_pv,pol,group
Argentina,Chile,Argentina-Chile,14245,151.4607374498397,prm15_wcost_re2_c2p1_co2_cut90p_tn,cut90_vestas7_1axis,1,0,2,0,"90%Cut,Full",100
Argentina,Chile,Argentina-Chile,14245,213.00143578820118,prm15_wcost_re13_c2p1_co2_cut90p_tn,cut90_vestas3_fixed,1,0,13,1,"90%Cut,Full",101
Argentina,Chile,Argentina-Chile,14245,134.2658249160288,prm15_wcost_re10_c2p1_co2_cut90p_tn,cut90_enercon3_1axis,1,0,10,0,"90%Cut,Full",100
Argentina,Chile,Argentina-Chile,14245,179.70930956902842,prm15_wcost_re14_c2p1_co2_cut90p_tn,cut90_siemens36_fixed,1,0,14,1,"90%Cut,Full",101
Argentina,Chile,Argentina-Chile,14245,135.77663627817873,prm15_wcost_re6_c2p1_co2_cut90p_tn,cut90_ge25_1axis,1,0,6,0,"90%Cut,Full",100
Argentina,Chile,Argentina-Chile,14245,132.4364215185787,prm15_wcost_re1_c2p1_co2_cut90p_tn,cut90_vestas2_1axis,1,0,1,0,"90%Cut,Full",100
Brazil,Paraguay,Brazil-Paraguay,14245,176.39459936147856,prm15_wcost_re13_c2p1_tn,vestas3_fixed,0,0,13,1,"NoCut,Full",001
Argentina,Paraguay,Argentina-Paraguay,14245,2.9163871692111925,prm15_wcost_re5_c2p1_co2_cut90p_tn,cut90_siemens23_1axis,1,0,5,0,"90%Cut,Full",100
Argentina,Paraguay,Argentina-Paraguay,14245,2.8086245304902633,prm15_wcost_re9_c2p1_co2_cut90p_tn,cut90_enercon7_1axis,1,0,9,0,"90%Cut,Full",100
Argentina,Paraguay,Argentina-Paraguay,14245,2.8542233149099006,prm15_wcost_re20_c2p1_tn,enercon3_fixed,0,0,20,1,"NoCut,Full",001
Argentina,Paraguay,Argentina-Paraguay,14245,2.8955356908475616,prm15_wcost_re11_c2p1_co2_cut90p_tn,cut90_vestas2_fixed,1,0,11,1,"90%Cut,Full",101
Argentina,Paraguay,Argentina-Paraguay,14245,2.9815303520556085,prm15_wcost_re7_c2p1_co2_cut90p_tn,cut90_ge15_1axis,1,0,7,0,"90%Cut,Full",100
Brazil,Paraguay,Brazil-Paraguay,14245,175.80948653968272,prm15_wcost_re5_c2p1_tn,siemens23_1axis,0,0,5,0,"NoCut,Full",000
Argentina,Paraguay,Argentina-Paraguay,14245,2.966061725232369,prm15_wcost_re4_c2p1_tn,siemens36_1axis,0,0,4,0,"NoCut,Full",000
Brazil,Paraguay,Brazil-Paraguay,14245,217.2618869900382,prm15_wcost_re11_c2p1_co2_cut90p_tn,cut90_vestas2_fixed,1,0,11,1,"90%Cut,Full",101
Brazil,Paraguay,Brazil-Paraguay,14245,176.63644930388026,prm15_wcost_re4_c2p1_tn,siemens36_1axis,0,0,4,0,"NoCut,Full",000
Argentina,Paraguay,Argentina-Paraguay,14245,2.8409510134969174,prm15_wcost_re6_c2p1_co2_cut90p_tn,cut90_ge25_1axis,1,0,6,0,"90%Cut,Full",100
Argentina,Paraguay,Argentina-Paraguay,14245,2.867671758221841,prm15_wcost_re12_c2p1_co2_cut90p_tn,cut90_vestas7_fixed,1,0,12,1,"90%Cut,Full",101
Brazil,Paraguay,Brazil-Paraguay,14245,178.2467634301904,prm15_wcost_re3_c2p1_tn,vestas3_1axis,0,0,3,0,"NoCut,Full",000
Brazil,Paraguay,Brazil-Paraguay,14245,231.46353301468625,prm15_wcost_re14_c2p1_co2_cut90p_tn,cut90_siemens36_fixed,1,0,14,1,"90%Cut,Full",101
Brazil,Paraguay,Brazil-Paraguay,14245,206.58894384428896,prm15_wcost_re10_c2p1_co2_cut90p_tn,cut90_enercon3_1axis,1,0,10,0,"90%Cut,Full",100
Argentina,Paraguay,Argentina-Paraguay,14245,2.906207153457417,prm15_wcost_re4_c2p1_co2_cut90p_tn,cut90_siemens36_1axis,1,0,4,0,"90%Cut,Full",100
Brazil,Paraguay,Brazil-Paraguay,14245,218.15733995004538,prm15_wcost_re20_c2p1_co2_cut90p_tn,cut90_enercon3_fixed,1,0,20,1,"90%Cut,Full",101
Argentina,Paraguay,Argentina-Paraguay,14245,2.788725560867028,prm15_wcost_re3_c2p1_co2_cut90p_tn,cut90_vestas3_1axis,1,0,3,0,"90%Cut,Full",100
Argentina,Paraguay,Argentina-Paraguay,14245,2.8398799982235077,prm15_wcost_re18_c2p1_co2_cut90p_tn,cut90_gamesa2_fixed,1,0,18,1,"90%Cut,Full",101
Brazil,Paraguay,Brazil-Paraguay,14245,232.19999594680127,prm15_wcost_re19_c2p1_co2_cut90p_tn,cut90_enercon7_fixed,1,0,19,1,"90%Cut,Full",101
