Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,cf_1axis,cf_fixed,all_avg
-34.75,-68.25,p_solar_Argentina_AR290,Argentina,138.9,0.22,9.903841399,0.2866162340619311,0.2187814207650273,0.2526988274134792
-35.25,-68.25,p_solar_Argentina_AR291,Argentina,138.5,0.22,9.618830592,0.2908583788706749,0.2207181238615664,0.25578825136612066
-35.75,-68.25,p_solar_Argentina_AR292,Argentina,138.5,0.22,16.5731135,0.2922101548269585,0.2207642304189435,0.256487192622951
-36.25,-68.25,p_solar_Argentina_AR293,Argentina,138.4,0.22,1.215322587,0.2862850637522768,0.2163994763205828,0.2513422700364298
-36.75,-68.25,p_solar_Argentina_AR294,Argentina,138.3,0.22,18.07703717,0.2818911657559204,0.2130275500910746,0.2474593579234975
-37.25,-68.25,p_solar_Argentina_AR295,Argentina,138.2,0.21,12.26439989,0.2798664617486344,0.2111964936247723,0.24553147768670336
-37.75,-68.25,p_solar_Argentina_AR296,Argentina,138.1,0.21,1.475158359,0.2770817395264115,0.2091871584699453,0.2431344489981784
-38.25,-68.25,p_solar_Argentina_AR297,Argentina,138.0,0.21,3.206002332,0.2739090391621126,0.2072166438979963,0.24056284153005447
-38.75,-68.25,p_solar_Argentina_AR298,Argentina,138.0,0.21,2.51217759,0.2725658014571946,0.2065129781420765,0.23953938979963557
-39.25,-68.25,p_solar_Argentina_AR299,Argentina,137.8,0.21,13.05202954,0.2738795537340609,0.2071571038251366,0.24051832877959878
-39.75,-68.25,p_solar_Argentina_AR300,Argentina,137.7,0.21,42.10188447,0.2769807604735884,0.2087112932604735,0.24284602686703094
-40.25,-68.25,p_solar_Argentina_AR301,Argentina,137.5,0.21,78.6263095,0.2790743397085612,0.2098884335154826,0.2444813866120219
-40.75,-68.25,p_solar_Argentina_AR302,Argentina,137.5,0.2,119.6074205,0.2766721311475414,0.2082727686703096,0.24247244990892552
-41.25,-68.25,p_solar_Argentina_AR303,Argentina,137.4,0.2,169.1049632,0.272627390710381,0.2057119763205828,0.2391696835154819
-41.75,-68.25,p_solar_Argentina_AR304,Argentina,137.3,0.19,154.1561,0.2706609744990896,0.205105077413479,0.2378830259562843
-42.25,-68.25,p_solar_Argentina_AR305,Argentina,137.3,0.19,99.65523082,0.2678973132969037,0.2042720856102003,0.23608469945355198
-42.75,-68.25,p_solar_Argentina_AR306,Argentina,137.1,0.19,47.60708779,0.2626969489981787,0.2006269353369763,0.2316619421675775
-43.25,-68.25,p_solar_Argentina_AR307,Argentina,137.0,0.19,4.757373324,0.2574610655737716,0.1962058287795993,0.22683344717668544
-43.75,-68.25,p_solar_Argentina_AR308,Argentina,136.9,0.18,59.85767787,0.2546670081967217,0.1937921220400728,0.22422956511839726
-44.25,-68.25,p_solar_Argentina_AR309,Argentina,136.8,0.18,114.9627307,0.252419057377049,0.1922691256830601,0.22234409153005455
-44.75,-68.25,p_solar_Argentina_AR310,Argentina,136.7,0.18,85.06047698,0.2498435792349722,0.1907372495446266,0.2202904143897994
-45.25,-68.25,p_solar_Argentina_AR311,Argentina,136.7,0.18,47.04636321,0.2479444444444447,0.1897353142076502,0.21883987932604743
-45.75,-68.25,p_solar_Argentina_AR312,Argentina,136.5,0.18,4.679892601,0.2455671675774137,0.1885392759562841,0.2170532217668489
