horizon,variable,value,pol,month
202502,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,1
202503,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,2
202504,prm15_fix_wcost_re2_c2p1_tnt1,0.0087071239999998,False,3
202505,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,4
202506,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,5
202507,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,6
202508,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,7
202509,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,8
202510,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,9
202511,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,10
202512,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,11
203001,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,12
203002,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,13
203003,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,14
203004,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,15
203005,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,16
203006,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,17
203007,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,18
203008,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,19
203009,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,20
203010,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,21
203011,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,22
203012,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,23
203501,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,24
203502,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,25
203503,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,26
203504,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,27
203505,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,28
203506,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,29
203507,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,30
203508,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,31
203509,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,32
203510,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,33
203511,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,34
203512,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,35
204001,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,36
204002,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,37
204003,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,38
