load_zone,scs_id,variable_om_cost_total,fuel_cost_total,startup_cost_total,capacity_cost,transmission_capacity_cost,mwh,MtCO2,total_costs,operations_cost_total,emis_policy,exist_trd,op_char,fixed_pv,pol,group,split_tx_cost,new_total_cost
Chile,prm15_wcost_re15_c2p1_tn,3908284873.4804816,11334476517.551094,1.3220414984982124e-08,11.029163841850748,0.0,878433556.575,279.5177211496196,26271925232.882324,15.242761391031577,0,0,15,1,"NoCut,Full",1,0.0,26.271925232882325
Brazil,prm15_wcost_re15_c2p1_tn,30255856827.946167,60257896669.179146,0.0,117.49178491658188,0.0,7114586509.525,636.2184161215392,208005538413.7072,90.51375349712532,0,0,15,1,"NoCut,Full",1,0.0,208.0055384137072
Chile,prm15_wcost_re17_c2p1_tn,3908357397.273772,11337060599.419209,4.454705049284153e-09,12.40875939032723,0.0,878433556.575,279.578218449336,27654177387.020206,15.24541799669298,0,0,17,1,"NoCut,Full",1,0.0,27.65417738702021
Argentina,prm15_wcost_re13_c2p1_tn,10903181177.945627,23456096000.539738,0.0,19.83675632547947,927723573.1284332,1682695804.525,573.5991221440793,55123757077.09327,34.359277178485364,0,0,13,1,"NoCut,Full",1,0.4638617865642166,54.65989529052905
Chile,prm15_wcost_re14_c2p1_tn,3909041353.819026,11361299206.76798,0.0,11.281876517937397,0.0,878433556.575,280.18920857180683,26552217078.524403,15.270340560587004,0,0,14,1,"NoCut,Full",1,0.0,26.5522170785244
Argentina,prm15_wcost_re14_c2p1_tn,10299507398.03844,21405971284.810806,0.0,21.677680634924695,708880019.9204466,1682695804.525,523.939040726301,54092039337.69439,31.705478682849247,0,0,14,1,"NoCut,Full",1,0.3544400099602233,53.73759932773416
Argentina,prm15_wcost_re7_c2p1_tn,10284740708.045223,21325700165.2758,0.0,20.212417892092063,162709510.39298737,1682695804.525,521.2620651950494,51985568275.80608,31.61044087332102,0,0,7,0,"NoCut,Full",0,0.0813547551964936,51.90421352060958
Brazil,prm15_wcost_re14_c2p1_tn,30788049038.237465,64754134510.84634,0.0,114.25876856018428,0.0,7114586509.525,689.308951628514,209800952109.26807,95.5421835490838,0,0,14,1,"NoCut,Full",1,0.0,209.80095210926805
Argentina,prm15_wcost_re16_c2p1_tn,9721198288.613914,19449211484.52172,0.0,24.292545504654235,31395680.97156172,1682695804.525,476.3173267950747,53494350958.76144,29.170409773135635,0,0,16,1,"NoCut,Full",1,0.0156978404857808,53.47865311827565
Brazil,prm15_wcost_re1_c2p1_tn,28024039490.536,44602739547.33708,0.0,122.97308960622468,0.0,7114586509.525,450.7685796034411,195599868644.09775,72.62677903787308,0,0,1,0,"NoCut,Full",0,0.0,195.5998686440977
