sc_name,period,load_zone,Battery_new,twh,MtCO2,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re1_c2p1_tn,2050,Region-wide,0.0,11.095570618681968,1177.3590616792108,0,0,1,0,"NoCut,Full",000
prm15_wcost_re17_c2p1_tn,2050,Argentina,0.0,2.3452596266126943e-12,490.52942022748624,0,0,17,1,"NoCut,Full",001
prm15_wcost_re17_c2p1_tn,2050,Brazil,0.0,2.0276454173609024,610.6219036767443,0,0,17,1,"NoCut,Full",001
prm15_wcost_re15_c2p1_tn,2050,Argentina,0.0,-8.526253627461066e-12,492.096387688111,0,0,15,1,"NoCut,Full",001
prm15_wcost_re17_c2p1_tn,2050,Chile,0.0,1.0502139657253552e-11,279.578218449336,0,0,17,1,"NoCut,Full",001
prm15_wcost_re17_c2p1_tn,2050,Uruguay,0.0,0.002403370038086553,2.326276414551039,0,0,17,1,"NoCut,Full",001
prm15_wcost_re16_c2p1_tn,2050,Uruguay,0.0,0.16122852948031685,1.7857934786971197,0,0,16,1,"NoCut,Full",001
prm15_wcost_re15_c2p1_tn,2050,Paraguay,0.0,5.154953392396549e-12,0.0312398351999999,0,0,15,1,"NoCut,Full",001
prm15_wcost_re20_c2p1_tn,2050,Region-wide,0.0,4.4362913942686335,1275.0131287950635,0,0,20,1,"NoCut,Full",001
prm15_wcost_re19_c2p1_tn,2050,Uruguay,0.0,0.0026814967533538925,1.670019395919781,0,0,19,1,"NoCut,Full",001
prm15_wcost_re20_c2p1_tn,2050,Argentina,0.0,-1.77082785278726e-11,458.1890725739108,0,0,20,1,"NoCut,Full",001
prm15_wcost_re20_c2p1_tn,2050,Brazil,0.0,4.0427759523264735,538.6687591174103,0,0,20,1,"NoCut,Full",001
prm15_wcost_re20_c2p1_tn,2050,Chile,0.0,1.0502139657253552e-11,276.3618348819283,0,0,20,1,"NoCut,Full",001
prm15_wcost_re8_c2p1_tn,2050,Region-wide,0.0,2.9965885286976364,1400.062686582296,0,0,8,0,"NoCut,Full",000
prm15_wcost_re7_c2p1_tn,2050,Region-wide,0.0,4.126654947673543,1341.3406898048434,0,0,7,0,"NoCut,Full",000
prm15_wcost_re6_c2p1_tn,2050,Region-wide,0.0,5.090640063915778,1278.7641156539378,0,0,6,0,"NoCut,Full",000
prm15_wcost_re5_c2p1_tn,2050,Region-wide,0.0,4.638273681875167,1340.2325405936808,0,0,5,0,"NoCut,Full",000
prm15_wcost_re4_c2p1_tn,2050,Region-wide,0.0,3.796381129423946,1379.0354317268184,0,0,4,0,"NoCut,Full",000
prm15_wcost_re5_c2p1_tn,2050,Argentina,0.0,-2.5854215241986185e-12,517.1052727885469,0,0,5,0,"NoCut,Full",000
prm15_wcost_re3_c2p1_tn,2050,Region-wide,0.0,4.785208622830359,1416.7751021027743,0,0,3,0,"NoCut,Full",000
prm15_wcost_re2_c2p1_tn,2050,Region-wide,0.0,4.3525443806123585,1352.1576461042223,0,0,2,0,"NoCut,Full",000
prm15_wcost_re18_c2p1_tn,2050,Argentina,0.0,-1.390909956423868e-11,566.1410123076863,0,0,18,1,"NoCut,Full",001
prm15_wcost_re15_c2p1_tn,2050,Chile,0.0,1.0502139657253552e-11,279.5177211496196,0,0,15,1,"NoCut,Full",001
prm15_wcost_re18_c2p1_tn,2050,Brazil,0.0,0.9161021778626607,718.703795515612,0,0,18,1,"NoCut,Full",001
prm15_wcost_re1_c2p1_tn,2050,Brazil,0.0,10.610966356680363,450.7685796034411,0,0,1,0,"NoCut,Full",000
prm15_wcost_re18_c2p1_tn,2050,Paraguay,0.0,5.665099303262846e-13,0.0312398351999999,0,0,18,1,"NoCut,Full",001
prm15_wcost_re2_c2p1_tn,2050,Paraguay,0.0,5.316518043032517e-12,0.0312398351999999,0,0,2,0,"NoCut,Full",000
prm15_wcost_re4_c2p1_tn,2050,Argentina,0.0,-4.779483544679885e-12,526.9821839489431,0,0,4,0,"NoCut,Full",000
prm15_wcost_re3_c2p1_tn,2050,Uruguay,0.0,0.001228023346998555,1.4859445488797158,0,0,3,0,"NoCut,Full",000
prm15_wcost_re3_c2p1_tn,2050,Paraguay,0.0,2.330384052809777e-12,0.0312398351999999,0,0,3,0,"NoCut,Full",000
prm15_wcost_re3_c2p1_tn,2050,Chile,0.0,1.8842177010113846e-11,250.17611972468367,0,0,3,0,"NoCut,Full",000
prm15_wcost_re3_c2p1_tn,2050,Brazil,0.0,4.783980599464227,636.0901718759127,0,0,3,0,"NoCut,Full",000
prm15_wcost_re3_c2p1_tn,2050,Argentina,0.0,-2.0397365499565625e-12,528.9916261180982,0,0,3,0,"NoCut,Full",000
prm15_wcost_re2_c2p1_tn,2050,Uruguay,0.0,0.002271257300486713,1.355199293527288,0,0,2,0,"NoCut,Full",000
prm15_wcost_re9_c2p1_tn,2050,Region-wide,0.0,5.083718378243332,1399.387332581084,0,0,9,0,"NoCut,Full",000
prm15_wcost_re2_c2p1_tn,2050,Chile,0.0,1.369959128235624e-11,250.71634355145645,0,0,2,0,"NoCut,Full",000
prm15_wcost_re2_c2p1_tn,2050,Brazil,0.0,4.350273123286492,574.2492313351695,0,0,2,0,"NoCut,Full",000
prm15_wcost_re2_c2p1_tn,2050,Argentina,0.0,6.3641299700469e-12,525.805632088869,0,0,2,0,"NoCut,Full",000
prm15_wcost_re18_c2p1_tn,2050,Chile,0.0,1.050213965725355e-11,283.3268408991173,0,0,18,1,"NoCut,Full",001
prm15_wcost_re1_c2p1_tn,2050,Uruguay,0.0,0.48460426199311424,1.3943871681978794,0,0,1,0,"NoCut,Full",000
prm15_wcost_re1_c2p1_tn,2050,Chile,0.0,1.79425453880333e-11,243.69412083017264,0,0,1,0,"NoCut,Full",000
prm15_wcost_re1_c2p1_tn,2050,Argentina,0.0,-7.630267274686547e-12,481.4707342421991,0,0,1,0,"NoCut,Full",000
prm15_wcost_re4_c2p1_tn,2050,Paraguay,0.0,2.652335675029562e-13,0.0312398351999999,0,0,4,0,"NoCut,Full",000
prm15_wcost_re4_c2p1_tn,2050,Chile,0.0,1.2044436586276796e-11,250.16315574575847,0,0,4,0,"NoCut,Full",000
