scenario,technology_wind,load_zone,new_build_mw_wind,cap_mw_wind,new_cap_mw_wind,emis_policy,exist_trd,op_char,fixed_pv,pol,group,technology_solar,new_build_mw_solar,cap_mw_solar,new_cap_mw_solar,pref
prm15_wcost_re18_c2p1_t1,Wind,Argentina,1452.0,631578.0,1452.0,0,1,18,1,"NoCut,Lim",11,SolarPV,1361.824595719103,68590.4,1361.824595719103,0.5160236363734414
prm15_wcost_re18_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,18,1,"NoCut,Lim",11,SolarPV,0.0,94117.1,0.0,
prm15_wcost_re11_c2p1_t1,Wind,Brazil,105852.0,281991.0,105852.0,0,1,11,1,"NoCut,Lim",11,SolarPV,23835.891347964265,134739.3,23835.891347964265,0.8162057297700182
prm15_wcost_re6_c2p1_t1,Wind,Uruguay,6658.20628628062,102552.0,6658.20628628062,0,1,6,0,"NoCut,Lim",10,SolarPV,3356.095760393116,8111.2,3356.095760393116,0.6648697288386815
prm15_wcost_re19_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,19,1,"NoCut,Lim",11,SolarPV,2488.623316887591,11360.1,2488.623316887591,0.0
prm15_wcost_re11_c2p1_t1,Wind,Paraguay,1866.690411221058,80313.0,1866.690411221058,0,1,11,1,"NoCut,Lim",11,SolarPV,3608.899126233073,11360.1,3608.899126233073,0.34091131164096966
prm15_wcost_re11_c2p1_t1,Wind,Uruguay,7191.057904188354,102552.0,7191.057904188354,0,1,11,1,"NoCut,Lim",11,SolarPV,2609.013400768278,8111.2,2609.013400768278,0.7337760798282452
prm15_wcost_re7_c2p1_t1,Wind,Paraguay,337.86308518802696,80313.0,337.86308518802696,0,1,7,0,"NoCut,Lim",10,SolarPV,5621.4,11360.1,5621.4,0.05669544713134052
prm15_wcost_re7_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,7,0,"NoCut,Lim",10,SolarPV,6566.879393697935,94117.1,6566.879393697935,0.0
prm15_wcost_re7_c2p1_t1,Wind,Brazil,55980.0,281991.0,55980.0,0,1,7,0,"NoCut,Lim",10,SolarPV,122015.4,134739.3,122015.4,0.31450250961541704
prm15_wcost_re7_c2p1_t1,Wind,Argentina,0.0,631578.0,0.0,0,1,7,0,"NoCut,Lim",10,SolarPV,6212.8,68590.4,6212.8,0.0
prm15_wcost_re19_c2p1_t1,Wind,Uruguay,7584.227203482047,102552.0,7584.227203482047,0,1,19,1,"NoCut,Lim",11,SolarPV,3853.095773447498,8111.2,3853.095773447498,0.663112095267428
prm15_wcost_re9_c2p1_t1,Wind,Uruguay,6273.338202561742,102552.0,6273.338202561742,0,1,9,0,"NoCut,Lim",10,SolarPV,4506.310008307901,8111.2,4506.310008307901,0.581961310781555
prm15_wcost_re19_c2p1_t1,Wind,Argentina,1491.7352227069246,631578.0,1491.7352227069246,0,1,19,1,"NoCut,Lim",11,SolarPV,1868.308310605281,68590.4,1868.308310605281,0.4439630641441207
prm15_wcost_re19_c2p1_t1,Wind,Brazil,47649.0,281991.0,47649.0,0,1,19,1,"NoCut,Lim",11,SolarPV,109583.5,134739.3,109583.5,0.3030480339624442
prm15_wcost_re19_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,19,1,"NoCut,Lim",11,SolarPV,0.0,94117.1,0.0,
prm15_wcost_re10_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,10,0,"NoCut,Lim",10,SolarPV,6566.625560847519,94117.1,6566.625560847519,0.0
prm15_wcost_re1_c2p1_tn,Wind,Uruguay,6546.8508291999,102552.0,6546.8508291999,0,0,1,0,"NoCut,Full",0,SolarPV,3228.098656574,8111.2,3228.098656574,0.6697580216376509
prm15_wcost_re1_c2p1_tn,Wind,Chile,0.0,25245.0,0.0,0,0,1,0,"NoCut,Full",0,SolarPV,6572.4691618979,94117.1,6572.4691618979,0.0
prm15_wcost_re19_c2p1_tn,Wind,Brazil,47649.0,281991.0,47649.0,0,0,19,1,"NoCut,Full",1,SolarPV,109583.4999999996,134739.3,109583.4999999996,0.30304803396244495
prm15_wcost_re19_c2p1_tn,Wind,Chile,0.0,25245.0,0.0,0,0,19,1,"NoCut,Full",1,SolarPV,0.0,94117.1,0.0,
prm15_wcost_re19_c2p1_tn,Wind,Paraguay,5659.78078323,80313.0,5659.78078323,0,0,19,1,"NoCut,Full",1,SolarPV,5011.3,11360.1,5011.3,0.5303849627044859
prm15_wcost_re9_c2p1_tn,Wind,Paraguay,1773.096065168,80313.0,1773.096065168,0,0,9,0,"NoCut,Full",0,SolarPV,7693.1999999999,11360.1,7693.1999999999,0.18730621279554827
prm15_wcost_re18_c2p1_tn,Wind,Uruguay,0.0,102552.0,0.0,0,0,18,1,"NoCut,Full",1,SolarPV,1971.72078145316,8111.2,1971.72078145316,0.0
prm15_wcost_re18_c2p1_tn,Wind,Paraguay,5592.0,80313.0,5592.0,0,0,18,1,"NoCut,Full",1,SolarPV,5376.4934921294,11360.1,5376.4934921294,0.5098238882133285
prm15_wcost_re18_c2p1_tn,Wind,Chile,0.0,25245.0,0.0,0,0,18,1,"NoCut,Full",1,SolarPV,0.0,94117.1,0.0,
prm15_wcost_re18_c2p1_tn,Wind,Brazil,49410.0,281991.0,49410.0,0,0,18,1,"NoCut,Full",1,SolarPV,109432.7515290898,134739.3,109432.7515290898,0.31106235270012467
prm15_wcost_re18_c2p1_tn,Wind,Argentina,584.9999999995999,631578.0,584.9999999995999,0,0,18,1,"NoCut,Full",1,SolarPV,373.4,68590.4,373.4,0.6103923205340611
prm15_wcost_re1_c2p1_tn,Wind,Argentina,8991.0,631578.0,8991.0,0,0,1,0,"NoCut,Full",0,SolarPV,4631.7,68590.4,4631.7,0.6600013213239666
prm15_wcost_re1_c2p1_tn,Wind,Brazil,78885.0,281991.0,78885.0,0,0,1,0,"NoCut,Full",0,SolarPV,112152.1999999996,134739.3,112152.1999999996,0.41293004713218245
prm15_wcost_re1_c2p1_tn,Wind,Paraguay,4232.687901036,80313.0,4232.687901036,0,0,1,0,"NoCut,Full",0,SolarPV,5465.7999999995,11360.1,5465.7999999995,0.4364276105952639
prm15_wcost_re19_c2p1_tn,Wind,Argentina,0.0,631578.0,0.0,0,0,19,1,"NoCut,Full",1,SolarPV,501.9,68590.4,501.9,0.0
prm15_wcost_re19_c2p1_tn,Wind,Uruguay,0.0,102552.0,0.0,0,0,19,1,"NoCut,Full",1,SolarPV,1971.7207814532,8111.2,1971.7207814532,0.0
prm15_wcost_re7_c2p1_tn,Wind,Argentina,0.0,631578.0,0.0,0,0,7,0,"NoCut,Full",0,SolarPV,4255.3261164127,68590.4,4255.3261164127,0.0
prm15_wcost_re6_c2p1_tn,Wind,Uruguay,6714.71605193,102552.0,6714.71605193,0,0,6,0,"NoCut,Full",0,SolarPV,3197.8835773198,8111.2,3197.8835773198,0.6773920367081525
prm15_wcost_re6_c2p1_tn,Wind,Paraguay,4574.756488673,80313.0,4574.756488673,0,0,6,0,"NoCut,Full",0,SolarPV,4857.2,11360.1,4857.2,0.48502731052320947
