project,specified,new_build,capacity_type
p_solar_Argentina_AR144,,,gen_spec
p_solar_Argentina_AR145,,,gen_spec
p_solar_Argentina_AR146,,,gen_spec
p_solar_Argentina_AR147,,,gen_spec
p_solar_Argentina_AR148,,,gen_spec
p_solar_Argentina_AR149,,,gen_spec
p_solar_Argentina_AR150,,,gen_spec
p_solar_Argentina_AR151,,,gen_spec
p_solar_Argentina_AR152,,,gen_spec
p_solar_Argentina_AR153,,,gen_spec
p_solar_Argentina_AR174,,,gen_spec
p_solar_Argentina_AR175,,,gen_spec
p_solar_Argentina_AR176,,,gen_spec
p_solar_Argentina_AR177,,,gen_spec
p_solar_Argentina_AR178,,,gen_spec
p_solar_Argentina_AR179,,,gen_spec
p_solar_Argentina_AR180,,,gen_spec
p_solar_Argentina_AR181,,,gen_spec
p_solar_Argentina_AR182,,,gen_spec
p_solar_Argentina_AR183,,,gen_spec
p_solar_Argentina_AR184,,,gen_spec
p_solar_Argentina_AR185,,,gen_spec
p_solar_Argentina_AR186,,,gen_spec
p_solar_Argentina_AR187,,,gen_spec
p_solar_Argentina_AR188,,,gen_spec
p_solar_Argentina_AR189,,,gen_spec
p_solar_Argentina_AR190,,,gen_spec
p_solar_Argentina_AR191,,,gen_spec
p_solar_Argentina_AR192,,,gen_spec
p_solar_Argentina_AR193,,,gen_spec
p_solar_Argentina_AR194,,,gen_spec
p_solar_Argentina_AR195,,,gen_spec
p_solar_Argentina_AR196,,,gen_spec
p_solar_Argentina_AR197,,,gen_spec
p_solar_Argentina_AR198,,,gen_spec
p_solar_Argentina_AR199,,,gen_spec
p_solar_Argentina_AR200,,,gen_spec
p_solar_Argentina_AR201,,,gen_spec
p_solar_Argentina_AR202,,,gen_spec
p_solar_Argentina_AR203,,,gen_spec
p_solar_Argentina_AR222,,,gen_spec
p_solar_Argentina_AR223,,,gen_spec
p_solar_Argentina_AR224,,,gen_spec
p_solar_Argentina_AR225,,,gen_spec
p_solar_Argentina_AR226,,,gen_spec
p_solar_Argentina_AR227,,,gen_spec
p_solar_Argentina_AR228,,,gen_spec
p_solar_Argentina_AR229,,,gen_spec
p_solar_Argentina_AR231,,,gen_spec
p_solar_Argentina_AR232,,,gen_spec
p_solar_Argentina_AR233,,,gen_spec
p_solar_Argentina_AR234,,,gen_spec
p_solar_Argentina_AR235,,,gen_spec
p_solar_Argentina_AR236,,,gen_spec
p_solar_Argentina_AR237,,,gen_spec
p_solar_Argentina_AR238,,,gen_spec
p_solar_Argentina_AR239,,,gen_spec
p_solar_Argentina_AR240,,,gen_spec
p_solar_Argentina_AR241,,,gen_spec
p_solar_Argentina_AR242,,,gen_spec
p_solar_Argentina_AR243,,,gen_spec
p_solar_Argentina_AR244,,,gen_spec
p_solar_Argentina_AR245,,,gen_spec
p_solar_Argentina_AR246,,,gen_spec
p_solar_Argentina_AR247,,,gen_spec
p_solar_Argentina_AR248,,,gen_spec
p_solar_Argentina_AR249,,,gen_spec
p_solar_Argentina_AR250,,,gen_spec
p_solar_Argentina_AR251,,,gen_spec
p_solar_Argentina_AR252,,,gen_spec
p_solar_Argentina_AR253,,,gen_spec
p_solar_Argentina_AR254,,,gen_spec
p_solar_Argentina_AR255,,,gen_spec
p_solar_Argentina_AR256,,,gen_spec
p_solar_Argentina_AR270,,,gen_spec
p_solar_Argentina_AR271,,,gen_spec
p_solar_Argentina_AR272,,,gen_spec
p_solar_Argentina_AR273,,,gen_spec
p_solar_Argentina_AR274,,,gen_spec
p_solar_Argentina_AR275,,,gen_spec
p_solar_Argentina_AR276,,,gen_spec
p_solar_Argentina_AR277,,,gen_spec
p_solar_Argentina_AR278,,,gen_spec
p_solar_Argentina_AR279,,,gen_spec
p_solar_Argentina_AR280,,,gen_spec
p_solar_Argentina_AR281,,,gen_spec
p_solar_Argentina_AR282,,,gen_spec
p_solar_Argentina_AR283,,,gen_spec
p_solar_Argentina_AR284,,,gen_spec
p_solar_Argentina_AR285,,,gen_spec
p_solar_Argentina_AR286,,,gen_spec
p_solar_Argentina_AR287,,,gen_spec
p_solar_Argentina_AR288,,,gen_spec
p_solar_Argentina_AR289,,,gen_spec
p_solar_Argentina_AR290,,,gen_spec
p_solar_Argentina_AR291,,,gen_spec
p_solar_Argentina_AR292,,,gen_spec
p_solar_Argentina_AR293,,,gen_spec
p_solar_Argentina_AR294,,,gen_spec
p_solar_Argentina_AR295,,,gen_spec
p_solar_Argentina_AR296,,,gen_spec
p_solar_Argentina_AR297,,,gen_spec
p_solar_Argentina_AR298,,,gen_spec
p_solar_Argentina_AR299,,,gen_spec
p_solar_Argentina_AR300,,,gen_spec
p_solar_Argentina_AR301,,,gen_spec
p_solar_Argentina_AR302,,,gen_spec
p_solar_Argentina_AR303,,,gen_spec
p_solar_Argentina_AR304,,,gen_spec
p_solar_Argentina_AR305,,,gen_spec
p_solar_Argentina_AR306,,,gen_spec
p_solar_Argentina_AR307,,,gen_spec
p_solar_Argentina_AR308,,,gen_spec
p_solar_Argentina_AR309,,,gen_spec
p_solar_Argentina_AR310,,,gen_spec
p_solar_Argentina_AR311,,,gen_spec
p_solar_Argentina_AR312,,,gen_spec
p_solar_Argentina_AR313,,,gen_spec
p_solar_Argentina_AR324,,,gen_spec
p_solar_Argentina_AR325,,,gen_spec
p_solar_Argentina_AR326,,,gen_spec
p_solar_Argentina_AR327,,,gen_spec
p_solar_Argentina_AR328,,,gen_spec
p_solar_Argentina_AR329,,,gen_spec
p_solar_Argentina_AR330,,,gen_spec
p_solar_Argentina_AR331,,,gen_spec
p_solar_Argentina_AR332,,,gen_spec
p_solar_Argentina_AR333,,,gen_spec
p_solar_Argentina_AR336,,,gen_spec
p_solar_Argentina_AR337,,,gen_spec
p_solar_Argentina_AR338,,,gen_spec
p_solar_Argentina_AR339,,,gen_spec
p_solar_Argentina_AR340,,,gen_spec
p_solar_Argentina_AR341,,,gen_spec
p_solar_Argentina_AR342,,,gen_spec
p_solar_Argentina_AR343,,,gen_spec
p_solar_Argentina_AR344,,,gen_spec
p_solar_Argentina_AR345,,,gen_spec
p_solar_Argentina_AR346,,,gen_spec
p_solar_Argentina_AR347,,,gen_spec
p_solar_Argentina_AR348,,,gen_spec
p_solar_Argentina_AR349,,,gen_spec
p_solar_Argentina_AR350,,,gen_spec
p_solar_Argentina_AR351,,,gen_spec
p_solar_Argentina_AR352,,,gen_spec
p_solar_Argentina_AR353,,,gen_spec
p_solar_Argentina_AR354,,,gen_spec
p_solar_Argentina_AR355,,,gen_spec
p_solar_Argentina_AR356,,,gen_spec
p_solar_Argentina_AR357,,,gen_spec
p_solar_Argentina_AR358,,,gen_spec
p_solar_Argentina_AR359,,,gen_spec
