project,period,specified_capacity_mw,specified_capacity_mwh
E_Chile_Gas_CCGT_2015_rest,2025,1947.6,
E_Chile_Gas_CCGT_2015_rest,2030,1947.6,
E_Chile_Gas_CCGT_2015_rest,2035,1947.6,
E_Chile_Gas_CCGT_2015_rest,2040,1947.6,
E_Chile_Gas_CCGT_2015_rest,2045,1947.6,
E_Chile_Gas_CCGT_2015_rest,2050,1947.6,
E_Chile_Gas_OCGT_10s,2020,1507.7,
E_Chile_Gas_OCGT_10s,2025,1507.7,
E_Chile_Gas_OCGT_10s,2030,1507.7,
E_Chile_Gas_OCGT_10s,2035,1507.7,
E_Chile_Gas_OCGT_10s,2040,1507.7,
E_Chile_Gas_OCGT_10s,2045,1507.7,
E_Chile_Gas_OCGT_10s,2050,1507.7,
E_Chile_Gas_OCGT_2015_rest,2020,1970.3,
E_Chile_Gas_OCGT_2015_rest,2025,1970.3,
E_Chile_Gas_OCGT_2015_rest,2030,1970.3,
E_Chile_Gas_OCGT_2015_rest,2035,1970.3,
E_Chile_Gas_OCGT_2015_rest,2040,1970.3,
E_Chile_Gas_OCGT_2015_rest,2045,1970.3,
E_Chile_Gas_OCGT_2015_rest,2050,1970.3,
E_Chile_Geothermal_2015_rest,2020,40.0,
E_Chile_Geothermal_2015_rest,2025,40.0,
E_Chile_Geothermal_2015_rest,2030,40.0,
E_Chile_Geothermal_2015_rest,2035,40.0,
E_Chile_Geothermal_2015_rest,2040,40.0,
E_Chile_Geothermal_2015_rest,2045,40.0,
E_Chile_Geothermal_2015_rest,2050,40.0,
E_Chile_SolarPV,2020,3258.0,
E_Chile_SolarPV,2025,3258.0,
E_Chile_SolarPV,2030,3258.0,
E_Chile_SolarPV,2035,3258.0,
E_Chile_SolarPV,2040,3258.0,
E_Chile_SolarPV,2045,3258.0,
E_Chile_SolarPV,2050,0.0,
E_Chile_Wind,2020,2507.0,
E_Chile_Wind,2025,2507.0,
E_Chile_Wind,2030,2507.0,
E_Chile_Wind,2035,2507.0,
E_Chile_Wind,2040,2507.0,
E_Chile_Wind,2045,2507.0,
E_Chile_Wind,2050,0.0,
E_Hydro_Argentina_Colorado,2020,74.0,
E_Hydro_Argentina_Colorado,2025,74.0,
E_Hydro_Argentina_Colorado,2030,74.0,
E_Hydro_Argentina_Colorado,2035,74.0,
E_Hydro_Argentina_Colorado,2040,74.0,
E_Hydro_Argentina_Colorado,2045,74.0,
E_Hydro_Argentina_Colorado,2050,0.0,
E_Hydro_Argentina_De_la_Plata,2020,1992.0,
E_Hydro_Argentina_De_la_Plata,2025,1992.0,
E_Hydro_Argentina_De_la_Plata,2030,1992.0,
E_Hydro_Argentina_De_la_Plata,2035,1992.0,
E_Hydro_Argentina_De_la_Plata,2040,1992.0,
E_Hydro_Argentina_De_la_Plata,2045,1992.0,
E_Hydro_Argentina_De_la_Plata,2050,1992.0,
E_Hydro_Argentina_Futaleufu,2020,472.0,
E_Hydro_Argentina_Futaleufu,2025,472.0,
E_Hydro_Argentina_Futaleufu,2030,472.0,
E_Hydro_Argentina_Futaleufu,2035,472.0,
E_Hydro_Argentina_Futaleufu,2040,472.0,
E_Hydro_Argentina_Futaleufu,2045,472.0,
E_Hydro_Argentina_Futaleufu,2050,472.0,
E_Hydro_Argentina_Negro,2020,4199.0,
E_Hydro_Argentina_Negro,2025,4199.0,
E_Hydro_Argentina_Negro,2030,4199.0,
E_Hydro_Argentina_Negro,2035,4199.0,
E_Hydro_Argentina_Negro,2040,4199.0,
E_Hydro_Argentina_Negro,2045,4199.0,
E_Hydro_Argentina_Negro,2050,4199.0,
E_Hydro_Argentina_Unknown,2020,328.0,
E_Hydro_Argentina_Unknown,2025,328.0,
E_Hydro_Argentina_Unknown,2030,328.0,
E_Hydro_Argentina_Unknown,2035,328.0,
E_Hydro_Argentina_Unknown,2040,328.0,
E_Hydro_Argentina_Unknown,2045,328.0,
E_Hydro_Argentina_Unknown,2050,328.0,
E_Hydro_Argentina_wb_rest,2020,4245.0,
E_Hydro_Argentina_wb_rest,2025,4245.0,
E_Hydro_Argentina_wb_rest,2030,4245.0,
E_Hydro_Argentina_wb_rest,2035,4245.0,
E_Hydro_Argentina_wb_rest,2040,4245.0,
E_Hydro_Argentina_wb_rest,2045,4245.0,
E_Hydro_Argentina_wb_rest,2050,4245.0,
E_Hydro_Brazil_Amazonas,2020,8836.0,
E_Hydro_Brazil_Amazonas,2025,8836.0,
E_Hydro_Brazil_Amazonas,2030,8836.0,
E_Hydro_Brazil_Amazonas,2035,8836.0,
E_Hydro_Brazil_Amazonas,2040,8836.0,
E_Hydro_Brazil_Amazonas,2045,8836.0,
E_Hydro_Brazil_Amazonas,2050,8836.0,
E_Hydro_Brazil_De_la_Plata,2020,26062.0,
E_Hydro_Brazil_De_la_Plata,2025,26062.0,
